BidangUsaha,JumlahAset,Lokasi,MataUang,Nama,Persentase,Satuan,StatusOperasi,TahunKomersil,KodeEmiten,NamaEmiten
KELAPA SAWIT,188631,SULAWESI TENGAH,IDR,PT RIMBUNAN ALAM SENTOSA,99.99,JUTAAN,AKTIF,2012,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,623698,JAMBI,IDR,PT SARI ADITYA LOKA,90.0,JUTAAN,AKTIF,1995,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,977284,RIAU,IDR,PT SARI LEMBAH SUBUR,85.0,JUTAAN,AKTIF,1993,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,648813,RIAU,IDR,PT SAWIT ASAHAN INDAH,99.99,JUTAAN,AKTIF,1997,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,676632,SULAWESI TENGAH,IDR,PT SAWIT JAYA ABADI,99.99,JUTAAN,AKTIF,2012,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,411645,KALIMANTAN TIMUR,IDR,PT SUBUR ABADI PLANTATIONS,99.99,JUTAAN,AKTIF,2012,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,1461557,KALIMANTAN SELATAN,IDR,PT SUBUR AGRO MAKMUR,99.99,JUTAAN,AKTIF,2013,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,595571,KALIMANTAN TIMUR,IDR,PT SUKSES TANI NUSASUBUR,99.99,JUTAAN,AKTIF,2000,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,537811,KALIMANTAN TIMUR,IDR,PT SUMBER KHARISMA PERSADA,99.99,JUTAAN,AKTIF,2006,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,627659,KALIMANTAN TENGAH,IDR,PT SURYAINDAH NUSANTARAPAGI,95.0,JUTAAN,AKTIF,2000,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,632786,SULAWESI BARAT,IDR,PT SURYARAYA LESTARI,99.99,JUTAAN,AKTIF,1997,AALI,ASTRA AGRO LESTARI TBK
PENYULINGAN MINYAK,98752,SULAWESI BARAT,IDR,PT TANJUNG BINA LESTARI,99.99,JUTAAN,AKTIF,2017,AALI,ASTRA AGRO LESTARI TBK
PENYULINGAN MINYAK,2590288,SULAWESI BARAT,IDR,PT TANJUNG SARANA LESTARI,99.99,JUTAAN,AKTIF,2014,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,2670735,KALIMANTAN SELATAN,IDR,PT TRI BUANA MAS,99.99,JUTAAN,AKTIF,2016,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,1369235,RIAU,IDR,PT TUNGGAL PERKASA PLANTATIONS,99.99,JUTAAN,AKTIF,1987,AALI,ASTRA AGRO LESTARI TBK
KELAPA SAWIT,914132,KALIMANTAN TIMUR,IDR,PT WARU KALTIM PLANTATION,99.99,JUTAAN,AKTIF,1995,AALI,ASTRA AGRO LESTARI TBK
PENGIRIMAN BARANG,1000000000,JAKARTA,IDR,PT AKASIA CEPAT INDONESIA,50.0,PENUH,AKTIF,2022,ABBA,MAHAKA MEDIA TBK
