kodeEmiten,NamaEmiten,field,year,contextRef,id,name,NamaPemilik,AlamatPemilik
AALI,ASTRA AGRO LESTARI TBK,idx-cor:CounterpartyNameTradePayable,2022,CurrentYearDuration_Rank9CounterpartyMember_RelatedPartyMember_1,IX02_1446_20488_00_0001,PT UNITED TRACTORS PANDU ENGINEERING,SHANTOU MARIA INVESTMENT CO LTD,"Kawasan Industri Jababeka Jl. Jababeka Xi Blok H30-40, Kabupaten Bekasi, Provinsi Jawa Barat"
AALI,ASTRA AGRO LESTARI TBK,idx-cor:CounterpartyNameTradePayable,2022,CurrentYearDuration_Rank1CounterpartyMember_RelatedPartyMember_1,IX02_1446_20408_00_0001,UNITED TRACTORS TBK,SHANTOU MARIA INVESTMENT CO LTD,"Jalan Raya Bekasi Km. 22,, Jakarta Timur, Provinsi Dki Jakarta"
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2022,CurrentYearDuration_Rank7CounterpartyMember_RelatedPartyMember,IX02_1363_04293_00_0001,PT CHAKRA JAWARA,SHANTOU ZHONGFU ELECTRONIC TECHNOLOGY CO LTD,"Gd. Tmt 1,lt. 3, Jl.cilandak Kko No.1, Cilandak Timur,pasar Minggu, Jakarta Selatan, Provinsi Dki Jakarta"
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2022,CurrentYearDuration_Rank8CounterpartyMember_RelatedPartyMember,IX02_1363_04295_00_0001,PT ENERGI ALAMRAYA SEMESTA,MPY GLOBAL SDN BHD,"Jl. Pocut Baren No.01, Suak Indrapuri, Jakarta Selatan, Provinsi Dki Jakarta"
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyNameTradePayable,2022,CurrentYearDuration_Rank3CounterpartyMember_RelatedPartyMember_1,IX02_1446_20428_00_0001,PT CHAKRA JAWARA,SHANTOU ZHONGFU ELECTRONIC TECHNOLOGY CO LTD,"Gd. Tmt 1,lt. 3, Jl.cilandak Kko No.1, Cilandak Timur,pasar Minggu, Jakarta Selatan, Provinsi Dki Jakarta"
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyNameTradePayable,2022,CurrentYearDuration_Rank4CounterpartyMember_ThirdPartyMember_1,IX02_1446_20443_00_0001,UNITED TRACTORS TBK,SHANTOU MARIA INVESTMENT CO LTD,"Jalan Raya Bekasi Km. 22,, Jakarta Timur, Provinsi Dki Jakarta"
ABMM,ABM INVESTAMA TBK,idx-cor:PartyName,2022,CurrentYearDuration_RelatedParty6Member,IX02_1373_00311_00_0001,PT CHAKRA JAWARA,SHANTOU ZHONGFU ELECTRONIC TECHNOLOGY CO LTD,"Gd. Tmt 1,lt. 3, Jl.cilandak Kko No.1, Cilandak Timur,pasar Minggu, Jakarta Selatan, Provinsi Dki Jakarta"
ACES,PT ASPIRASI HIDUP INDONESIA TBK,idx-cor:PartyName,2022,CurrentYearDuration_RelatedParty4Member,IX02_1373_00309_00_0001,PT HOME CENTER INDONESIA,PT KAWAN LAMA SEJAHTERA,"Jl. Puri Kencana No. 1, Jakarta Barat, Provinsi Dki Jakarta"
ACES,PT ASPIRASI HIDUP INDONESIA TBK,idx-cor:PartyName,2022,CurrentYearDuration_RelatedParty5Member,IX02_1373_00310_00_0001,PT HOME CENTER INDONESIA RETAIL,PT HOME CENTER INDONESIA,"Jalan Puri Kencana Nomor 1, RT 005, RW 002, Kelurahan/Desa Kembangan Selatan, Kecamatan Kembangan, Jakarta Barat, Provinsi Dki Jakarta"
ACES,PT ASPIRASI HIDUP INDONESIA TBK,idx-cor:PartyName,2022,CurrentYearDuration_RelatedParty10Member,IX02_1373_00305_00_0001,PT KAWAN LAMA INOVASI,PT KAWAN LAMA INTERNUSA,"Gedung Kawan Lama, Jalan Puri Kencana Nomor 1 Kembangan, Jakarta Barat, RT 006, RW 002, Kelurahan/Desa Kembangan Selatan, Jakarta Barat, Provinsi Dki Jakarta"
