Jumlah,Kategori,Nama,Pengendali,Persentase,KodeEmiten,NamaEmiten
2348950000.0,More Than 5%,PT KHARISMA CIPTA TOWERINDO,True,59.7,BALI,PT BALI TOWERINDO SENTRA TBK
7591658246.0,More Than 5%,PT ALADIN GLOBAL VENTURES,True,51.4,BANK,PT BANK ALADIN SYARIAH TBK
224620000.0,More Than 5%,PT ADICIPTA GRIYA SEJATI,True,33.94,BAPA,BEKASI ASRI PEMULA TBK
120000000.0,More Than 5%,PT PAPUA TIMBER JAYA,False,18.13,BAPA,BEKASI ASRI PEMULA TBK
105986100.0,More Than 5%,PT INTI FIKASA SEKURITAS,False,16.02,BAPA,BEKASI ASRI PEMULA TBK
2250675350.0,More Than 5%,PT GRHA AGUNG PROPERTINDO,True,40.25,BAPI,PT BHAKTI AGUNG PROPERTINDO TBK
1663542650.0,More Than 5%,PT NUGRAHA PRIMA GRIYATAMA,False,29.75,BAPI,PT BHAKTI AGUNG PROPERTINDO TBK
1066187400.0,More Than 5%,BAFIN NEDERLAND BV,True,82.01,BATA,SEPATU BATA TBK
2600000000.0,More Than 5%,NA FASTENERS PTE LTD,True,54.17,BAUT,PT MITRA ANGKASA SEJAHTERA TBK
749900000.0,More Than 5%,PT FAS BERSAMA INVESTAMA,False,15.62,BAUT,PT MITRA ANGKASA SEJAHTERA TBK
99170686.0,More Than 5%,PT GRAHA SENTOSA PERSADA,True,28.08,BAYU,BAYU BUANA TBK
35551851.0,More Than 5%,UNION BANCAIRE PRIVEE UBP SA SINGAPORE BRANCH,False,10.07,BAYU,BAYU BUANA TBK
27755615.0,More Than 5%,BANK JULIUS BAER AND CO LTD SINGAPORE,False,7.86,BAYU,BAYU BUANA TBK
22955600.0,More Than 5%,BANK OF SINGAPORE LIMITED,False,6.49,BAYU,BAYU BUANA TBK
67729950000.0,More Than 5%,PT DWIMURIA INVESTAMA ANDALAN,True,54.942,BBCA,PT BANK CENTRAL ASIA TBK
13228508531.0,More Than 5%,PT MEGA CORPORA,True,60.88,BBHI,PT ALLO BANK INDONESIA TBK
2497816903.0,More Than 5%,PT BUKALAPAK.COM TBK,False,11.49,BBHI,PT ALLO BANK INDONESIA TBK
1521117930.0,More Than 5%,ABADI INVESTMENT PTE LTD,False,7.0,BBHI,PT ALLO BANK INDONESIA TBK
1303815386.0,More Than 5%,PT INDOLIFE INVESTAMA PERKASA,False,6.0,BBHI,PT ALLO BANK INDONESIA TBK
125655736951.0,More Than 5%,KOOKMIN BANK CO LTD,True,67.0,BBKP,PT BANK KB INDONESIA TBK
31900000000.0,More Than 5%,STIC EUGENE STAR HOLDING INC,False,17.0,BBKP,PT BANK KB INDONESIA TBK
1112584069.0,More Than 5%,PT SARI DASA KARSA,True,67.6,BBLD,BUANA FINANCE TBK
87688200.0,More Than 5%,BANK OF SINGAPORE LIMITED,False,5.33,BBLD,BUANA FINANCE TBK
3658020000.0,More Than 5%,PT MESTIKA BENUA MAS,True,89.44,BBMD,PT BANK MESTIKA DHARMA TBK
22378387749.0,More Than 5%,PT DANANTARA ASSET MANAGEMENT (PERSERO),False,60.0,BBNI,PT BANK NEGARA INDONESIA (PERSERO) TBK
1.0,More Than 5%,NEGARA REPUBLIK INDONESIA,True,0.0,BBNI,PT BANK NEGARA INDONESIA (PERSERO) TBK
80610976875.0,More Than 5%,PT DANANTARA ASSET MANAGEMENT (PERSERO),False,53.1879,BBRI,PT BANK RAKYAT INDONESIA (PERSERO) TBK
1.0,More Than 5%,NEGARA REPUBLIK INDONESIA,True,0.0,BBRI,PT BANK RAKYAT INDONESIA (PERSERO) TBK
5997334652.0,More Than 5%,PT MARCO POLO INDONESIA,True,70.728,BBRM,PELAYARAN NASIONAL BINA BUANA RAYA TBK
1066666666.0,More Than 5%,NAM CHEONG PIONEER SDN BHD,True,12.579,BBRM,PELAYARAN NASIONAL BINA BUANA RAYA TBK
635536000.0,More Than 5%,PT SINAR BINTANG MAKMUR,False,7.495,BBRM,PELAYARAN NASIONAL BINA BUANA RAYA TBK
2756042477.0,More Than 5%,PT FINACCEL TEKNOLOGI INDONESIA,True,75.0,BBSI,PT KROM BANK INDONESIA TBK
182533737.0,More Than 5%,PT SUN LAND INVESTAMA,False,4.97,BBSI,PT KROM BANK INDONESIA TBK
178971567.0,More Than 5%,PT SUN ANTARNUSA INVESTMENT,False,4.87,BBSI,PT KROM BANK INDONESIA TBK
3499950000.0,More Than 5%,PT AGUNG ALAM ANUGRAH,True,72.92,BBSS,PT BUMI BENOWO SUKSES SEJAHTERA TBK
796862800.0,More Than 5%,PT AGUNG ANUGRAH INVESTAMA,False,16.6,BBSS,PT BUMI BENOWO SUKSES SEJAHTERA TBK
8420666647.0,More Than 5%,PT DANANTARA ASSET MANAGEMENT (PERSERO),False,60.0,BBTN,PT BANK TABUNGAN NEGARA (PERSERO) TBK
1.0,More Than 5%,NEGARA REPUBLIK INDONESIA,True,0.0,BBTN,PT BANK TABUNGAN NEGARA (PERSERO) TBK
4598768727.0,More Than 5%,PT AKULAKU SILVRR INDONESIA,True,34.45,BBYB,PT BANK NEO COMMERCE TBK
962931705.0,More Than 5%,PT GOZCO CAPITAL,False,7.21,BBYB,PT BANK NEO COMMERCE TBK
736968376.0,More Than 5%,ROCKCORE FINANCIAL TECHNOLOGY CO LTD,False,5.52,BBYB,PT BANK NEO COMMERCE TBK
23524335155.0,More Than 5%,PT MNC ASIA HOLDING TBK,True,55.2,BCAP,MNC KAPITAL INDONESIA TBK
3900000000.0,More Than 5%,JALAN PANTAI LIMITED,False,9.15,BCAP,MNC KAPITAL INDONESIA TBK
3708705000.0,More Than 5%,HT INVESTMENT DEVELOPMENT LTD,False,8.7,BCAP,MNC KAPITAL INDONESIA TBK
2782427300.0,More Than 5%,UOB KAY HIAN HONG KONG LTD,False,6.53,BCAP,MNC KAPITAL INDONESIA TBK
13081512691.0,More Than 5%,J TRUST CO LTD,True,72.23,BCIC,PT BANK JTRUST INDONESIA TBK
3466227648.0,More Than 5%,J TRUST ASIA PTE LTD,False,19.14,BCIC,PT BANK JTRUST INDONESIA TBK
251471458.0,More Than 5%,PT JTRUST INVESTMENT INDONESIA,False,1.39,BCIC,PT BANK JTRUST INDONESIA TBK
557147100.0,More Than 5%,PT BUMI CITRA INVESTINDO,True,38.96,BCIP,BUMI CITRA PERMAI TBK
73439900.0,More Than 5%,PT BENTENG TERANG SEJAHTERA,False,5.14,BCIP,BUMI CITRA PERMAI TBK
9038053192.0,More Than 5%,MUFG BANK LTD,True,92.47,BDMN,PT BANK DANAMON INDONESIA TBK
5732270843.0,More Than 5%,ASIA AGRI INTERNATIONAL PTE LTD,True,70.59,BEEF,PT ESTIKA TATA TIARA TBK
34289755661.0,More Than 5%,PEMERINTAH PROVINSI BANTEN,True,66.11,BEKS,PT BANK PEMBANGUNAN DAERAH BANTEN TBK
5717884100.0,More Than 5%,TRISULA INTERNATIONAL TBK,True,78.87,BELL,PT TRISULA TEXTILE INDUSTRIES TBK
724549700.0,More Than 5%,PT SOUTHERN CROSS TEXTILE INDUSTRY,False,9.99,BELL,PT TRISULA TEXTILE INDUSTRIES TBK
500000.0,More Than 5%,PT TRISULA INSAN TIARA,False,0.01,BELL,PT TRISULA TEXTILE INDUSTRIES TBK
2695947180.0,More Than 5%,PT BATULICIN ENAM SEMBILAN TRANSPORTASI,True,78.36,BESS,PT BATULICIN NUSANTARA MARITIM TBK
208854100.0,More Than 5%,PT MEGA ASTA RAYA,False,6.07,BESS,PT BATULICIN NUSANTARA MARITIM TBK
4643604400.0,More Than 5%,PT ARGO MANUNGGAL LAND DEVELOPMENT,True,48.13,BEST,BEKASI FAJAR INDUSTRIAL ESTATE TBK
964750000.0,More Than 5%,NSL CLIENT SEGREGATED AC,False,10.0,BEST,BEKASI FAJAR INDUSTRIAL ESTATE TBK
0.0,More Than 5%,DAIWA HOUSE INDUSTRY CO LTD,False,0.0,BEST,BEKASI FAJAR INDUSTRIAL ESTATE TBK
7688125938.0,More Than 5%,TRINUGRAHA CAPITAL CO SCA,True,51.12,BFIN,BFI FINANCE INDONESIA TBK
767866700.0,More Than 5%,DB SPORE SES CLT AC,False,5.11,BFIN,BFI FINANCE INDONESIA TBK
8036410000.0,More Than 5%,EQUITY DEVELOPMENT INVESTMENT TBK,True,33.53,BGTG,PT BANK GANESHA TBK
5736363400.0,More Than 5%,EQUITY GLOBAL INTERNATIONAL LIMITED,False,23.93,BGTG,PT BANK GANESHA TBK
1388305300.0,More Than 5%,UOB KAY HIAN PTE LTD,False,5.79,BGTG,PT BANK GANESHA TBK
2700000000.0,More Than 5%,PT BHAKTI ARTHA GLOBAL,True,54.0,BHAT,PT BHAKTI MULTI ARTHA TBK
300000000.0,More Than 5%,PT SURYA DUTA MAS,False,6.0,BHAT,PT BHAKTI MULTI ARTHA TBK
0.0,More Than 5%,EASTERN PEAK GROUP CORPORATION,False,0.0,BHAT,PT BHAKTI MULTI ARTHA TBK
13238835716.0,More Than 5%,HT INVESTMENT DEVELOPMENT LTD,True,15.85,BHIT,PT MNC ASIA HOLDING TBK
8321109800.0,More Than 5%,CARAVAGGIO HOLDINGS LIMITED,False,9.96,BHIT,PT MNC ASIA HOLDING TBK
5262220112.0,More Than 5%,PT BHAKTI PANJIWIRA,True,6.3,BHIT,PT MNC ASIA HOLDING TBK
526475716.0,More Than 5%,PT GOLDEN LESTARI,True,86.56,BIMA,PRIMARINDO ASIA INFRASTRUCTURE TBK
1400830852.0,More Than 5%,PT INDOLIFE PENSIONTAMA,True,22.83,BINA,PT BANK INA PERDANA TBK
1114213066.0,More Than 5%,PT SAMUDRA BIRU,False,18.16,BINA,PT BANK INA PERDANA TBK
1034416550.0,More Than 5%,UOB KAY HIAN PTE LTD,False,16.86,BINA,PT BANK INA PERDANA TBK
726190057.0,More Than 5%,PT GAYA HIDUP MASA KINI,False,11.84,BINA,PT BANK INA PERDANA TBK
