kodeEmiten,NamaEmiten,field,year,contextRef,id,name,NamaPemilik,AlamatPemilik
ACES,PT ASPIRASI HIDUP INDONESIA TBK,idx-cor:PartyName,2023,PriorYearDuration_1616000_RelatedParty5Member,IXF1616000E02_1378_00040_00_0001,PT HOME CENTER INDONESIA,PT KAWAN LAMA SEJAHTERA,"Jl. Puri Kencana No. 1, Jakarta Barat, Provinsi Dki Jakarta"
ACES,PT ASPIRASI HIDUP INDONESIA TBK,idx-cor:PartyName,2023,PriorYearDuration_1616000_RelatedParty8Member,IXF1616000E02_1378_00043_00_0001,PT GRAHA MAKMUR LESTARI,PT TIGA DUA DELAPAN,"Gedung Kawan Lama Jl Puri Kencana No 1 Jakarta Barat, Kelurahan/Desa Kembangan Selatan, Jakarta Barat, Provinsi Dki Jakarta"
ACES,PT ASPIRASI HIDUP INDONESIA TBK,idx-cor:PartyName,2023,PriorYearDuration_1616000_ThirdParty10Member,IXF1616000E02_1378_00046_00_0001,PT MATAHARI GRAHA FANTASI,JOHANES JANY PT NADYA PRIMA INDONESIA,"Jl. Raya Pegangsaan Dua Nomor 88, Jakarta Utara, Provinsi Dki Jakarta"
ACST,PT ACSET INDONUSA TBK,idx-cor:PartyName,2024,CurrentYearDuration_1616000_RelatedParty5Member,IXF1616000E02_1378_00016_00_0001,PT ASTRA DAIHATSU MOTOR,SHANTOU JINJIA TRADING CO LTD,"Jl. Gaya Motor Iii No.5, Jakarta Utara, Kelurahan/Desa Sungai Bambu, Jakarta Utara, Provinsi Dki Jakarta"
ACST,PT ACSET INDONUSA TBK,idx-cor:PartyName,2024,CurrentYearDuration_1616000_ThirdParty1Member,IXF1616000E02_1378_00023_00_0001,GDS IDC SERVICES PTE LTD,GDS HOLDINGS LTD,"Kawasan Ekonomi Khusus Nongsa, Jalan Hang Lekiu Km 2, Teluk Mata Ikan, RT 004, RW 007, Kelurahan/Desa Sambau, Kecamatan Nongsa, Kota Batam, Provinsi Kepulauan Riau"
ACST,PT ACSET INDONUSA TBK,idx-cor:PartyName,2024,CurrentYearDuration_1616000_ThirdParty5Member,IXF1616000E02_1378_00027_00_0001,PT STARONE MITRA TELEKOMUNIKASI,BDX ASIA DATA CENTER HOLDINGS PTE LTD,"Jl. Pemuda No.142, Kota Semarang, Provinsi Jawa Tengah"
ACST,PT ACSET INDONUSA TBK,idx-cor:PartyName,2023,PriorYearDuration_1616000_RelatedParty5Member,IXF1616000E02_1378_00040_00_0001,PT ASTRA DAIHATSU MOTOR,SHANTOU JINJIA TRADING CO LTD,"Jl. Gaya Motor Iii No.5, Jakarta Utara, Kelurahan/Desa Sungai Bambu, Jakarta Utara, Provinsi Dki Jakarta"
ACST,PT ACSET INDONUSA TBK,idx-cor:PartyName,2023,PriorYearDuration_1616000_ThirdParty1Member,IXF1616000E02_1378_00047_00_0001,GDS IDC SERVICES PTE LTD,GDS HOLDINGS LTD,"Kawasan Ekonomi Khusus Nongsa, Jalan Hang Lekiu Km 2, Teluk Mata Ikan, RT 004, RW 007, Kelurahan/Desa Sambau, Kecamatan Nongsa, Kota Batam, Provinsi Kepulauan Riau"
ACST,PT ACSET INDONUSA TBK,idx-cor:PartyName,2023,PriorYearDuration_1616000_ThirdParty5Member,IXF1616000E02_1378_00051_00_0001,PT STARONE MITRA TELEKOMUNIKASI,BDX ASIA DATA CENTER HOLDINGS PTE LTD,"Jl. Pemuda No.142, Kota Semarang, Provinsi Jawa Tengah"
ADHI,PT ADHI KARYA (PERSERO) TBK,idx-cor:CounterpartyName,2024,CurrentYearDuration_2620300_Rank1CounterpartyMember_RelatedPartyMember,IXF2620300E02_1368_00044_00_0001,PT SEMESTA MARGA RAYA,INDONESIA INVESTMENT AUTHORITY,"Gedung Hotel-kantor Dafam Teraskita 3a, Jalan Mas Tirtodarmo Haryono, Kaveling 10 A, , Kelurahan/Desa Cipinang Cempedak, Jakarta Timur, Provinsi Dki Jakarta"
ADHI,PT ADHI KARYA (PERSERO) TBK,idx-cor:CounterpartyName,2023,PriorEndYearDuration_2620300_Rank2CounterpartyMember_RelatedPartyMember,IXF2620300E02_1368_00092_00_0001,PT SEMESTA MARGA RAYA,INDONESIA INVESTMENT AUTHORITY,"Gedung Hotel-kantor Dafam Teraskita 3a, Jalan Mas Tirtodarmo Haryono, Kaveling 10 A, , Kelurahan/Desa Cipinang Cempedak, Jakarta Timur, Provinsi Dki Jakarta"
ADMG,POLYCHEM INDONESIA TBK,idx-cor:PartyName,2024,CurrentYearDuration_1616000_RelatedParty1Member,IXF1616000E02_1378_00012_00_0001,PT FILAMENDO SAKTI,SHANTOU MARIA INVESTMENT CO LTD,"Jl. Hayam Wuruk Nomor 8 Lt. 14, Jakarta Pusat, Provinsi Dki Jakarta"
ADMG,POLYCHEM INDONESIA TBK,idx-cor:PartyName,2023,PriorYearDuration_1616000_RelatedParty1Member,IXF1616000E02_1378_00036_00_0001,PT FILAMENDO SAKTI,SHANTOU MARIA INVESTMENT CO LTD,"Jl. Hayam Wuruk Nomor 8 Lt. 14, Jakarta Pusat, Provinsi Dki Jakarta"
ADMG,POLYCHEM INDONESIA TBK,idx-cor:CounterpartyName,2023,PriorEndYearDuration_1620300_Rank2CounterpartyMember_RelatedPartyMember,IXF1620300E02_1368_00092_00_0001,PT FILAMENDO SAKTI,SHANTOU MARIA INVESTMENT CO LTD,"Jl. Hayam Wuruk Nomor 8 Lt. 14, Jakarta Pusat, Provinsi Dki Jakarta"
ADMG,POLYCHEM INDONESIA TBK,idx-cor:CounterpartyNameTradePayable,2024,CurrentYearDuration_1640300_Rank1CounterpartyMember_ThirdPartyMember,IXF1640300E02_1451_00043_00_0001,PT ECOGREEN OLEOCHEMICALS,SHANTOU MARIA INVESTMENT CO LTD,"Jl.raya Pelabuhan Kabil.kav.no.1, Nongsa - Kabil, Kota Batam, Provinsi Kepulauan Riau"
ADMG,POLYCHEM INDONESIA TBK,idx-cor:CounterpartyNameTradePayable,2023,PriorEndYearDuration_1640300_Rank1CounterpartyMember_ThirdPartyMember,IXF1640300E02_1451_00087_00_0001,PT ECOGREEN OLEOCHEMICALS,SHANTOU MARIA INVESTMENT CO LTD,"Jl.raya Pelabuhan Kabil.kav.no.1, Nongsa - Kabil, Kota Batam, Provinsi Kepulauan Riau"
ADMG,POLYCHEM INDONESIA TBK,idx-cor:CounterpartyNameTradePayable,2023,PriorEndYearDuration_1640300_Rank3CounterpartyMember_ThirdPartyMember,IXF1640300E02_1451_00091_00_0001,PT RHEEM INDONESIA,PT GESIT ALUMAS,"Jl.pulogadung No.33 Kawasan Industri Pulogadung,jakarta Timur, Jakarta Timur, Provinsi Dki Jakarta"
