Nama,Closeness
MERNI HIDAYAT,1.0
PT SINAR INTI MAJU,1.0
WANG CHUNYI,1.0
PT LANGIT METAL INDUSTRY,1.0
MIEKE WIJAYA,1.0
PT LARIS JAYA KENDARI,1.0
HARIO SURYO PRATONDO,1.0
PT ARROW INDO UNIVERSAL,1.0
DICKSON SUKOHARDJO,1.0
PT BRIGHT GLAZE INDONESIA,1.0
ASEP PAHRU,1.0
CV PUTRA RANCAMAYA,1.0
SUKATONO ONG,1.0
PT ARTHA MULIA BETON,1.0
HENDRA BUNTARA SJARIFUDIN,1.0
PT PERINTIS TEKNOPRIMA,1.0
THOMAS KONSTANTIN HEUW,1.0
PT ANGKASA CIPTA CEMERLANG,1.0
ARNOLD GIOVANNI,1.0
NOVIANTI D QURROTULAINI,1.0
PT RODA DATA MANDIRI,1.0
ROBERTO BLASIUS SANGKA,1.0
PT METROCOM GLOBAL SOLUSI,1.0
DANIEL RUSLI,1.0
PT KARYA BAHANA UNIGAM,1.0
SAMUEL DERMAWAN RUSLI,1.0
PT KARYA BAHANA BERLIAN,1.0
JONGSUNG WON,1.0
PT ASIA TELCO NETWORKS,1.0
JOHNNY YUSUF BIN ABDULLAH,1.0
PT FUGRO INDONESIA,1.0
XU LU,1.0
PT FIVE STAR SHIPPING,1.0
EDI WIDYANTO WIJANA,1.0
PT APSARA TIYASA SAMBADA,1.0
PAULUS YUDIYANTO,1.0
PT KURHANZ TRANS,1.0
ANGGA DWIMAS,1.0
PT VISINEMA PICTURES,1.0
SAID HANAFI,1.0
PT MULTI UTAMA MEDIA,1.0
SUMARNO NGADIMAN,1.0
PT PANCA BOGA PARAMITA,1.0
SUNAR BASUKI,1.0
PT KARYA DIGITAL MADANI,1.0
AZRUL ANANDA,1.0
PT PERSEBAYA INDONESIA,1.0
ALI EFENDI,1.0
PT NUSA CIPTA SARANA,1.0
RENALDI TOWOLIU,1.0
PT PILAR PUTRA MAHAKAM,1.0
YULIANI,1.0
PT SAMUDERA MARITIME INDONESIA,1.0
DEDENG MARCO SAPUTRA,1.0
PT SELAMAT JAYA ENERGI,1.0
HERRY HERMAWANTO,1.0
PT ARMADA BAHARI NUSANTARA,1.0
SUN GANG,1.0
PT YUXIN SHIPPING LINE,1.0
NAOTO KAWAI,1.0
PT MIURA INDONESIA,1.0
ALBERT,1.0
PT SATRIA PUTRA PERSADA,1.0
ADITYA PRATOMO,1.0
PT HARMONI INSAN BERSAMA,1.0
DIKY,1.0
CV HEMDEN CORP,1.0
ASJHARI CAHYADI,1.0
KOPERASI KARYAWAN PT BUKAKA TEKNIK UTAMA TBK,1.0
CHANG JUNG HEOK,1.0
PT DOOSAN HEAVY INDUSTRIES INDONESIA,1.0
BOB SUGIARTO,1.0
PT MODERN WIDYA TEHNICAL,1.0
M KHAIRNADHIF KASYFILLAH,1.0
PT NIMATA BUMI PERSADA,1.0
ANDREANSYAH PUTUT WISANGGENI,1.0
PT PRODIGY ENERGY RESOURCES,1.0
DWIJANTO GONDOKUSUMO,1.0
MASKAPAI REASURANSI INDONESIA TBK,1.0
BOYKE WANGGE GOZALI,1.0
INDONESIA PRIMA PROPERTY TBK,1.0
KO PUJI,1.0
COLLIN PETER DE WIT,1.0
ASIA PACIFIC FIBERS TBK,1.0
LEE EE LING,1.0
BAGUS SETIAGUNG BUDI SANTOSO,1.0
PT PACRIM NUSANTARA LESTARI FOODS,1.0
SUGIYARTO,1.0
CV SUGI PERKASA,1.0
RIDWAN ABADI,1.0
PT BANGUN KREATIF ABADI,1.0
HENRI GUNAWAN,1.0
PT JASUINDO INFORMATIKA PRATAMA,1.0
RUI ZHE SUN,1.0
PT LITUP NETWORK INDONESIA,1.0
INDRA CAHYONO,1.0
PT MITRASELARAS INTI PRIMA,1.0
TAN KIONG,1.0
PT JAKPON MITRA SELARAS,1.0
SABARI,1.0
PT KARYA MANUNGGAL PRAKARSA,1.0
DERY CHARISMAWAN,1.0
PT PANCAR TEKNIK UTAMA MANDIRI,1.0
ANAS MARUF,1.0
PT TIGA WARNA JAYA INDONESIA,1.0
I NYOMAN PUJA,1.0
PT SIAP BALI,1.0
CHIN SU FAH,1.0
PT INTERNATIONAL PACKAGING MANUFACTURING,1.0
LIM HONG,1.0
PT INTERFLEX SEJAHTERA PERDANA,1.0
ARIF RACHMAT KURNIAWAN,1.0
PT SARI SARANA KIMIATAMA,1.0
RUSLI GUNAWAN,1.0
PT INDOCHEMICAL CITRA KIMIA,1.0
TONY SUSANTO,1.0
PT BRENNTAG,1.0
SARDIANA,1.0
PT NAWASENA MANDIRI PERKASA,1.0
ANDY GUNAWAN,1.0
PT SUMBER NUGRAHA BERJAYA,1.0
IRENE STEPHANIE ELIM K,1.0
PT ASA REN GLOBAL NUSANTARA,1.0
I MADE RUDIASA,1.0
YAYASAN ADHIMUKTI SASTRA KAWISWARA ACARYA,1.0
YAUHENI PAVELKA,1.0
PT STRATEGIC HEALTHCARE INDONESIA,1.0
NANDANG SOLIHIN,1.0
PT KARYA NADISO UTAMA,1.0
ALVIN GUNAWAN,1.0
CV KREASI IMPIAN TERWUJUD,1.0
TEMY SETIAWAN,1.0
PT SATYA ABADI VISIMED,1.0
TEN YI LUNG,1.0
