Nama,PageRank
LION METAL WORKS TBK,0.75
PLAZA INDONESIA REALTY TBK,0.73
PT INDO OIL PERKASA TBK,0.72
PT FREEPORT INDONESIA,0.72
PT WINNER NUSANTARA JAYA TBK,0.72
PT GADJAH RUKU,0.72
PT ASIA PACIFIC INVESTAMA TBK,0.72
PT JASNITA TELEKOMINDO TBK,0.72
PT BUYUNG POETRA SEMBADA TBK,0.72
PT ANABATIC TECHNOLOGIES TBK,0.72
PT SAMADISTA KARYA,0.71
PT TRINITI DINAMIK TBK,0.71
PT CAHAYAPUTRA ASA KERAMIK TBK,0.7
PT YELOOO INTEGRA DATANET TBK,0.7
PT TUNAS JAYA PERKASA,0.7
SELAMAT SEMPURNA TBK,0.7
BARITO PACIFIC TBK,0.69
MULTI INDOCITRA TBK,0.69
PT JAYA SUKSES MAKMUR SENTOSA TBK,0.69
PT WIJAYA KARYA (PERSERO) TBK,0.69
PT OBM DRILCHEM TBK,0.69
PT OMNI INOVASI INDONESIA TBK,0.68
PT MAP BOGA ADIPERKASA TBK,0.67
PT MITRABARA ADIPERDANA TBK,0.67
JAKARTA INTERNATIONAL HOTELS & DEVELOPMENT TBK,0.67
KALBE FARMA TBK,0.66
PT JASA MARGA TBK,0.66
PT ERA GRAHAREALTY TBK,0.66
PT PRADIKSI GUNATAMA TBK,0.66
PT MEGA PERINTIS TBK,0.66
PT INDOVISI SUKSES MANDIRI,0.66
PT SATRIA MEGA KENCANA TBK,0.66
PT SIANTAR TOP TBK,0.66
MUSTIKA RATU TBK,0.66
PT ASURANSI ASTRA BUANA,0.66
PT GEOPRIMA SOLUSI TBK,0.66
GARDA TUJUH BUANA TBK,0.66
PT GREENWOOD SEJAHTERA TBK,0.66
PT JAYA TRISHINDO TBK,0.66
PT GARUDA INDOPRIMA LESTARI,0.66
CENTRAL PROTEINA PRIMA TBK,0.66
PT ASIA SEJAHTERA MINA TBK,0.66
PT PACKET SYSTEMS INDONESIA,0.66
PT DAMAI SEJAHTERA ABADI TBK,0.66
WISMILAK INTI MAKMUR TBK,0.66
PT BINTANG SAMUDERA MANDIRI LINES TBK,0.66
BETONJAYA MANUNGGAL TBK,0.66
PT STARINDO JAYA PACKAGING,0.66
PT MUTIARA ANUGERAH SAMUDERA,0.66
PT INDO-RAMA SYNTHETICS TBK,0.66
PT CAKRA LIMA,0.66
PT WITA LARAS KIRANA,0.66
PT LCK GLOBAL KEDATON TBK,0.66
PT AVIA AVIAN TBK,0.66
PT FALMACO NONWOVEN INDUSTRI TBK,0.66
PT LAUT TIMUR ARDIPRIMA,0.66
PT SINAR BORNEO METALINDO,0.66
PT AINO INDONESIA,0.66
PT TANJUNG HARAPAN SELATAN,0.66
PT GUNUNGMAS SUKSES MAKMUR,0.66
PT KUKAR MANDIRI SHIPYARD,0.66
PT PANTJA TIRTA DRAWANA,0.66
PT BUMA INTERNASIONAL GRUP TBK,0.66
PT MORENZO ABADI PERKASA TBK,0.66
PELAYARAN NASIONAL BINA BUANA RAYA TBK,0.66
PT PUTRA RAJAWALI KENCANA TBK,0.66
STEADY SAFE TBK,0.66
PT RESPATI KEMASINDAH,0.66
PT TERREGRA ASIA ENERGY,0.66
PT THERMAX INTERNATIONAL INDONESIA,0.66
PT BAASITHU BOGA SERVICES,0.66
PT INDOSALUYU PRIMAJAYA,0.66
PT NAVA HITA KARANA,0.66
PT GRAND HOUSE MULIA TBK,0.64
PT INTEGRA INDOCABINET TBK,0.64
DESTINASI TIRTA NUSANTARA TBK,0.63
PT MURNI SADAR TBK,0.63
PT SINERGI GLOBAL SERVIS,0.63
TIRTA MAHAKAM RESOURCES TBK,0.63
ASURANSI BINTANG TBK,0.62
PT SELERA MITRA SENTOSA,0.62
PT KIOSON KOMERSIAL INDONESIA TBK,0.62
PT BERKAH PRIMA PERKASA TBK,0.62
PT CAMPINA ICE CREAM INDUSTRY TBK,0.62
PT BINTANG GRAHA MAKMUR,0.61
PT TRAKTOR NUSANTARA,0.61
PT LENOX PASIFIK INVESTAMA TBK,0.6
PT VISI TELEKOMUNIKASI INFRASTRUKTUR TBK,0.6
TIGARAKSA SATRIA TBK,0.6
PT BUANA LINTAS LAUTAN TBK,0.6
PT VICTORIA CARE INDONESIA TBK,0.6
PT LOGINDO SAMUDRAMAKMUR TBK,0.6
MALINDO FEEDMILL TBK,0.6
PANORAMA SENTRAWISATA TBK,0.6
PT PARAMITA BANGUN SARANA TBK,0.6
PUDJIADI & SONS TBK,0.6
PT NUSANTARA SEJAHTERA RAYA,0.6
MANDOM INDONESIA TBK,0.6
PT SENTRA MULTI KARYA,0.6
PT MARGA MANDALASAKTI,0.6
MITRA INVESTINDO TBK,0.6
PT TRI SAPTA SEJAHTERA,0.6
PT SUMBER ALFARIA TRIJAYA TBK,0.6
PT UNIVERSAL CIPTA PANGAN,0.6
PT FAJAR MITRA INDAH,0.59
PT UNIPACK INDOSYSTEMS,0.59
BANK ARTHA GRAHA INTERNASIONAL TBK,0.59
PT MAHKOTA GROUP TBK,0.59
JAPFA COMFEED INDONESIA TBK,0.58
PT ULTRAJAYA MILK INDUSTRY & TRADING COMPANY TBK,0.58
GOZCO PLANTATIONS TBK,0.58
PT TEMPO DIGITAL NUSANTARA,0.58
MAYORA INDAH TBK,0.57
PT BERLIAN MITRA INTI,0.57
PT SUMBER KOPI PRIMA,0.57
PT SURYA SEMESTA INTERNUSA TBK,0.57
ESSA INDUSTRIES INDONESIA TBK,0.57
PT NUSA RAYA CIPTA TBK,0.56
METRODATA ELECTRONICS TBK,0.56
PT SURYA BIRU MURNI ACETYLENE TBK,0.56
PT BUANA ARTHA ANUGERAH TBK,0.56
PT ARACORD NUSANTARA GROUP TBK,0.56
MODERN INTERNASIONAL TBK,0.55
PT TRIMITRA PROPERTINDO TBK,0.55
PT MULTI HARAPAN UTAMA,0.55
JAKARTA SETIABUDI INTERNASIONAL TBK,0.55
PT BINTANG OTO GLOBAL TBK,0.55
PT SENTRAL MITRA INFORMATIKA TBK,0.54
ASURANSI BINA DANA ARTA TBK,0.53
PERDANA GAPURA PRIMA TBK,0.53
PT HASNUR JAYA INTERNATIONAL,0.53
PT TOA GALVA INDUSTRIES,0.53
PT PRATAMA WIDYA TBK,0.53
PT CAKRA INDO PRATAMA,0.53
PT DHARMA SUBUR SATYA,0.53
PT SATYAMITRA KEMAS LESTARI TBK,0.53
PT SUMMARECON AGUNG TBK,0.53
PT BOSTON FURNITURE INDUSTRIES TBK,0.53
CENTRAL OMEGA RESOURCES TBK,0.53
PT INDOJOY FORTUNA,0.53
PT TRIMUDA NUANSA CITRA TBK,0.53
EAGLE HIGH PLANTATIONS TBK,0.53
PT CITRA PUTRA REALTY TBK,0.53
COLORPAK INDONESIA TBK,0.53
ARWANA CITRAMULIA TBK,0.53
PT BHIRAWA STEEL,0.53
PT BUMI PETANGIS,0.53
PT WIRA GLOBAL SOLUSI TBK,0.53
PT MASTERSYSTEM INFOTAMA TBK,0.53
PT BUMI SERPONG DAMAI TBK,0.53
MINNA PADI INVESTAMA SEKURITAS TBK,0.53
PT PERSIS SOLO SAESTU,0.53
PT LIM SIANG HUAT BALINDO,0.53
PT PAITON ENERGY,0.53
PT NUSAJAYA SEJAHTERA COMPUTER,0.53
PT HUAWEI TECH INVESTMENT,0.53
PT SARANA RUSEL VICTORY,0.53
INTER-DELTA TBK,0.53
PT INDOSAT TBK,0.53
PT SINAR BINTANG ALBAR,0.53
PT SINEMA GRAHA CITRA,0.53
MIDI UTAMA INDONESIA TBK,0.53
TEMPO INTI MEDIA TBK,0.53
TOTAL BANGUN PERSADA TBK,0.53
PT TIGA SEKAWAN SERASI,0.53
PT PANDEGA LAYAR PRIMA,0.53
PT KURNIA BUMIINDAH CEMERLANG,0.53
PT PASIFIC PRIMA MENTARI,0.53
PT PRATITA PRAMA NUGRAHA,0.53
PT MATARAM AGUNG,0.53
PT CHAMP RESTO INDONESIA TBK,0.53
PT GIHON TELEKOMUNIKASI INDONESIA TBK,0.53
PT EPSINDO JAYA PRATAMA,0.53
ENERGI MEGA PERSADA TBK,0.53
PT MULIAKERAMIK INDAHRAYA,0.53
PT BARUNA RAYA LOGISTICS,0.53
PT SUKSES TEKNIK INOVASI,0.53
PT WESTSTAR AVIATION INDONESIA,0.53
PT EKA GRAHAINTAN MAKMUR,0.53
PT MARIZARASA SARIMURNI,0.53
CV BASO SOEKAKOE,0.53
PT NUSA EKA WINAPRATAMA,0.53
PT SINTA PRIMA FEEDMILL,0.53
PT FKS FOOD SEJAHTERA TBK,0.53
PT YUDHA BANGUN PERSADA,0.53
PT POLIKEMAS SANPUTRA,0.53
PT OSHA ASIA,0.53
PT SARI TIRTA INDONESIA,0.53
PT MAHA PROPERTI INDONESIA TBK,0.53
APEXINDO PRATAMA DUTA TBK,0.51
PT GOLDEN FLOWER TBK,0.51
RISTIA BINTANG MAHKOTASEJATI TBK,0.51
LIONMESH PRIMA TBK,0.51
PT DCI INDONESIA TBK,0.51
BUMI TEKNOKULTURA UNGGUL TBK,0.5
MITRA INTERNATIONAL RESOURCES TBK,0.5
PT RMK ENERGY TBK,0.5
VALE INDONESIA TBK,0.49
BERLIAN LAJU TANKER TBK,0.49
PT GAYA ABADI SEMPURNA TBK,0.49
PT ANDIRA AGRO TBK,0.49
PT META EPSI TBK,0.49
PT ASPIRASI HIDUP INDONESIA TBK,0.49
PT DAFAM PROPERTY INDONESIA TBK,0.48
TUNAS BARU LAMPUNG TBK,0.47
JAYA KONSTRUKSI MANGGALA PRATAMA TBK,0.47
PT BUNDAMEDIK TBK,0.47
PT ABIOSO BATARA ALBA,0.47
PAKUWON JATI TBK,0.47
PT KRAKATAU WAJATAMA OSAKA STEEL MARKETING,0.47
LANGGENG MAKMUR INDUSTRI TBK,0.47
PT NFC INDONESIA TBK,0.47
PT BINA PERTIWI ENERGI,0.47
PT BUANA CHANDRA MANDIRI,0.47
PT ASTRA GRAPHIA INFORMATION TECHNOLOGY,0.47
ASURANSI RAMAYANA TBK,0.47
PT INDONESIA PONDASI RAYA TBK,0.47
PT MAKASSAR TENE,0.47
PT BINTANI MEGAHINDAH,0.47
PT BUNGASARI FLOUR MILLS INDONESIA,0.47
PT KRAMA YUDHA TIGA BERLIAN MOTORS,0.47
PT GEOSERVICES,0.47
INDONESIAN PARADISE PROPERTY TBK,0.47
ASIA PARAMITA INDAH,0.47
PT BINA SARANA SUKSES,0.47
PT AUTHENTIK MANDIRI BATAM,0.47
PT ALITA PRAYA MITRA,0.47
PT TUDUNG PUTRA PUTRI JAYA,0.46
PT BATULICIN NUSANTARA MARITIM TBK,0.46
INDOSPRING TBK,0.46
ASTRA OTOPARTS TBK,0.45
KAWASAN INDUSTRI JABABEKA TBK,0.45
PT FORMOSA INGREDIENT FACTORY TBK,0.45
PT SUMBER TANI AGUNG RESOURCES TBK,0.45
PT SETIA KAWAN ABADI,0.45
PT SINAR PERDANA KURNIA ALAM,0.45
PT ANDALAN SAKTI PRIMAINDO TBK,0.45
PT ALTO NETWORK,0.44
PT MIFA BERSAUDARA,0.44
BUKAKA TEKNIK UTAMA TBK,0.44
CITRA MARGA NUSAPHALA PERSADA TBK,0.44
INTILAND DEVELOPMENT TBK,0.43
PT GRAHA TUNASMEKAR,0.43
PT IMC PELITA LOGISTIK TBK,0.43
ASTRA AGRO LESTARI TBK,0.43
PT MAHKOTA SENTOSA UTAMA,0.43
PT SINGARAJA PUTRA TBK,0.43
PT SURYA INTI SARANA,0.43
PT TRIMEGAH SEKURITAS INDONESIA TBK,0.42
BUMI RESOURCES TBK,0.42
PEMBANGUNAN JAYA ANCOL TBK,0.42
ONIX CAPITAL TBK,0.42
SONA TOPAS TOURISM INDUSTRY TBK,0.42
PT RAJAWALI CITRA TELEVISI INDONESIA,0.42
PT GAMA BOJONEGARA JAYA,0.42
INDOMOBIL SUKSES INTERNASIONAL TBK,0.41
PT DELTA SYSTECH INDONESIA,0.41
SALIM IVOMAS PRATAMA TBK,0.41
ARGHA KARYA PRIMA IND. TBK,0.41
KEDAWUNG SETIA INDUSTRIAL TBK,0.41
PT PRESTISIUS INDONESIA,0.41
PT ERHA CLINIC INDONESIA,0.41
PT ARCHI INDONESIA TBK,0.41
ALAKASA INDUSTRINDO TBK,0.4
AKASHA WIRA INTERNATIONAL TBK,0.4
PT ARKHA JAYANTI PERSADA TBK,0.4
PT TRIMITRA PRAWARA GOLDLAND TBK,0.4
PT MITRA ANGKASA SEJAHTERA TBK,0.4
CV JASA SAHABAT ABADI,0.4
PT TIRTA AMERTA JAYA LOGISTIK,0.4
PT RAJAWALI NUSINDO,0.4
KARUNIA SELARAS ABADI,0.4
PT LOTUS LINGGA PRATAMA,0.4
PT MANDIRI INDAH MAKASSAR,0.4
RAMAYANA LESTARI SENTOSA TBK,0.4
SENTUL CITY TBK,0.4
LEYAND INTERNATIONAL TBK,0.4
PT PALMA SERASIH TBK,0.4
PT PRIMA GLOBALINDO LOGISTIK TBK,0.4
PT BANK MASPION INDONESIA TBK,0.4
BANK SINARMAS TBK,0.4
PT SAMEKARINDO INDAH,0.4
PT MITRA CIPTA TEKNOLOGI,0.4
PT FKS TRUKINDO UTAMA,0.4
PT MNC KABEL MEDIACOM,0.4
PT INFRAFORCE EQUIPMENT,0.4
MERCK TBK,0.4
PT BENQ TEKNOLOGI INDONESIA,0.4
PT GLOBAL BARA UNGGUL,0.4
PT LESTARI KIRANA PERSADA,0.4
PT ROCHE INDONESIA,0.4
PT ECART WEBPORTAL INDONESIA,0.4
PT JANTI SARANA MATERIAL BETON,0.4
PT SUMBER URIP SEJATI,0.4
PT BINA MITRA INDOSEJAHTERA,0.4
PT PANCA BUDI IDAMAN TBK,0.4
PT DUTA HITA JAYA,0.4
PT SUJINDO MAKMUR CEMERLANG,0.4
PT PUNDI INDOKAYU INDUSTRI,0.4
PT PESONA KARYA BANGSA,0.4
PT BIOGEN SCIENTIFIC,0.4
PT DEMAZ NOER ABADI,0.4
PT TRIDINAMIKA JAYA INSTRUMENT,0.4
PT SUARA VISUAL INDONESIA,0.4
PT SUBAFOOD PANGAN JAYA,0.4
MATAHARI DEPARTMENT STORE TBK,0.4
SEKAR LAUT TBK,0.4
SUMI INDO KABEL TBK,0.4
PT PERINTIS NIAGA INDONESIA,0.4
PT IDMARCO PERKASA INDONESIA,0.4
PT HEXINDO ADIPERKASA TBK,0.4
PT TIRTA NUSA BUANA,0.4
PT PUTRAGAYA WAHANA,0.4
PT MULTI INDOMANDIRI,0.4
INTER WAHANA NUSANTARA,0.4
UNILEVER INDONESIA TBK,0.4
PT WAHANA CITRA NABATI,0.4
PT PRIMA SUKSES SEJAHTERA ABADI,0.4
PT BARUNA TELE NUSA,0.4
PT GEMILANG EKA DHARMA,0.4
PT GLOBAL TEKNOLOGI INTEGRASI,0.4
PT PALARAN INDAH LESTARI,0.4
PT RIUNG MITRA LESTARI,0.4
PT MULIATAMA MAKMUR SENTOSA,0.4
PT SEHAT CERAH INDONESIA,0.4
PT SINAR MITRAMULIA,0.4
