Nama,Degree
PT PRATAMA WIDYA TBK,32.0
BHUWANATALA INDAH PERMAI TBK,32.0
HM SAMPOERNA TBK,32.0
PT FAP AGRI TBK,32.0
INDO TAMBANGRAYA MEGAH TBK,32.0
TRANS POWER MARINE TBK,32.0
RICKY PUTRA GLOBALINDO TBK,32.0
TRISULA INTERNATIONAL TBK,31.0
SENTUL CITY TBK,31.0
BERLIAN LAJU TANKER TBK,31.0
PT ULIMA NITRA TBK,31.0
PT SOLUSI BANGUN INDONESIA TBK,31.0
PT GARUDA METALINDO TBK,30.0
BUMI RESOURCES TBK,30.0
PT PARAMITA BANGUN SARANA TBK,30.0
PT ARMADA BERJAYA TRANS TBK,30.0
PT SATRIA MEGA KENCANA TBK,30.0
MITRABAHTERA SEGARA SEJATI TBK,29.0
PT DAMAI SEJAHTERA ABADI TBK,29.0
COLORPAK INDONESIA TBK,29.0
PT METRO HEALTHCARE INDONESIA TBK,28.0
PT FAST FOOD INDONESIA TBK,28.0
PT CAPITAL FINANCIAL INDONESIA TBK,28.0
PT GOLDEN FLOWER TBK,28.0
JAYA AGRA WATTIE TBK,28.0
GOZCO PLANTATIONS TBK,28.0
SEJAHTERARAYA ANUGRAHJAYA TBK,28.0
PT TRIPUTRA AGRO PERSADA TBK,28.0
PT TIMAH TBK,27.0
PT ARKORA HYDRO TBK,27.0
PT INDO OIL PERKASA TBK,27.0
EXPLOITASI ENERGI INDONESIA TBK,27.0
PT BATAVIA PROSPERINDO TRANS TBK,27.0
PT OSCAR MITRA SUKSES SEJAHTERA TBK,27.0
PT SENTRAL MITRA INFORMATIKA TBK,27.0
PT JAYA SUKSES MAKMUR SENTOSA TBK,27.0
PT MINERAL SUMBERDAYA MANDIRI TBK,27.0
PT VICTORIA CARE INDONESIA TBK,27.0
PT GALVA TECHNOLOGIES TBK,27.0
UNITED TRACTORS TBK,26.0
PT BALI TOWERINDO SENTRA TBK,26.0
PT SILLO MARITIME PERDANA TBK,26.0
PT ALAMTRI MINERALS INDONESIA TBK,26.0
PT GRAHA LAYAR PRIMA TBK,26.0
CHAMPION PACIFIC INDONESIA TBK,26.0
PT MURNI SADAR TBK,26.0
PT SEMEN BATURAJA TBK,26.0
PT SUPERKRANE MITRA UTAMA TBK,26.0
PT TRANSKON JAYA TBK,26.0
PT PERINTIS TRINITI PROPERTI TBK,25.0
PT ARITA PRIMA INDONESIA TBK,25.0
PT INTERMEDIA CAPITAL TBK,25.0
MERCK TBK,25.0
PT CENTRATAMA TELEKOMUNIKASI INDONESIA TBK,25.0
PT POLLUX HOTELS GROUP TBK,25.0
NUSA KONSTRUKSI ENJINIRING TBK,25.0
PT GAYA ABADI SEMPURNA TBK,25.0
PT GLOBE KITA TERANG TBK,25.0
PT DISTRIBUSI VOUCHER NUSANTARA TBK,25.0
GARUDA INDONESIA (PERSERO) TBK,24.0
BAKRIE SUMATERA PLANTATIONS TBK,24.0
PT BLISS PROPERTI INDONESIA TBK,24.0
INDOFOOD CBP SUKSES MAKMUR TBK,24.0
PT MNC DIGITAL ENTERTAINMENT TBK,24.0
PT PAM MINERAL TBK,24.0
PANORAMA SENTRAWISATA TBK,24.0
JAKARTA INTERNATIONAL HOTELS & DEVELOPMENT TBK,24.0
PT DAYAMITRA TELEKOMUNIKASI TBK,24.0
PELANGI INDAH CANINDO TBK,24.0
ALKINDO NARATAMA TBK,24.0
