Nama,Degree
PT ASURANSI MAXIMUS GRAHA PERSADA TBK,6.0
MNC KAPITAL INDONESIA TBK,6.0
PT FRISIAN FLAG INDONESIA,6.0
PT LION SUPER INDO,6.0
PT ASTRA DAIHATSU MOTOR,6.0
PT PERUSAHAAN GAS NEGARA TBK,6.0
PT DAYAMITRA TELEKOMUNIKASI TBK,6.0
PT VISI TELEKOMUNIKASI INFRASTRUKTUR TBK,6.0
PABRIK KERTAS TJIWI KIMIA TBK,6.0
PT TRINITI DINAMIK TBK,6.0
PT CINEMAXX GLOBAL PASIFIK,6.0
PT PP PROPERTI TBK,6.0
INDOFARMA TBK,6.0
PT BIO FARMA (PERSERO),6.0
JAYA REAL PROPERTY TBK,6.0
PT BUKIT MAKMUR MANDIRI UTAMA,6.0
PT KIDECO JAYA AGUNG,6.0
PT HUTCHISON 3 INDONESIA,6.0
PT BRANTAS ABIPRAYA (PERSERO),5.0
PT HANIL JAYA STEEL,5.0
PT THE MASTER STEEL MANUFACTURING,5.0
PT VARIA USAHA BETON,5.0
KEMENTERIAN PERHUBUNGAN REPUBLIK INDONESIA,5.0
PT INDEXIM COALINDO,5.0
PT RIAU ANDALAN PULP AND PAPER,5.0
PT PLN BATUBARA NIAGA,5.0
PT PETROKIMIA GRESIK,5.0
PT BANK CIMB NIAGA TBK,5.0
PT BANK CENTRAL ASIA TBK,5.0
PT BUKALAPAK.COM TBK,5.0
PT TRISULA TEXTILE INDUSTRIES TBK,5.0
PT NATURA CITY DEVELOPMENTS TBK,5.0
PT SAPTAINDRA SEJATI,5.0
PT FUJIFILM INDONESIA,5.0
PT ANUGERAH WICAKSANA DIGITAL,5.0
PT SERVEWELL OFFSHORE,5.0
PT ASIA PACIFIC INVESTAMA TBK,5.0
DESTINASI TIRTA NUSANTARA TBK,5.0
PT BUKIT WELIRANG INDAH,5.0
PT DUPAN ANUGERAH LESTARI,5.0
PT SOLUSI BANGUN BETON,5.0
PT SUPREME CABLE MANUFACTURING & COMMERCE TBK,5.0
KABELINDO MURNI TBK,5.0
FIRST MEDIA TBK,5.0
KRAKATAU STEEL (PERSERO) TBK,5.0
LIPPO GENERAL INSURANCE TBK,5.0
PT SENTRALSARI PRIMASENTOSA,5.0
PT PARIT PADANG GLOBAL,5.0
PT UNI-CHARM INDONESIA TBK,5.0
PT BERKAH KARUNIA KREASI,5.0
PT BERKAH TRIJAYA INDONESIA,5.0
PT CHAT BOT NUSANTARA,5.0
PT TELKOM AKSES,5.0
PT IMC PELITA LOGISTIK TBK,5.0
TRANS POWER MARINE TBK,5.0
PT FAST FOOD INDONESIA TBK,5.0
PT DUTA INTIDAYA TBK,5.0
PT BINA PERTIWI,5.0
PANINVEST TBK,5.0
PT POOL ADVISTA FINANCE TBK,5.0
PIONEERINDO GOURMET INTERNATIONAL TBK,5.0
PT GLOBAL DIGITAL NIAGA,5.0
BAKRIELAND DEVELOPMENT TBK,5.0
PT AKR CORPORINDO TBK,5.0
PP LONDON SUMATRA INDONESIA TBK,5.0
PT MAHA PROPERTI INDONESIA TBK,5.0
METROPOLITAN KENTJANA TBK,5.0
PT PERTAMINA HULU MAHAKAM,5.0
PT PERTAMINA HULU KALIMANTAN TIMUR,5.0
PT PERTAMINA HULU KALTIM,5.0
PT BHUMI JATI POWER,5.0
PT EVOLUZIONE TYRES,5.0
PT UD ASTRA MOTOR INDONESIA,5.0
PT FKS PANGAN NUSANTARA,5.0
PT GALVA TECHNOLOGIES TBK,5.0
PERDANA GAPURA PRIMA TBK,5.0
PT MNC ENERGY INVESTMENTS TBK,5.0
ISLAND CONCEPTS INDONESIA TBK,5.0
PT INDOLAKTO,5.0
PT MULTIDAYA DINAMIKA,5.0
PT AMMAN MINERAL NUSA TENGGARA,5.0
PT KERETA API INDONESIA (PERSERO),5.0
PT THE MASTER STEEL MANUFACTORY,5.0
GLENCORE INTERNATIONAL AG,5.0
PT SURYA RENGO CONTAINERS,5.0
PT TIMAH TBK,5.0
PT AVIA AVIAN TBK,5.0
PT GLOBAL MEDIACOM TBK,5.0
PT DUTA HITA JAYA,5.0
TEMBAGA MULIA SEMANAN TBK,5.0
SUPARMA TBK,5.0
PETROSEA TBK,5.0
INDONESIAN PARADISE PROPERTY TBK,5.0
SUMBER ENERGI ANDALAN TBK,5.0
PT SLJ GLOBAL TBK,5.0
PT TRANSCOAL PACIFIC TBK,5.0
TEMPO INTI MEDIA TBK,5.0
PT MEGALESTARI EPACK SENTOSARAYA TBK,5.0
PT PRODIA WIDYAHUSADA TBK,5.0
FAJAR SURYA WISESA TBK,5.0
PT TRANS RETAIL INDONESIA,5.0
PT COCA-COLA DISTRIBUTION INDONESIA,5.0
PT PIONIRBETON INDUSTRI,5.0
