Nama,Degree
PT INTER PARIWARA GLOBAL,9.0
PT MEDCO ENERGI INTERNASIONAL TBK,9.0
PT KEDOYA ADYARAYA TBK,9.0
ASURANSI MULTI ARTHA GUNA TBK,9.0
PT SENTRA USAHATAMA JAYA,9.0
PT HASNUR INTERNASIONAL SHIPPING TBK,9.0
PT PURI GLOBAL SUKSES TBK,9.0
SUPRA BOGA LESTARI TBK,9.0
PT BANK MAYAPADA INTERNASIONAL TBK,9.0
PT UNI-CHARM INDONESIA TBK,9.0
PT JASA ARMADA INDONESIA TBK,9.0
PT PERINTIS TRINITI PROPERTI TBK,9.0
PT KIRANA SOLUSI UTAMA,9.0
WIJAYA KARYA BETON,9.0
BUMI TEKNOKULTURA UNGGUL TBK,9.0
PT TUNAS RIDEAN TBK,9.0
ALKINDO NARATAMA TBK,8.0
PUDJIADI PRESTIGE TBK,8.0
PT WOORI FINANCE INDONESIA TBK,8.0
PT TRINITI DINAMIK TBK,8.0
BERLINA TBK,8.0
PLAZA INDONESIA REALTY TBK,8.0
SURYA CITRA MEDIA TBK,8.0
PT BUKIT ULUWATU VILLA TBK,8.0
BFI FINANCE INDONESIA TBK,8.0
PT BANK PEMBANGUNAN DAERAH BANTEN TBK,8.0
PT PERMA PLASINDO TBK,8.0
PT DIAMOND FOOD INDONESIA TBK,8.0
PT ELECTRONIC CITY INDONESIA TBK,8.0
RADIANT UTAMA INTERINSCO TBK,8.0
ERAJAYA SWASEMBADA TBK,8.0
PT BANK PANIN DUBAI SYARIAH TBK,8.0
TIRA AUSTENITE TBK,8.0
PT NUSATAMA BERKAH TBK,8.0
ATLAS RESOURCES TBK,8.0
SARANACENTRAL BAJATAMA TBK,8.0
PT PRIMA ANDALAN MANDIRI TBK,8.0
PT MITRA KELUARGA KARYASEHAT TBK,8.0
PT TOURINDO GUIDE INDONESIA TBK,8.0
PEMBANGUNAN GRAHA LESTARI INDAH TBK,8.0
PT VICTORIA INSURANCE TBK,8.0
PT JAYA SUKSES MAKMUR SENTOSA TBK,8.0
PT CHITOSE INTERNASIONAL TBK,8.0
PT AIRASIA INDONESIA TBK,8.0
PT TRIMEGAH KARYA PRATAMA TBK,8.0
PT REPOWER ASIA INDONESIA TBK,8.0
PT TUDUNG PUTRA PUTRI JAYA,8.0
PT BANK WOORI SAUDARA INDONESIA 1906 TBK,8.0
PT SIGMA ENERGY COMPRESSINDO TBK,8.0
SEKAR BUMI TBK,8.0
PT PLN ENERGI PRIMER INDONESIA,8.0
PT WASKITA BETON PRECAST TBK,8.0
PT PAMAPERSADA NUSANTARA,8.0
PT GS BATTERY,8.0
LION METAL WORKS TBK,8.0
LIPPO GENERAL INSURANCE TBK,8.0
MATAHARI PUTRA PRIMA TBK,8.0
MULTISTRADA ARAH SARANA TBK,8.0
PT DIGITAL MEDIATAMA MAXIMA TBK,8.0
PT INOCYCLE TECHNOLOGY GROUP TBK,8.0
PT INDONESIA KENDARAAN TERMINAL TBK,8.0
JAYA AGRA WATTIE TBK,7.0
JAKARTA INTERNATIONAL HOTELS & DEVELOPMENT TBK,7.0
PT OBM DRILCHEM TBK,7.0
PT OSCAR MITRA SUKSES SEJAHTERA TBK,7.0
PRIMARINDO ASIA INFRASTRUCTURE TBK,7.0
BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK,7.0
PT GRAHA LAYAR PRIMA TBK,7.0
BINTANG MITRA SEMESTARAYA TBK,7.0
PT TIKI JALUR NUGRAHA EKAKURIR,7.0
PT BUANA KONTENINDO EXPRESS,7.0
PT PP PROPERTI TBK,7.0
PT MAKMUR BERKAH AMANDA TBK,7.0
ESSA INDUSTRIES INDONESIA TBK,7.0
PT HARAPAN DUTA PERTIWI TBK,7.0
VALE INDONESIA TBK,7.0
PT GADING MURNI,7.0
BARITO PACIFIC TBK,7.0
GUNAWAN DIANJAYA STEEL TBK,7.0
PT BUKALAPAK.COM TBK,7.0
PT ESTA MULTI USAHA TBK,7.0
EVER SHINE TEXTILE INDUSTRY TBK,7.0
GEMA GRAHASARANA TBK,7.0
PT EMDEKI UTAMA TBK,7.0
PT BERLIAN MITRA INTI,7.0
PT MAHKOTA GROUP TBK,7.0
PT CIKARANG LISTRINDO TBK,7.0
PT DHARMA SATYA NUSANTARA TBK,7.0
PT SEMEN TONASA,7.0
PT AGRO MAKMUR RAYA,7.0
PT MEGASURYA MAS,7.0
PT INDOKARYA INTERNUSA,7.0
PT INTIBENUA PERKASATAMA,7.0
PT SATYAMITRA SURYA PERKASA,7.0
ASURANSI BINTANG TBK,7.0
PT ANABATIC TECHNOLOGIES TBK,7.0
MERATUS JASA PRIMA TBK,7.0
PT KETROSDEN TRIASMITRA TBK,7.0
KERAMIKA INDONESIA ASSOSIASI TBK,7.0
PERDANA BANGUN PUSAKA TBK,7.0
PT MURNI SADAR TBK,7.0
PT GLOBAL SUKSES SOLUSI TBK,7.0
PT NUSA PALAPA GEMILANG TBK,7.0
PT DCI INDONESIA TBK,7.0
PT KOTA SATU PROPERTI TBK,7.0
PT SARIMELATI KENCANA TBK,7.0
RODA VIVATEX TBK,7.0
PT ULIMA NITRA TBK,7.0
PT CASHLEZ WORLDWIDE INDONESIA TBK,7.0
PT JAYA SWARASA AGUNG TBK,7.0
PT NATURA CITY DEVELOPMENTS TBK,7.0
PT SARIGUNA PRIMATIRTA TBK,7.0
SELAMAT SEMPURNA TBK,7.0
PT HASNUR JAYA INTERNATIONAL,7.0
EXPRESS TRANSINDO UTAMA TBK,7.0
PT IMAGO MULIA PERSADA TBK,7.0
PT LENOX PASIFIK INVESTAMA TBK,7.0
PT LIMA DUA LIMA TIGA TBK,7.0
PT MAP AKTIF ADIPERKASA TBK,7.0
PT MITRABARA ADIPERDANA TBK,7.0
PT BANK MESTIKA DHARMA TBK,7.0
PELAYARAN NASIONAL BINA BUANA RAYA TBK,7.0
PT BANK DANAMON INDONESIA TBK,7.0
PT KAPUAS PRIMA COAL TBK,7.0
PT TEMAS TBK,7.0
SARANA MENARA NUSANTARA TBK,7.0
PT URBAN JAKARTA PROPERTINDO TBK,6.0
PT BUNDAMEDIK TBK,6.0
ASIANA SENOPATI,6.0
PT BINTANG OTO GLOBAL TBK,6.0
PT INDO OIL PERKASA TBK,6.0
PARAGON KARYA PERKASA TBK,6.0
PT BILAH BAJA MAKMUR ABADI,6.0
SALIM IVOMAS PRATAMA TBK,6.0
PT ATELIERS MECANIQUES D INDONESIE TBK,6.0
PT ANDIRA AGRO TBK,6.0
PT META EPSI TBK,6.0
PT MARK DYNAMICS INDONESIA TBK,6.0
PT ASRI KARYA BINANGUN,6.0
KOPERASI LANGGAI BERSAMA,6.0
PT PANCA ANUGRAH WISESA TBK,6.0
MITRA INVESTINDO TBK,6.0
BETONJAYA MANUNGGAL TBK,6.0
PT GAYA ABADI SEMPURNA TBK,6.0
PT LOTTE CHEMICAL TITAN TBK,6.0
GARUDA INDONESIA (PERSERO) TBK,6.0
PT DYANDRA MEDIA INTERNATIONAL TBK,6.0
EKADHARMA INTERNATIONAL TBK,6.0
TIGARAKSA SATRIA TBK,6.0
CIPUTRA DEVELOPMENT TBK,6.0
PT SABA INDOMEDIKA,6.0
PT DAMAI SEJAHTERA ABADI TBK,6.0
PT WEHA TRANSPORTASI INDONESIA TBK,6.0
PT INTEGRA INDOCABINET TBK,6.0
PIKKO LAND DEVELOPMENT TBK,6.0
PT INDOSAN BERKAT BERSAMA,6.0
BUMI CITRA PERMAI TBK,6.0
PT WINNER NUSANTARA JAYA TBK,6.0
PT VISI TELEKOMUNIKASI INFRASTRUKTUR TBK,6.0
PT BUYUNG POETRA SEMBADA TBK,6.0
BUANA FINANCE TBK,6.0
LIONMESH PRIMA TBK,6.0
PT MAP BOGA ADIPERKASA TBK,6.0
PT KARYA BUMI PRIMA,6.0
PT SINO ZONE INDUSTRY INDONESIA,6.0
PT FALMACO NONWOVEN INDUSTRI TBK,5.0
PT ADHI COMMUTER PROPERTI TBK,5.0
PT PROVIDENT INVESTASI BERSAMA TBK,5.0
PT ASIA SEJAHTERA MINA TBK,5.0
JAYA KONSTRUKSI MANGGALA PRATAMA TBK,5.0
JAPFA COMFEED INDONESIA TBK,5.0
KEDAWUNG SETIA INDUSTRIAL TBK,5.0
KAWASAN INDUSTRI JABABEKA TBK,5.0
PT KIOSON KOMERSIAL INDONESIA TBK,5.0
KALBE FARMA TBK,5.0
PT AKEBONO BRAKE ASTRA INDONESIA,5.0
PT KHARISMA INTERPLAST PRATAMA,5.0
PT NUSANTARA SEJAHTERA RAYA,5.0
BANK ARTHA GRAHA INTERNASIONAL TBK,5.0
PT ERA GRAHAREALTY TBK,5.0
TIRTA MAHAKAM RESOURCES TBK,5.0
BERLIAN LAJU TANKER TBK,5.0
PT BERKAH PRIMA PERKASA TBK,5.0
PT HARTADINATA ABADI TBK,5.0
INDOFARMA TBK,5.0
PUDJIADI & SONS TBK,5.0
PT IMC PELITA LOGISTIK TBK,5.0
PT PRATAMA WIDYA TBK,5.0
DESTINASI TIRTA NUSANTARA TBK,5.0
PANIN SEKURITAS TBK,5.0
PT PRADIKSI GUNATAMA TBK,5.0
PT SELERA MITRA SENTOSA,5.0
TUNAS BARU LAMPUNG TBK,5.0
PT BUMI SERPONG DAMAI TBK,5.0
PT BINTANG SAMUDERA MANDIRI LINES TBK,5.0
PT BUANA LINTAS LAUTAN TBK,5.0
PT TIARA MARGA TRAKINDO,5.0
PT JHONLIN BARATAMA,5.0
PT AGRO YASA LESTARI TBK,5.0
PT JASNITA TELEKOMINDO TBK,5.0
PT SUMBER KOPI PRIMA,5.0
PT BANK AMAR INDONESIA TBK,5.0
PT TUNAS JAYA PERKASA,5.0
APEXINDO PRATAMA DUTA TBK,5.0
PT ANUGERAH COMMUNICATION,5.0
PT FREEPORT INDONESIA,5.0
PT KHARISMA SEJAHTERA,5.0
PT SINERGI GLOBAL SERVIS,5.0
PT MADUSARI MURNI INDAH TBK,5.0
PT WATAMA PRIMA,5.0
PT KARYA KHARISMA MANDIRI,5.0
PT PAKUAN TBK,5.0
PT WIJAYA KARYA (PERSERO) TBK,5.0
PT BUMA INTERNASIONAL GRUP TBK,5.0
PT OMNI INOVASI INDONESIA TBK,5.0
PT MORENZO ABADI PERKASA TBK,5.0
PT BINTANG GRAHA MAKMUR,5.0
PT YELOOO INTEGRA DATANET TBK,5.0
PT MEGA PERINTIS TBK,5.0
PT PATRA JASA,5.0
MAYORA INDAH TBK,5.0
PT ASIA PACIFIC INVESTAMA TBK,5.0
PT SURYA SEMESTA INTERNUSA TBK,5.0
PT CAMPINA ICE CREAM INDUSTRY TBK,5.0
PT ARKADIA DIGITAL MEDIA TBK,5.0
PT MEGA INTERNASIONAL SEJAHTERA,5.0
PT LCK GLOBAL KEDATON TBK,5.0
PT LOGINDO SAMUDRAMAKMUR TBK,5.0
PT SENTRAL MITRA INFORMATIKA TBK,5.0
PT MAHA PROPERTI INDONESIA TBK,5.0
PT PUTRA RAJAWALI KENCANA TBK,5.0
RELIANCE SEKURITAS INDONESIA TBK,5.0
PT RMK ENERGY TBK,5.0
STEADY SAFE TBK,5.0
PT GADJAH RUKU,5.0
ERATEX DJAJA TBK,5.0
PT BATULICIN NUSANTARA MARITIM TBK,5.0
BANK OF INDIA INDONESIA TBK,5.0
PT GEOPRIMA SOLUSI TBK,5.0
GARDA TUJUH BUANA TBK,5.0
PT GREENWOOD SEJAHTERA TBK,5.0
PT JAYA TRISHINDO TBK,5.0
METRODATA ELECTRONICS TBK,5.0
MULTI INDOCITRA TBK,5.0
PT TRIMITRA PROPERTINDO TBK,5.0
PT GRAND HOUSE MULIA TBK,5.0
PT TEMPO DIGITAL NUSANTARA,5.0
PT MULTI HARAPAN UTAMA,4.0
PT SUPREME CABLE MANUFACTURING & COMMERCE TBK,4.0
RISTIA BINTANG MAHKOTASEJATI TBK,4.0
MINNA PADI INVESTAMA SEKURITAS TBK,4.0
PANORAMA SENTRAWISATA TBK,4.0
PT PANCA BUDI IDAMAN TBK,4.0
PT PARAMITA BANGUN SARANA TBK,4.0
GOZCO PLANTATIONS TBK,4.0
PT GIHON TELEKOMUNIKASI INDONESIA TBK,4.0
PT INDOVISI SUKSES MANDIRI,4.0
PT KUKAR MANDIRI SHIPYARD,4.0
PT JASA MARGA TBK,4.0
PT ASURANSI ASTRA BUANA,4.0
ASURANSI BINA DANA ARTA TBK,4.0
PT MIFA BERSAUDARA,4.0
INTILAND DEVELOPMENT TBK,4.0
PT ASPIRASI HIDUP INDONESIA TBK,4.0
PT ADARO INDONESIA,4.0
PT TRIMEGAH SEKURITAS INDONESIA TBK,4.0
INDOSPRING TBK,4.0
PT PRIMA GLOBALINDO LOGISTIK TBK,4.0
PT PACKET SYSTEMS INDONESIA,4.0
PT INDONESIA PONDASI RAYA TBK,4.0
SEKAR LAUT TBK,4.0
MANDOM INDONESIA TBK,4.0
PT TERREGRA ASIA ENERGY,4.0
PT GUNA TIMUR RAYA TBK,4.0
MITRA INTERNATIONAL RESOURCES TBK,4.0
ARGHA KARYA PRIMA IND. TBK,4.0
PT SUMBER ALFARIA TRIJAYA TBK,4.0
PT SISPRO INFORMASI TEKNOLOGI,4.0
PT FORMOSA INGREDIENT FACTORY TBK,4.0
INDO KORDSA TBK,4.0
PT STARINDO JAYA PACKAGING,4.0
MULIA INDUSTRINDO TBK,4.0
ARWANA CITRAMULIA TBK,4.0
PT ASTRA GRAPHIA INFORMATION TECHNOLOGY,4.0
PT AVIA AVIAN TBK,4.0
PT ALTO NETWORK,4.0
STAR PACIFIC TBK,4.0
BANK MEGA TBK,4.0
PT PERTAMINA PATRA NIAGA,4.0
PT TOUDANO MANDIRI ABADI,4.0
PT DSSP POWER KENDARI,4.0
BUKAKA TEKNIK UTAMA TBK,4.0
PT SINGARAJA PUTRA TBK,4.0
PT GARUDA INDOPRIMA LESTARI,4.0
PT CAKRA LIMA,4.0
PT WITA LARAS KIRANA,4.0
PT GLOBAL LOKET SEJAHTERA,4.0
JAKARTA SETIABUDI INTERNASIONAL TBK,4.0
PT ULTRAJAYA MILK INDUSTRY & TRADING COMPANY TBK,4.0
CITA MINERAL INVESTINDO TBK,4.0
COLORPAK INDONESIA TBK,4.0
PT VICTORIA CARE INDONESIA TBK,4.0
PT WIRA GLOBAL SOLUSI TBK,4.0
WISMILAK INTI MAKMUR TBK,4.0
PT LAUT TIMUR ARDIPRIMA,4.0
PT SURYA BIRU MURNI ACETYLENE TBK,4.0
PT BUANA ARTHA ANUGERAH TBK,4.0
PT SINAR BORNEO METALINDO,4.0
PT AINO INDONESIA,4.0
PT TANJUNG HARAPAN SELATAN,4.0
PT GUNUNGMAS SUKSES MAKMUR,4.0
MUSTIKA RATU TBK,4.0
PT GAMA BOJONEGARA JAYA,4.0
PT NUSA RAYA CIPTA TBK,4.0
MODERN INTERNASIONAL TBK,4.0
INDUSTRI PAMERAN NUSANTARA,4.0
PT TRI SAPTA SEJAHTERA,4.0
PT SENTRA MULTI KARYA,4.0
PT MARGA MANDALASAKTI,4.0
PT SARANA KENCANA MULYA,4.0
PT ASURANSI JIWA INHEALTH INDONESIA,4.0
PT PANTJA TIRTA DRAWANA,4.0
YANAPRIMA HASTAPERSADA TBK,4.0
PT MUTIARA ANUGERAH SAMUDERA,4.0
PT INDO-RAMA SYNTHETICS TBK,4.0
CENTRAL PROTEINA PRIMA TBK,4.0
CITRA TUBINDO TBK,4.0
PT DAFAM PROPERTY INDONESIA TBK,4.0
CENTRAL OMEGA RESOURCES TBK,4.0
PT RESPATI KEMASINDAH,4.0
PT NAVA HITA KARANA,4.0
PT THERMAX INTERNATIONAL INDONESIA,4.0
PT BAASITHU BOGA SERVICES,4.0
PT UNIVERSAL CIPTA PANGAN,4.0
PT GOLDEN FLOWER TBK,4.0
PT SINAR DIGITAL TERDEPAN,4.0
PT SATYAMITRA KEMAS LESTARI TBK,4.0
PT BOSTON FURNITURE INDUSTRIES TBK,4.0
PT SATRIA MEGA KENCANA TBK,4.0
PT SIANTAR TOP TBK,4.0
PT INDOSALUYU PRIMAJAYA,4.0
PT ARACORD NUSANTARA GROUP TBK,4.0
MALINDO FEEDMILL TBK,4.0
SEJAHTERARAYA ANUGRAHJAYA TBK,4.0
SONA TOPAS TOURISM INDUSTRY TBK,4.0
PT KRAKATAU TIRTA INDUSTRI,3.0
PT KRAKATAU WAJATAMA OSAKA STEEL MARKETING,3.0
LANGGENG MAKMUR INDUSTRI TBK,3.0
PT MAKASSAR TENE,3.0
PT MASTERSYSTEM INFOTAMA TBK,3.0
PT EPSINDO JAYA PRATAMA,3.0
PT SETIA KAWAN ABADI,3.0
PT BANGGA TEKNOLOGI INDONESIA,3.0
PT BEKASI POWER,3.0
PT MALACCA TRUST WUWUNGAN INSURANCE TBK,3.0
PT MITSUBISHI MOTORS KRAMA YUDHA SALES INDONESIA,3.0
PT PANDEGA LAYAR PRIMA,3.0
PT TOA GALVA INDUSTRIES,3.0
PT CAKRA INDO PRATAMA,3.0
PT DHARMA SUBUR SATYA,3.0
PT NUSANTARA ALMAZIA TBK,3.0
ONIX CAPITAL TBK,3.0
PT BIMA SAKTI PERTIWI TBK,3.0
PEMBANGUNAN JAYA ANCOL TBK,3.0
PT GRAHA CAKRAMULIA,3.0
FORTUNE MATE INDONESIA TBK,3.0
PT SENTRA FOOD INDONESIA TBK,3.0
INDONESIAN PARADISE PROPERTY TBK,3.0
INTRACO PENTA TBK,3.0
INTER-DELTA TBK,3.0
PT INDOSAT TBK,3.0
PT ARMADA BERJAYA TRANS TBK,3.0
PT GRAHA ANDRASENTRA PROPERTINDO TBK,3.0
JASUINDO TIGA PERKASA TBK,3.0
PT ROCKFIELDS PROPERTI INDONESIA TBK,3.0
PT NUSAJAYA SEJAHTERA COMPUTER,3.0
PT GEOSERVICES,3.0
GAJAH TUNGGAL TBK,3.0
PT ABIOSO BATARA ALBA,3.0
PT DELTA SYSTECH INDONESIA,3.0
PT SAPTAINDRA SEJATI,3.0
PT TRIMUDA NUANSA CITRA TBK,3.0
SENTUL CITY TBK,3.0
PT INDOJOY FORTUNA,3.0
PT BUANA CHANDRA MANDIRI,3.0
PT BINTANI MEGAHINDAH,3.0
PT BUNGASARI FLOUR MILLS INDONESIA,3.0
ASIA PARAMITA INDAH,3.0
TEMPO INTI MEDIA TBK,3.0
TOTAL BANGUN PERSADA TBK,3.0
HARUM ENERGY TBK,3.0
PT HARMONI PANCA UTAMA,3.0
BANK SINARMAS TBK,3.0
PT SUMBER GLOBAL ENERGY TBK,3.0
MIDI UTAMA INDONESIA TBK,3.0
PT SOLUSI SINERGI DIGITAL TBK,3.0
CITRA MARGA NUSAPHALA PERSADA TBK,3.0
METROPOLITAN KENTJANA TBK,3.0
PT FKS FOOD SEJAHTERA TBK,3.0
PT GRAHA TUNASMEKAR,3.0
PT ARCHI INDONESIA TBK,3.0
ARGO PANTES TBK,3.0
BARAMULTI SUKSESSARANA TBK,3.0
PT SINAR PERDANA KURNIA ALAM,3.0
BUMI RESOURCES TBK,3.0
PT SANURHASTA MITRA TBK,3.0
PT GLOBAL TIKET NETWORK,3.0
PT ARKHA JAYANTI PERSADA TBK,3.0
ASURANSI RAMAYANA TBK,3.0
PT TRIMITRA PRAWARA GOLDLAND TBK,3.0
PT MITRA ANGKASA SEJAHTERA TBK,3.0
PT MULTIRASA NUSANTARA,3.0
PT BINA SARANA SUKSES,3.0
PT MATARAM AGUNG,3.0
PT DELTA RAYA SEJAHTERA,3.0
PT LIM SIANG HUAT BALINDO,3.0
JAYA REAL PROPERTY TBK,3.0
PT RAJAWALI CITRA TELEVISI INDONESIA,3.0
PT PERTAMINA GEOTHERMAL ENERGY TBK,3.0
PT INTI ANUGERAH PRATAMA,3.0
PT SUNGAI BUDI,3.0
PT PRESTISIUS INDONESIA,3.0
PT SPINMILL INDAH INDUSTRY,3.0
PT ERHA CLINIC INDONESIA,3.0
PT AMANAH PUTRA BORNEO,3.0
PT BATULICIN BUMI BERSUJUD,3.0
PT BINA BATULICIN USAHA,3.0
PT PAITON ENERGY,3.0
PT INTAN SIAK LESTARI,3.0
PT ANAGA SHIPPING INDONESIA,3.0
PT NFC INDONESIA TBK,3.0
PAKUWON JATI TBK,3.0
RAMAYANA LESTARI SENTOSA TBK,3.0
RICKY PUTRA GLOBALINDO TBK,3.0
PT SINAR BINTANG ALBAR,3.0
PT SINEMA GRAHA CITRA,3.0
PT BCA MULTI FINANCE,3.0
PT VIDIO DOT COM,3.0
PT BOGAMULIA NAGADI,3.0
PT CIPUTRA PURI TRISULA,3.0
PT PHILIP MORRIS INDONESIA,3.0
PT MSIG LIFE INSURANCE INDONESIA TBK,3.0
PT SEMACOM INTEGRATED TBK,3.0
PT SEMEN BATURAJA TBK,3.0
EAGLE HIGH PLANTATIONS TBK,3.0
PT CITRA PUTRA REALTY TBK,3.0
PT KRAMA YUDHA TIGA BERLIAN MOTORS,3.0
PERDANA GAPURA PRIMA TBK,3.0
PT BINA PERTIWI ENERGI,3.0
PT BHIRAWA STEEL,3.0
PT BUMI PETANGIS,3.0
PT KURNIA BUMIINDAH CEMERLANG,3.0
PT PASIFIC PRIMA MENTARI,3.0
PT TIGA SEKAWAN SERASI,3.0
PT PRATITA PRAMA NUGRAHA,3.0
PT AUTHENTIK MANDIRI BATAM,3.0
PT HASJRAT ABADI,3.0
PT CHAMP RESTO INDONESIA TBK,3.0
