Nama,cluster_fastrp_256
ASURANSI BINA DANA ARTA TBK,1
ASURANSI BINTANG TBK,1
ASURANSI DAYIN MITRA TBK,0
ASURANSI HARTA AMAN PRATAMA TBK,1
ASURANSI JASA TANIA TBK,1
ASURANSI MULTI ARTHA GUNA TBK,0
ASURANSI RAMAYANA TBK,1
ASUS GLOBAL PTE LTD,1
ASUS INVESTMENT CO LTD,1
ASUSTEK COMPUTER INC,1
ATHLETICA INTERNATIONAL HOLDINGS PTE LTD,2
"ATLANTIC CARBON GROUP, INC",2
ATLAS RESOURCES TBK,1
AUGUSTA INVESTMENTS I PTE LTD,2
AURIC DIGITAL RETAIL PTE LTD,0
AURORA EQUITY PTE LTD,1
AUSWASTE RECYCLING PTY LTD,1
AUTOGLASS CO LTD,1
AUTOPEDIA SUKSES LESTARI,1
AVRA COMMODITIES PTE LTD,1
AVRA INTERNATIONAL DMCC,1
AXIA POWER HOLDINGS BV,1
AXIATA,0
AXIATA INVESTMENTS (INDONESIA) SDN BHD,0
AXN HOLDING LLC,0
AZMET TECHNOLOGY PROJECTS,2
AZZURRO HOLDINGS PTE LTD,1
BADAN KERJASAMA INTILAND STARLIGHT,1
BADAN LAYANAN TERPADU RSUD KABUPATEN SORONG,0
BADAN NASIONAL PENANGGULANGAN BENCANA,0
BADAN PENGATUR JALAN TOL,1
BADAN PENGELOLA DANA PERKEBUNAN KELAPA SAWIT,0
BADAN PENYELENGGARA JAMINAN SOSIAL,0
BADAN USAHA MILIK NEGARA,2
BAFIN NEDERLAND BV,0
BAKRIE & BROTHERS TBK,0
BAKRIE GROUP,1
BAKRIE KALILA INVESTMENT,1
BAKRIE SUMATERA PLANTATIONS TBK,1
BAKRIELAND DEVELOPMENT TBK,0
BALAI TEKNIK PERKERETAAPIAN,1
BALATA COFFEE,2
BALI ISLAND VILLAS,2
BALI PRIVATE VILLA S PTE LTD,1
BALTIMORE INVESTMENTS LTD,1
BANGKIT CASSAVA MANDIRI,0
BANGKOK BANK,0
BANGKOK BANK PUBLIC COMPANY LIMITED,0
BANK ARTHA GRAHA INTERNASIONAL TBK,0
BANK BUMI ARTA TBK,2
BANK INDONESIA,1
BANK INDUSTRI KOREA,0
BANK J SAFRA SARASIN LTD,2
BANK JULIUS BAER AND CO LTD SINGAPORE,0
BANK MANDIRI LIMITED,0
BANK MEGA TBK,1
BANK OF INDIA,2
BANK OF INDIA INDONESIA TBK,2
BANK OF NEW YORK,0
BANK OF SINGAPORE LIMITED,2
BANK PAN INDONESIA TBK,0
BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK,0
BANK PEMBANGUNAN DAERAH JAWA TIMUR TBK,1
BANK PERMATA TBK,1
BANK SINARMAS TBK,2
BANK SINGAPORE LTD,1
BANK SYARIAH MANDIRI,0
BANK VICTORIA INTERNATIONAL TBK,0
BANPU MINERALS SINGAPORE PRIVATE LIMITED,1
BANQUE DE LUXEMBOURG,0
BANQUE PICTET AND CIE SA,1
BAOTOU TUOLITUO TECHNOLOGY CO LTD,1
BARA MAKMUR ABADI,1
BARA PTE LTD,1
BARAMULTI SUKSESSARANA TBK,1
BARITO PACIFIC TBK,2
BAROKAH MELAYU FOODS PTE LTD,0
BARY CHEMICAL PTE LTD,2
BARY COMMODITIES PTE LTD,0
BATA BRANDS SARL,0
BATA CENTRE SRO,0
BATA INDUSTRIAL EUROPE NETHERLAND,0
BATA PRIMAVERA SDN BHD,0
BATA SHOE (SINGAPORE) PTE LTD,0
BATA SHOE COMPANY (BANGLADESH) LIMITED,0
BATA SHOE COMPANY KENYA LIMITED,0
BATA SHOE OF THAILAND PUBLIC CO LTD,0
BATAVIA PROSPERINDO INVESTAMA,1
BATUBARA DEVELOPMENT PTE LTD,0
BAYAN RESOURCES TBK,1
BAYER CORP SCIENCE,1
BAYSWATER SHIPPING & FORWADING PTE LTD,2
BAYU BUANA TBK,1
BBR SHIPPING BERHAD,1
BBR SHIPPING PTE LTD,1
BC FINE LIVING LIMITED,1
BCA FINANCE LIMITED,2
BCA SEKURITAS,2
BCA SYARIAH,2
BDX ASIA DATA CENTER HOLDINGS PTE LTD,1
BEAUTY BRANDS INTERNATIONAL PTE LTD,2
BEAVER STREET FISHERIES INC,0
BEIJING FUHAIHUA IMPORT EXPORT CORP LTD,2
BEIJING SHUZHIFANG TECHNOLOGY CO LTD,1
BEKASI ASRI PEMULA TBK,2
BEKASI FAJAR INDUSTRIAL ESTATE TBK,2
BELLRIDGE HOLDINGS LIMITED,1
BERITO PANGAN MAKMUR,0
BERLIAN LAJU TANKER CORPORATION,0
BERLIAN LAJU TANKER TBK,0
BERLINA SINGAPORE PTE LTD,1
BERLINA TBK,1
BERSAMA DIGITAL INFRASTRUCTURE ASIA PTE LTD,1
BETA HOLDING CELLA PTE LTD,0
BETONJAYA MANUNGGAL TBK,1
BFI FINANCE INDONESIA TBK,1
BHARA ENERGY INTERNATIONAL,2
BHUWANATALA INDAH PERMAI TBK,0
BIBIT INDONESIA,1
BILLION VAST INDUSTRIAL LIMITED,0
BIN LADIN CONTRACTOR GROUP LLC,1
BINA PURI POWER SDN BHD,1
BINDERS INTERNATIONAL PTE LTD,0
BINH DINH FISHERY JOINT STOCK COMPANY,1
BINO DIGITAL SOLUTION PTE LTD,0
BINO INTERNATIONAL PTE LTD,0
BINTANG BARA B.V.,1
BINTANG JAYA,1
BINTANG MITRA SEMESTARAYA TBK,1
BIO MAJESTY PTE LTD,2
BIOMÉRIEUX,1
BIP HOLDINGS INTERNATIONAL PTE LTD,0
BIRCHWOOD OMNIA LIMITED,1
BISI INTERNATIONAL TBK,2
BLACK SAND COMMODITIES FZ LLC,1
BLACKHAWK NETWORK,0
BLACKHILLS DMCC,2
BLD ASIA PTE LTD,0
BLD INVESTMENT PTE LTD,0
BLT FINANCE B.V,0
