Nama,Closeness
TRISULA INTERNATIONAL TBK,0.73
PT SINAR MAS MULTIARTHA TBK,0.71
PT SURYA FAJAR CAPITAL TBK,0.71
PT CHITOSE INTERNASIONAL TBK,0.68
PT ATMAJA MAKMUR GEMILANG,0.67
PT NEBULA PERSADA GEMILANG,0.67
PT TOURINDO GUIDE INDONESIA TBK,0.67
PT PRATAMA SATYA PRIMA,0.67
PT PRATAMA SATYA TUNGGAL,0.67
PERHIMPUNAN PERSATUAN GUANGDONG INDONESIA,0.67
DANA PENSIUN PERKEBUNAN,0.67
PT NUGRAHA PRIMA GRIYATAMA,0.67
PT GRHA AGUNG PROPERTINDO,0.67
OONA INDONESIA PTE LTD,0.67
BANK INDUSTRI KOREA,0.67
INDUSTRIAL BANK OF KOREA,0.67
PT PRO 8 INDONESIA,0.67
APAC INVESTMENT 2 PTE LTD,0.67
PT RUMAH KARYA ENTERTAINMENT,0.67
PT PLAZA INDONESIA MANDIRI,0.67
PT FUJI FINANCE INDONESIA TBK,0.67
PT APOLLO VISINTAMA PUTRA,0.67
PT PERDANA ADILOKA,0.67
PT IMAGO GLOBAL RETAIL,0.67
PT PRAGYA TATA ASRI,0.67
PT DASABINA ADITYASARANA,0.67
AXIATA,0.67
XL,0.67
GOJEK,0.67
TOKOPEDIA,0.67
BIRCHWOOD OMNIA LIMITED,0.67
HEIDELBERG MATERIALS,0.67
DIAMOND BRIDGE PTE. LTD,0.67
MEDCO DAYA ABADI LESTARI,0.67
PT RELIANCE MANAJER INVESTASI,0.67
PT LORENA,0.67
PT GADING DANALESTARI,0.67
DIAMOND BRIDGE PTE LTD,0.67
PT MEDCO DAYA ABADI LESTARI,0.67
PT EMPU SAHID HOLDING INTERNATIONAL,0.67
PT SAHID INSANADI,0.67
PT TJAHAYA KARYA MULIA,0.67
UNILINK VENTURES INC,0.67
GUNUNG STEEL CO LTD,0.67
PT BHINEKA ABADI INVESTAMA,0.67
PT SIRIUS SURYA SENTOSA,0.67
PT ALTRA RAYA,0.67
PT WAHANA TATA BANGUN,0.67
PT PLAZA INDONESIA INVESTAMA,0.67
PT ENAM BERLIAN SINERGI,0.67
PT HARMONI HARUM PROPERTINDO,0.67
PT RELIANCE CAPITAL MANAGEMENT,0.67
SELAMAT SEMPURNA TBK,0.62
INTER-DELTA TBK,0.6
PT MAHUGI JAYA SEJAHTERA,0.6
PT HILON INDONESIA,0.6
PT SAMUDERA INDUSTRI,0.6
PT LEMBAGA TABUNG ANGKATAN TENTERA,0.6
PHARMANIAGA INTERNATIONAL CORPORATION SDN BHD,0.6
PT DANPAC PHARMA,0.6
PT KIA KERAMIK MAS,0.6
PT KIA SERPIH MAS,0.6
NA FASTENERS PTE LTD,0.6
PT SUN ANTARNUSA INVESTMENT,0.6
PT SUN LAND INVESTAMA,0.6
PT FINACCEL TEKNOLOGI INDONESIA,0.6
DB SPORE SES CLT AC,0.6
TRINUGRAHA CAPITAL CO SCA,0.6
PT MAKMUR BERKAH AMANDA HOTEL,0.6
PT MAKMUR BERKAH HOTEL,0.6
PT LANGGENG INVESTINDO,0.6
PT GRIYA PRIMA AMANDA,0.6
PT ADICIPTA GRIYA SEJATI,0.6
PT INTI FIKASA SEKURITAS,0.6
PT PAPUA TIMBER JAYA,0.6
PT FAS BERSAMA INVESTAMA,0.6
PT MULTI BINTANG INDONESIA NIAGA,0.6
PT TIRTA PRIMA INDONESIA,0.6
PT RANTAI JARINGAN SUKSES,0.6
PT FINANSIAL INTEGRASI TEKNOLOGI,0.6
PT SAPTA SAWIT LESTARI,0.6
PT SAWIT INTI PERKASA,0.6
PT VERDAN SAWIT LESTARI,0.6
PT SAMA MANDIRI,0.6
PT PURI KARYA BERSAMA,0.6
PT PURI PERMAI INTISENTOSA SUKSES,0.6
SCG DECOR PUBLIC COMPANY LIMITED,0.6
PT BONA DEKA JAVA,0.6
GRACE CAPITAL INVESTMENT LTD,0.6
PT ANUGRAH PRIMA INVESTAMA,0.6
PT LANGGENG BAHAGIA,0.6
DIREKTORAT JENDERAL KEKAYAAN NEGARA KEMENTERIAN KEUANGAN,0.6
PT IDEA ASIA INVESTAMA,0.6
PT BUMI KREASI BARU,0.6
PT HALIM SAKTI,0.6
PT MULTI ANEKADANA SAKTI,0.6
PT DANABINA SENTANA,0.6
HEINEKEN INTERNATIONAL BV,0.6
MIXIO HOLDINGS INCORPORATED,0.6
PT ALUNO FOOD INDONESIA,0.6
PT TAYS BOGAINTI SELARAS,0.6
PT INDOYONGTEX JAYA,0.6
PT PRIMARAJULI SUKSES,0.6
PT CAHAYA INTERKONTINENTAL PEMEGANG SAHAM PENGENDALI,0.6
PT WIDODO MAKMUR UNGGAS TBK,0.6
PT GALAN GELORA DJAJA,0.6
PT GAWIH JAYA,0.6
PT GELORA DJAJA,0.6
PT AIDIA INDONESIA PROPERTINDO,0.6
PT IDEA HOSPITALITY MANAGEMENT,0.6
PT TRISULA TEXTILE INDUSTRIES TBK,0.6
PT GOLDEN FLOWER TBK,0.59
PT NUSANTARA ALMAZIA TBK,0.58
PT GRAHA MULIA INDOTAMA,0.58
PT GRAND HOUSE MULIA TBK,0.58
PT BANK BTPN SYARIAH TBK,0.58
PT SURYA HUSADA INVESTMENT,0.57
