Nama,cluster_fastrp_128
AJB BUMIPUTERA 1912,0
AKASHA WIRA INTERNATIONAL TBK,1
AKSBERG MARINE CONSULTANT PTE LTD,1
AL AKHYAR CONTRACTING & MAINTENANCE COMPANY,1
ALAKASA COMPANY LIMITED,1
ALAKASA INDUSTRINDO TBK,1
ALAM SUTERA REALTY TBK,1
ALAM SYNERGY PRIVATE LIMITED,1
ALAMTRI RESOURCES INDONESIA TBK,1
ALATAS WORLDWIDE LIMITED,1
ALBIZIA ASEAN OPPORTUNITIES FUND,0
ALFA INTERNATIONAL SEAFOOD INC,1
ALFAMART RETAIL ASIA PTE LTD,2
ALIM BROTHERS INDUSTRIES PTE LTD,1
ALKINDO NARATAMA TBK,1
ALLIANCE COSMETICS SDN BHD,1
ALLIED HILL LIMITED,1
ALLIED TELESIS INTERNATIONAL (ASIA) PTE LTD,2
ALLNEX NEW ZEALAND LTD,2
ALLNEX RESINS AUSTRALIA PTY LTD,2
ALPHA HOLDING CELLA PTE LTD,0
ALPHA INVESTMENTS PARTNERS LIMITED,0
ALPHA OMEGA INVESTMENTS PTE LTD,1
ALPHA PRIME SERVICES PTE LTD,1
ALSYNITE ONE NZ LIMITED,2
ALUMINDO LIGHT METAL INDUSTRY TBK,1
AMACORE BV,1
AMERICAN ANTHRACITE GROUP LLC,2
AMERICAN ANTHRACITE HOLDINGS LLC,2
AMERICAN ANTHRACITE SPV I LLC,2
"AMERICAN CARBON WAREHOUSING, LLC",2
ANA MOTOR SEVICE CO LTD,1
ANCORA INDONESIA RESOURCES TBK,2
ANDERSON BAY PTE LTD,1
ANDERSON INVESTMENT PTE LTD,1
ANEKA TAMBANG TBK,1
ANEMI MARITIME CO LTD,1
ANGLO THAI EXPORTS CO LTD,1
ANGLOTHAI,1
ANN TAYLOR SOURCING FAR EAST LTD,1
ANSAT BROADCAST SDN BHD,1
ANSUN INTERNATIONAL PTE LTD,2
ANTENNA ENTERTAINMENTS SDN BHD,2
APAC INVESTMENT 2 PTE LTD,1
APACHEE PTE LTD,1
APEX FIBER RESOURCES AND TRADING FZCO,1
APEXINDO PRATAMA DUTA TBK,1
APL REALTY HOLDINGS PTE LTD,1
APPLE MALAYSIA SDN BHD,1
APPLE SOUTH ASIA PTE LTD,1
AQUA STAR CORPORATION,0
AQUANUS MARITIME PTE LTD,0
AR SHOP,1
ARAMCO ASIA JAPAN KK,1
ARCELIK HITACHI HOME APPL,1
ARCHER DANIELS MIDLAND COMPANY,0
ARCHIPELAGO INVESTMENT PRIVATE LIMITED,1
ARCHIPELAGO RESOURCES PTE LTD,1
ARCHIPELAGO RUBBER TRADING PTE LTD,0
ARCHROMA SINGAPORE PTE LTD,1
ARES ASIA RESOURCES PTE LTD,1
ARES TRADING SA,0
ARGHA KARYA PRIMA IND. TBK,1
ARGO PANTES TBK,0
ARITA ENGINEERING SDN BHD,0
ARITA VALVE (TIANJIN) CO LTD,0
ARNOLD SUHR NETHERLANDS BV,0
ARTHA PERDANA INVESTAMA,2
ARTHAVEST TBK,0
ARTRON INTERNATIONAL PTE LTD,2
ARVEE INTERNATIONAL PTE LTD,1
ARWANA CITRAMULIA TBK,1
ASAHI INDIA GLASS LTD,1
ASAHIMAS FLAT GLASS TBK,1
ASEAN MARITIME CORPORATION,1
ASIA AGRI INTERNATIONAL PTE LTD,1
ASIA LOGIC SDN BHD,1
ASIA MEDICAL ENVIRO SERVICES PTE LTD,2
ASIA PACIFIC FIBERS TBK,1
ASIA PACIFIC NICKEL PTY LTD,1
ASIA PARAMITA INDAH,1
ASIA RECYCLING RESOURCES PTE LTD,1
ASIA RETAIL INVESTMENT PTE LTD,2
ASIAN SYNERGIES LIMITED,1
ASIANA SENOPATI,2
ASIAPLAST INDUSTRIES TBK,0
ASIAWIDE RESOURCES LTD,2
ASICOAL TRADING PTE LTD,1
ASTEEM PRODUCTS PTE LTD,1
ASTRA AGRO LESTARI,1
ASTRA AGRO LESTARI TBK,1
ASTRA GRAPHIA TBK,1
ASTRA INTERNATIONAL TBK,1
ASTRA OTOPARTS TBK,1
ASTRA-KLK PTE LTD,1
ASTRIA PACKAGING PTE LTD,1
ASURANSI BINA DANA ARTA TBK,0
ASURANSI BINTANG TBK,1
ASURANSI DAYIN MITRA TBK,0
ASURANSI HARTA AMAN PRATAMA TBK,1
ASURANSI JASA TANIA TBK,0
ASURANSI MULTI ARTHA GUNA TBK,0
ASURANSI RAMAYANA TBK,1
ASUS GLOBAL PTE LTD,2
ASUS INVESTMENT CO LTD,2
ASUSTEK COMPUTER INC,2
ATHLETICA INTERNATIONAL HOLDINGS PTE LTD,2
"ATLANTIC CARBON GROUP, INC",2
ATLAS RESOURCES TBK,1
AUGUSTA INVESTMENTS I PTE LTD,1
AURIC DIGITAL RETAIL PTE LTD,0
AURORA EQUITY PTE LTD,1
AUSWASTE RECYCLING PTY LTD,1
AUTOGLASS CO LTD,1
AUTOPEDIA SUKSES LESTARI,1
AVRA COMMODITIES PTE LTD,1
AVRA INTERNATIONAL DMCC,1
AXIA POWER HOLDINGS BV,1
AXIATA,1
AXIATA INVESTMENTS (INDONESIA) SDN BHD,0
AXN HOLDING LLC,1
AZMET TECHNOLOGY PROJECTS,0
AZZURRO HOLDINGS PTE LTD,2
BADAN KERJASAMA INTILAND STARLIGHT,1
BADAN LAYANAN TERPADU RSUD KABUPATEN SORONG,1
BADAN NASIONAL PENANGGULANGAN BENCANA,1
BADAN PENGATUR JALAN TOL,1
BADAN PENGELOLA DANA PERKEBUNAN KELAPA SAWIT,1
BADAN PENYELENGGARA JAMINAN SOSIAL,0
BADAN USAHA MILIK NEGARA,2
BAFIN NEDERLAND BV,2
BAKRIE & BROTHERS TBK,2
BAKRIE GROUP,1
BAKRIE KALILA INVESTMENT,1
BAKRIE SUMATERA PLANTATIONS TBK,1
BAKRIELAND DEVELOPMENT TBK,2
BALAI TEKNIK PERKERETAAPIAN,1
BALATA COFFEE,1
BALI ISLAND VILLAS,1
BALI PRIVATE VILLA S PTE LTD,1
BALTIMORE INVESTMENTS LTD,1
BANGKIT CASSAVA MANDIRI,0
BANGKOK BANK,1
BANGKOK BANK PUBLIC COMPANY LIMITED,1
BANK ARTHA GRAHA INTERNASIONAL TBK,0
BANK BUMI ARTA TBK,0
BANK INDONESIA,1
BANK INDUSTRI KOREA,0
BANK J SAFRA SARASIN LTD,1
BANK JULIUS BAER AND CO LTD SINGAPORE,0
BANK MANDIRI LIMITED,0
BANK MEGA TBK,1
BANK OF INDIA,2
BANK OF INDIA INDONESIA TBK,2
BANK OF NEW YORK,0
BANK OF SINGAPORE LIMITED,2
BANK PAN INDONESIA TBK,0
BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK,1
BANK PEMBANGUNAN DAERAH JAWA TIMUR TBK,1
BANK PERMATA TBK,1
BANK SINARMAS TBK,0
BANK SINGAPORE LTD,2
BANK SYARIAH MANDIRI,0
BANK VICTORIA INTERNATIONAL TBK,2
BANPU MINERALS SINGAPORE PRIVATE LIMITED,2
BANQUE DE LUXEMBOURG,1
BANQUE PICTET AND CIE SA,1
BAOTOU TUOLITUO TECHNOLOGY CO LTD,1
BARA MAKMUR ABADI,2
BARA PTE LTD,1
BARAMULTI SUKSESSARANA TBK,1
BARITO PACIFIC TBK,1
BAROKAH MELAYU FOODS PTE LTD,0
BARY CHEMICAL PTE LTD,1
BARY COMMODITIES PTE LTD,0
BATA BRANDS SARL,2
BATA CENTRE SRO,2
BATA INDUSTRIAL EUROPE NETHERLAND,2
BATA PRIMAVERA SDN BHD,2
BATA SHOE (SINGAPORE) PTE LTD,2
BATA SHOE COMPANY (BANGLADESH) LIMITED,2
BATA SHOE COMPANY KENYA LIMITED,2
BATA SHOE OF THAILAND PUBLIC CO LTD,2
BATAVIA PROSPERINDO INVESTAMA,2
BATUBARA DEVELOPMENT PTE LTD,2
BAYAN RESOURCES TBK,1
BAYER CORP SCIENCE,2
BAYSWATER SHIPPING & FORWADING PTE LTD,1
BAYU BUANA TBK,2
BBR SHIPPING BERHAD,0
BBR SHIPPING PTE LTD,0
BC FINE LIVING LIMITED,1
BCA FINANCE LIMITED,0
BCA SEKURITAS,0
BCA SYARIAH,0
BDX ASIA DATA CENTER HOLDINGS PTE LTD,2
BEAUTY BRANDS INTERNATIONAL PTE LTD,1
BEAVER STREET FISHERIES INC,1
BEIJING FUHAIHUA IMPORT EXPORT CORP LTD,0
BEIJING SHUZHIFANG TECHNOLOGY CO LTD,1
BEKASI ASRI PEMULA TBK,1
BEKASI FAJAR INDUSTRIAL ESTATE TBK,1
BELLRIDGE HOLDINGS LIMITED,1
BERITO PANGAN MAKMUR,0
BERLIAN LAJU TANKER CORPORATION,1
BERLIAN LAJU TANKER TBK,1
BERLINA SINGAPORE PTE LTD,2
BERLINA TBK,2
BERSAMA DIGITAL INFRASTRUCTURE ASIA PTE LTD,2
BETA HOLDING CELLA PTE LTD,0
BETONJAYA MANUNGGAL TBK,1
BFI FINANCE INDONESIA TBK,1
BHARA ENERGY INTERNATIONAL,1
BHUWANATALA INDAH PERMAI TBK,0
BIBIT INDONESIA,1
BILLION VAST INDUSTRIAL LIMITED,1
BIN LADIN CONTRACTOR GROUP LLC,1
BINA PURI POWER SDN BHD,1
BINDERS INTERNATIONAL PTE LTD,0
BINH DINH FISHERY JOINT STOCK COMPANY,1
BINO DIGITAL SOLUTION PTE LTD,0
BINO INTERNATIONAL PTE LTD,0
BINTANG BARA B.V.,2
BINTANG JAYA,2
BINTANG MITRA SEMESTARAYA TBK,2
BIO MAJESTY PTE LTD,0
BIOMÉRIEUX,0
BIP HOLDINGS INTERNATIONAL PTE LTD,0
BIRCHWOOD OMNIA LIMITED,1
BISI INTERNATIONAL TBK,1
BLACK SAND COMMODITIES FZ LLC,1
BLACKHAWK NETWORK,2
BLACKHILLS DMCC,0
BLD ASIA PTE LTD,2
BLD INVESTMENT PTE LTD,2
BLT FINANCE B.V,1
BLT LNG TANGGUH CORPORATION,1
BLT SHIPPING CORPORATION,0
BLUE AQUA FOODS SA DE CV,1
BLUE GRASS FARMS AMERIKA SERIKAT,0
BLUE OCEAN RESOURCES PTE LTD,0
BLUE SPHERE SINGAPORE PTE LTD,2
BM ALLIANCE COAL OPERATIONS PTY LTD,2
BMTR DIGITAL LIMITED,1
BMTR MEDIA LIMITED,1
BNI HONGKONG,0
BNI LONDON,0
BNI REMITTANCE LTD,1
BNP PARIBAS SINGAPORE BRANCH WEALTH MANAGEMENT,1
BNWP CELLA HOLDING PTE LTD,0
BNYM RE ACP II TRADING LLC 2039927457,1
BNYM RE BNYMTCNA RE BCSS BORON A I LP,0
BOEVT (HONGKONG) CO LTD,1
BONLIGHT INVESTMENT LIMITED,0
BOOKINGCOM BV,2
BORNEO AGRI-RESOURCES INTERNATIONAL PTE LTD,1
BORNEO TECHNICAL CO(M) SDNBHD,2
BOWEN COKING COAL LIMITED,2
BP BERAU LTD,1
BP2S/SG BNP PARIBAS WEALTH MANAGEMENT SINGAPORE BRANCH,1
BRADKE SYNERGIES SDN BHD,2
BRANTAS ABIPRAYA,1
BRASMAR COMERCIO DE PRODUCTOS,1
BREDERO SHAW INTERNATIONAL BV,1
BRI GLOBAL FINANCIAL SERVICES CO LTD,1
BRIDGE LEED LIMITED,0
BRIDGESTONE CORPORATION,0
BRIDGESTONE SINGAPORE PTE LTD,1
BRILLIANT COMMODITY LIMITED,0
BROOKLYN ENTERPRISE PTE LTD,1
BSP FINANCE B.V,1
BSP LIBERIA B.V,1
BSP NETHERLAND FINANCE B.V,1
BTPN SYARIAH,1
BUANA FINANCE TBK,1
BUDI STARCH & SWEETENER SINGAPORE PTE LTD,1
BUHLMANN SINGAPORE PTE LTD,2
BUKA AUSTRALIA PTY LTD,1
BUKA AUSTRALIA PTY. LTD.,1
BUKA INVESTASI BERSAMA,1
BUKA KOREA CO LTD,1
BUKA MITRA INDONESIA,1
BUKA MITRA PROPERTI,1
BUKA PENGADAAN INDONESIA,1
BUKAKA INTERNATIONAL LLC,1
BUKAKA TEKNIK UTAMA TBK,1
BUKAKA THREE D PRIVATE LIMITED,1
BUKALAPAK,1
BUKALAPAK PTE LTD,1
BUKALAPAK PTE. LTD.,1
BUKIT ASAM TBK,1
BUKIT MAKMUR MANDIRI UTAMA PTE LTD,2
BULL INTERNATIONAL HOLDING PTE LTD,0
BULL INTERNATIONAL MARITIME PTE LTD,0
BULL INTERNATIONAL SHIPPING PTE LTD,0
BULL MARITIME CAPITAL PTE LTD,0
BULL MARITIME INC PTE LTD,0
BULL MARITIME INTERNATIONAL SERVICES,0
BUMA AUSTRALIA PTY LTD,2
BUMD PERDANA CIPTA MANDIRI,1
BUMI CITRA PERMAI TBK,1
BUMI RESOURCES MINERALS TBK,1
BUMI RESOURCES TBK,1
BUMI TEKNOKULTURA UNGGUL TBK,1
BUNGASARI FLOUR MILLS,0
BURAPA ASCENDING CO LTD,0
BYTTEBIER HOUT NV,2
C LOGISTICS GROUP LIMITED,1
C&A BUYING GMBH & CO KG,1
C&D (CHENGDU) CO LTD,2
C&D (SINGAPORE) BUSINESS PTE LTD,2
C&D (WUHAN) CO LTD,2
C&D LOGISTICS GROUP CO LTD,2
C-ENG CO LTD,0
CABLES DE COMUNICACIONES ZARAGOZA SL,1
CABLESCOM,1
CAESAR HOLDING CELLA PTE LTD,0
CAHAYA AERO SERVICES TBK,1
CALIPSO INVESTMENT PTE LTD,1
CAMAR RESOURCES CANADA INC,1
CAPGC PTE LTD,1
CAPITOL GRAVURE INDUSTRIES,0
CAPRAL ALUMINIUM IND,1
CARAVAGGIO HOLDINGS LIMITED,1
CARAVEL CARBONS LIMITED,1
CARBON RESILIENCE PTE LTD,1
CARBON RESOURCES ALLIANCE APS,1
CARGILL PALM PRODUCTS SDN BHD,1
CARGOTEC FINLAND OY,1
CARLISLE VENTURE PTE LTD,1
CASCADE CREEK PTY LTD,2
CASHIN RESOURCE COMPANY LIMITED,1
CASTLE PEAK POWER CO LTD,2
CATHAY UTIMA INVESTMENT PTE LTD,0
CATUR KUSUMA ABADI SEJAHTERA,1
CATUR SENTOSA ADIPRANA TBK,0
CAVENAGH OLEO S PTE LTD,1
CBH RESOURCES PTE LTD,1
CCL LABEL (THAI) LTD,2
CCL LABEL SINGAPORE PTE LTD,2
CEAMSA ASIA,0
CELESTA PRIME TECHNOLOGY PTE LTD,1
CELLA MANAGEMENT PTE LTD,0
CELLAR TECHNOLOGY VENTURE PTE LTD,1
CEMINDO INVESTMENT PTE LTD,1
CENTRAL BUSINESS ALLIANCE,2
CENTRAL OMEGA RESOURCES TBK,1
CENTRAL PROTEINA PRIMA TBK,0
CENTURY COMMODITIES SOLUTION PTE LTD,1
CEPR BV,1
CGI HOLDINGS LIMITED,1
CGS CIMB SECURITIES SINGAPORE PTE LTD,1
CGS INTERNATIONAL SECURITIES SINGAPORE PTE LTD,1
CHALCO TRADING HONGKONG CO LTD,1
CHAMPION PACIFIC INDONESIA TBK,0
CHANCE STAND FINANCE LIMITED,2
CHANDRA ASRI BIO INVESTMENT PTE LTD,1
CHANDRA ASRI CAPITAL PTE LTD,1
CHANDRA ASRI TRADING COMPANY PTE LTD,1
CHANNEL INTERNATIONAL INC,2
CHARLIE HOLDING CELLA PTE LTD,0
CHAROEN POKPHAND INDONESIA TBK,1
CHAROEN POKPHAND JAYA FARM,1
CHATIME HK LIMITED,1
CHEMICAL ASIA CORPORATION PTE LTD,2
CHEMICAL PETROLEUM INTERNATIONAL TRADING PTE LTD,2
CHEMICO GROUP CO LTD,1
CHENG I MACHINERY CO LTD,1
CHENG TUN METAL INTERNATIONAL TRADE PTE LTD,1
CHENGDONG INVESTMENT CORP SELF,1
CHEONGFULI (HONG KONG) COMPANY LIMITED,2
CHEVRON PHILLIPS CHEMICAL,2
CHICKEN OF THE SEA FROZEN FOODS,1
CHIN FUNG TRADING CO LTD,1
CHINA BAI GUI INTERNATIONAL TRADE LTD,2
CHINA CONSTRUCTION BANK CORPORATION,0
CHINA HUANENG GROUP FUEL CO LTD,1
CHINA MERCHANTS INTERNATIONAL PORT INTEGRATED DEVELOPMENT HONG KONG CO LTD,0
CHINA NATIONAL MACHINERY IMPORT AND EXPORT CORPORATION,1
CHINA RESOURCES POWER HOLDINGS COMPANY LIMITED,1
CHINA STEEL CORPORATION,1
CHINA STEEL GLOBAL TRADING CORPORATION,1
CHINFON CEMENT CORPORATION,1
CHINFON VIETNAM HOLDING,1
CHOICE PTE LTD,1
CIKAL JAYA PERMAI,1
CIMB GROUP SDN BHD,1
CIMBGNT SA CIMBPE,1
CIPTA COAL TRADING PTE LTD,1
CIPTA COMMODITY TRADING PTE LTD,1
CIPTA SATWA INTERNATIONAL,1
CIPTA SEJAHTERA SUKSES MAKMUR,0
CIPUTRA DEVELOPMENT TBK,1
CITA MINERAL INVESTINDO TBK,2
CITIC HEAVY INDUSTRIES CO LTD,0
CITILINK,1
CITRA MARGA NUSAPHALA PERSADA TBK,1
CITRA TUBINDO TBK,1
CITY RETAIL DEVELOPMENTS TBK,0
CJ GLOBAL HOLDINGS LIMITED,0
CJ INTERNATIONAL ASIA PTE LTD,0
CLARIANT CATALYSTS JAPAN KK,1
CLG ENTERPRISES INC,2
CLIPAN FINANCE INDONESIA TBK,0
CLOVER UNIVERSAL ENTERPRISE LIMITED,1
CNBM INTERNATIONAL CORPORATION,0
CNH INDUSTRIAL NV,2
CNH PRODUCTS INC,2
COASTAL GUJARAT POWER LTD,1
COCACOLA AMATIL LIMITED,0
COCKETT MARINE OIL AUSTRALIA PTY LTD,1
COIM ASIA PACIFIC PTE LTD,1
COLORPAK INDONESIA TBK,1
COMETPELL SRL,1
COMFEED FINANCE B.V,1
COMFEED TRADING B.V,1
COMPAGNIE FINANCIERE MICHELIN SCMA,1
COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN,2
COMSAT DISTRIBUTIONS SDN BHD MALAYSIA,1
CONCORD BUILDING MATERIALS PTE LTD,1
CONCORD PHARMACEUTICALS LTD,2
CONSILIUM FRONTIER EQUITY FUND,0
CONSOLIDATED GRAIN AND BARGE CO,0
CONVIVIAL NAVIGATION CO PTE LTD,2
COREE CAPITAL LIMITED,1
CORNEL COFFEE,1
CORNERSTONE OFFSHORE PTE LTD,2
COSMOS STAR GENERAL TRADING LLC,1
COSTCO WHOLESALE CORPORATION,1
COVESTRO (HONG KONG) LIMITED,2
CP FOOD PRODUCTS INC,1
CP PRIMA AQUACULTURE PRIVATE LIMITED,0
CP PRIMA CORPORATION LIMITED,0
CPP INTERTRADE PTE LTD,0
CR LAURENCE CO INC,1
CR POWER FUEL (CHINA) LIMITED,1
CREATIVE AUDIO STREAM TECHNOLOGY PTE LTD,0
CRODA INDIA COMPANY PVT LTD,0
CRODA OVERSEAS HOLDINGS LIMITED,0
CRONIMET FERROLEG GMBH,1
CROWN PRINCE COURT,1
CRUSTACEA SEAFOOD COMPANY INC,1
CRYSTAL CHAIN HOLDINGS LTD,1
CRYSTAL COVE,2
CS AG SG ASIALINK ELECTRONICS,1
CV ADIPURA MAS PLASTINDO,0
CV ALERGA,1
CV ALIFA BERKAH ABADI,1
CV ANEKA AUTO PART,2
CV ANEKA USAHA SUKSES JAYA,1
CV ANIRAH KARYA MANDIRI,1
CV ANJAYA TEKNIK,1
CV ANUGRAH SINAR SEJAHTERA,1
CV AR AR LANDSCAPE,1
CV ARSYATMA PERKASA ENGINEER,1
CV ARTHA PUTRA WARDHANA,2
CV ATTHAFOOD,0
CV BABY WISE INDONESIA,2
CV BAJA BALI,0
CV BALI BLESSINDO,1
CV BALI CROCO DESIGN,1
CV BANGUN BERKAH MAJU BERSAMA,1
CV BASO SOEKAKOE,1
CV BATU PERMAI,1
CV BERKAH MULIA SEJAHTERA,1
CV BHARA RASA ENERGI COAL,1
CV BINO ARSITAMA,0
CV BUANA RAYA DUTA,2
CV BUKAHA GROUP,1
CV BUMI ANGKASA SEJAHTERA,1
CV CAHAYA KREASI,2
CV CIPTA KREASI UTAMA,1
CV CIPTA NUSA,1
CV CLIK,1
CV DELLA SUKSES,0
CV DIGITAL JAYA SUMATERA,1
CV DUA MUTIARA,2
CV DUTA KARYA BARU,2
CV ERA JAYA PERKASA,2
CV FAMILY PLASTINDO,1
CV GABRIEL INTI MARINDO,1
CV GALLERY AC,2
CV GALLERY AUTO SOLUTION,2
CV GARUDA MAS LESTARI,2
CV GOLDEN LEAF,2
CV GOLDEN MONKEY,1
CV HEMDEN CORP,1
CV HIDUP HIDAYAH ILAHI,2
CV IMAGO RAYA,1
CV INDAH KENCANA,1
CV INDO GAS MERAUKE,1
CV INDOSTAR SEJAHTERA,1
CV INDOTECH SARANA ENGINEERING,1
CV JASA BOGA NIAGA,2
CV JASA SAHABAT ABADI,1
CV JAYA ENERGI TRANS,2
CV JAYA MAS MOTOR,1
CV JUARA LINTAS ABADI,2
CV KARUNIA MULTI DAYA,1
CV KARYA BANGUNAN ANUGERAH,1
CV KARYA HIDUP MULYA,1
CV KARYA INDAH ESTAINDO,0
CV KARYA INDAH LAKSANA,0
CV KARYA USAHA ANEKA TEKNIK,2
CV KENCANA JAYA BOX,1
CV KEYSAR PUTRA MANDIRI,1
CV KREASI IMPIAN TERWUJUD,1
CV LANCAR MARITIM JAYA,1
CV LEGIT PUTRA,2
CV LINA GARMINDO SUKSES,2
CV MAHKOTA MAS PRATAMA,0
CV MAHKOTA TUNAS ABADI,2
CV MAJU BERSAMA MEAT SHOP,2
CV MEGA ELEKTRONIK GADGET,0
CV MITRA GARMINDO,2
CV MITRA KERJA LESTARI,1
CV MITRA SEKAWAN,1
CV MITRA TOP,1
CV MUL JAYA,2
CV MULIA RAYA,1
CV MULTI KREASI SUKSES ABADI,2
CV NAY SILA AMELIA,2
CV NOGO SOSTRO BAJINTEN,2
CV NOVENA TRACTOR,1
CV NUTRINDO PANGAN,1
CV ORION PUTRA MANDIRI,1
CV PACIFIC INDOJAYA,1
CV PUTRA PERDANA CHICKEN,0
CV PUTRA RANCAMAYA,2
CV PUTRA SONGKA MANDIRI,1
CV QUASAR PRIMA ABADI,1
CV RALISA CPO,1
CV RAYA DIPTA SWASTIKA,2
CV RINDASIWI MAKMUR JAYA,1
CV RR LIFESTYLE,2
CV SAMUDRA PANCA JAYA,1
CV SANTI JAYA LESTARI,2
CV SATRIA BAGUS,1
CV SELALU LANCAR USAHA,1
CV SENANG SETUJU JAKARTA,2
CV SILIH WANGI SAWARGI,1
CV SINAR CAHAYA MULIA,1
CV SRI REZEKI,1
CV SUDIRA UTAMA LESTARI,2
CV SUGI PERKASA,1
CV SUMBER KARYA LOGAM,1
CV TANJUNG EMAS INDAH,1
CV TIGA CAHAYA INTAN,2
CV TIRTA ASTRO,0
CV TRIJAYA PERKASA,0
CV UNITECH INDOSURTA,1
CV UTAMA LESTAR,1
CV WAHANA INDONUSA,2
CV WANARAYA TERPADU,1
CV WASTRA NUSANTARA,1
DAE WON CHONG UP CORPORATION,0
DAI TAY DUONG SEAFOODS IMPORT EXPORT CO LTD,1
DAIKIN AIRCONDITIONING,1
DAIWA HOUSE INDUSTRY CO LTD,1
DALIAN JUHUATONG INTERNATIONAL TRADE CO LTD TIONGKOK,2
DALLIGENT SOLUTIONS PTE LTD,1
DAMIANO INVESTMENTS BV,1
DANA KESEHATAN INDONESIA,1
DANA PENSIUN BANK RAKYAT INDONESIA,1
DANA PENSIUN KARYAWAN PANIN BANK,1
DANA PENSIUN KARYAWAN SEMEN BATURAJA,1
DANA PENSIUN PERKEBUNAN,0
DANKA MINERALS JOINT STOCK COMPANY,1
DARMA HENWA TBK,1
DARYA-VARIA LABORATORIA TBK,2
DATANG GROUP HOLDINGS LIMITED REPUBLIK RAKYAT CINA,1
DAYA ADICIPTA MUSTIKA,1
DAYCO INDUSTRIES LLC,1
DAYSEADAY FROZEN BV,1
DAYTON PARTS LLC,0
DB SPORE SES CLT AC,1
DBS BANK LTD,0
DBS VICKERS HONG KONG LIMITED,1
DDT HOLDING NZ LTD,1
DE LICACY INDUSTRIAL CO LTD,1
DEKKER HOUT BV,2
DELHAIZE THE LION NEDERLAND BV,2
DELTA DJAKARTA TBK,0
DEMETER INDO INVESTMENT PTE LTD,0
DENHAM PTE LTD,1
DENSO INTERNATIONAL ASIA PTE LTD,1
DENZIN INTERNATIONAL LTD,2
DESTINASI TIRTA NUSANTARA TBK,2
DEUTSCHE BANK AG,1
DFS VENTURE SINGAPORE (PTE) LIMITED,1
DFS VENTURE SINGAPORE PTE LTD,1
DG GLOBAL INC,0
DHARMA SAMUDERA FISHING IND TBK,2
DI,0
DIAMOND BRIDGE PTE LTD,1
DIAMOND BRIDGE PTE. LTD,2
DIAMOND PACIFIC INTERNATIONAL CORPORATION,1
DIAMONDBACK MARITIME LTD,0
DIAN SWASTATIKA SENTOSA TBK,1
DIC INVESTMENT AND TRADING JOINT STOCK COMPANY,1
DIE-NAMIC INC,0
DIGITAL EDGE (HONG KONG) LTD,2
DIGITAL EDGE HK SPVI LIMITED,2
DINAS KESEHATAN,0
DINAS KOMUNIKASI INFORMATIKA DAN STATISTIK PROVINSI DKI JAKARTA,2
DINAS PEMUDA DAN OLAHRAGA KAB KOLAKA TIMUR,0
DINAS PERPUSTAKAAN DAN KEARSIPAN DAERAH,2
DINAS PERUMAHAN RAKYAT DAN KAWASAN PEMUKIMAN PROVINSI DKI JAKARTA,1
DIRECTD RETAIL & WHOLESALE SDN BHD MALAYSIA,1
DIREKTORAT JENDERAL KEKAYAAN NEGARA KEMENTERIAN KEUANGAN,1
