Nama,Betweenness
PT HASNUR JAYA INTERNATIONAL,7977.0
PT BCA MULTI FINANCE,7916.49
PT BOGAMULIA NAGADI,7916.49
PT CIPUTRA PURI TRISULA,7916.49
PT PHILIP MORRIS INDONESIA,7916.49
PT SUMBER KOPI PRIMA,7512.07
DARMAWAN JUNAIDI,7471.76
NALINKANT AMRATLAL RATHOD,7440.0
TEGUH BOENTORO,7440.0
KANAKA PURADIREDJA,7440.0
GORIES MERE,7440.0
PT IMC PELITA LOGISTIK TBK,7191.82
PT KRAKATAU TIRTA INDUSTRI,7053.53
THE NICHOLAS,6994.0
SUTANTO HARTONO,6944.0
HARDIANTO ATMADJA,6609.15
PT BINTANG SAMUDERA MANDIRI LINES TBK,6583.67
DAVID DESANAN,6529.59
OWEN PETRO BITUMEN,6283.12
SUNARYO,6137.66
PT EMDEKI UTAMA TBK,6003.0
ABRAHAM THEOFILUS,6000.0
PT MULTI HARAPAN UTAMA,6000.0
JAKARTA SETIABUDI INTERNASIONAL TBK,6000.0
ASURANSI BINA DANA ARTA TBK,6000.0
PANORAMA SENTRAWISATA TBK,6000.0
AGOES PROJOSASMITO,6000.0
PT LOGINDO SAMUDRAMAKMUR TBK,6000.0
PO SUN KOK,6000.0
PT NUSA RAYA CIPTA TBK,6000.0
PT SUMBER ALFARIA TRIJAYA TBK,6000.0
LIM GUNAWAN HARIYANTO,6000.0
ARIF SUHARTONO,5999.0
PT GRAHA CAKRAMULIA,5999.0
CHRISTOPHER SUMASTO TJIA,5999.0
MOH A R P MANGKUNINGRAT,5999.0
AMELIA GOZALI,5997.0
DJONI,5997.0
CITY RETAIL DEVELOPMENTS TBK,5997.0
PT ARTHA MAHIYA INVESTAMA TBK,5997.0
HERNOWO,5997.0
SYAHRIL,5997.0
SEPTIAN STARLIN,5982.0
PT BINTANG OTO GLOBAL TBK,5976.76
TONI EKO BOY SUBARI,5838.89
MUHAMMAD YUSUF ATEH,5838.89
PT SUPREME CABLE MANUFACTURING & COMMERCE TBK,5792.96
IWAN DEWONO BUDIYUWONO,5791.34
PRABOWO SUBIANTO,5731.5
PT GOLDEN FLOWER TBK,5724.81
TP RACHMAT LR IMANTO,5676.73
ANALTA AMIER,5660.09
PT INDORITEL MAKMUR INTERNASIONAL TBK,5629.99
PT ALTO NETWORK,5513.07
PT DSSP POWER KENDARI,5426.49
MUHAMAD AKBAR,5369.9
TOMY WINATA,5053.11
JUSUP HALIMI,4972.5
JUNIWATI GUNAWAN,4972.5
ARMEN ANTONIUS DJAN,4972.5
NAILUFAR MARS,4972.5
TAHIR,4968.5
PT MAHA PROPERTI INDONESIA TBK,4801.67
PT BANGGA TEKNOLOGI INDONESIA,4801.38
PT BATULICIN NUSANTARA MARITIM TBK,4645.46
PT GAYA ABADI SEMPURNA TBK,4626.53
MARGARETHA NATALIA WIDJAJA,4547.44
ANTHONY SALIM,4542.34
DATO SRI TAHIR,4439.83
PT TUNAS ALFIN TBK,4392.27
SIGIT PRASTOWO,4364.93
PT DAFAM PROPERTY INDONESIA TBK,4352.48
HENRY HALIM,4001.0
INDONESIAN PARADISE PROPERTY TBK,4001.0
PT KRAKATAU WAJATAMA OSAKA STEEL MARKETING,4001.0
ASURANSI RAMAYANA TBK,4001.0
GAUTAMA HARTARTO,4001.0
PT DELTA SYSTECH INDONESIA,4001.0
PT TRIMEGAH SEKURITAS INDONESIA TBK,4001.0
MICHAEL,4001.0
ERWIN SUTANTO,4001.0
PT GRAHA TUNASMEKAR,4001.0
PT ARCHI INDONESIA TBK,4001.0
PIETER TANURI,4001.0
LEO HANDOKO LAKSONO,4001.0
INDOMOBIL SUKSES INTERNASIONAL TBK,4001.0
OTTO TOTO SUGIRI,4001.0
HERMANTO TANOKO,4001.0
ONIX CAPITAL TBK,4001.0
PEMBANGUNAN JAYA ANCOL TBK,4001.0
ROBBY YULIANTO,4001.0
PT RAJAWALI CITRA TELEVISI INDONESIA,4001.0
PT PRESTISIUS INDONESIA,4001.0
PT ERHA CLINIC INDONESIA,4001.0
BUMI RESOURCES TBK,4001.0
PT SINGARAJA PUTRA TBK,4001.0
AL ALAN RACHMAT BUDIMAN,4001.0
HARRY SURJANTO HAMBALI,4001.0
HADY KUSWANTO,4001.0
PT MANDIRI TUNAS FINANCE,4000.0
WELLY THOMAS,4000.0
SIAUW YUNUS SUBANDI,4000.0
EFENDI LEMAN,4000.0
DANIEL FITZGERALD LIMAN,4000.0
CANDRA CIPUTRA,4000.0
TED SIOENG,4000.0
PT SOLUSI SINERGI DIGITAL TBK,4000.0
RUDY SUPARMAN,4000.0
ROBERT CHANDRAKELANA ADJIE,4000.0
PRANATA HAJADI,4000.0
NANI IR,3999.0
DAVID KURNIAWAN WIRANATA,3925.29
BAKRIELAND DEVELOPMENT TBK,3921.46
PT SPINMILL INDAH INDUSTRY,3715.97
HASBULLAH MUIS,3645.18
FUAD HALIMOEN,3477.25
USMAN SARSI,3477.25
RAHAJOE DEWININGROEM SOENJOTO,3427.6
UNTUNG RAHARDJO,3427.6
PANGAYOMAN ADI SOENJOTO,3427.6
KUSUMO DEWININGRUM SUNJOTO,3427.6
PT MITRA SOLUSI TELEMATIKA,3400.1
SUGIANTO KUSUMA,3318.52
PT BUANAGRAHA ARTHAPRIMA,3314.97
PT CIPTA KRIDATAMA,3267.48
PT ACSET INDONUSA TBK,3267.48
LINDA SURYASARI WIJAYA,3188.64
FRANSISKUS JOHNY SOEGIARTO,3178.37
JOHANNES SETIADHARMA,3178.37
PAULUS TEDJOSUTIKNO,3178.37
CHANDRA,2991.0
YOHANES EDDY CHRISTIANTO,2991.0
STEVEN SCOTT BARKI,2990.5
ADRIAN KALAIJ,2926.23
LIM CHONG THIAN,2768.4
BENNY SETIAWAN SANTOSO,2766.16
RADEN PARDEDE,2585.17
MUKTAR WIDJAJA,2523.82
ANDRE SOELISTYO,2500.25
MERI HERAWATI K,2458.27
PT SUPRABARI MAPANINDO MINERAL,2391.27
PT PURA BARUTAMA,2391.27
PT NUSA HALMAHERA MINERALS,2391.27
PT MOBILITAS DIGITAL INDONESIA,2391.27
PT BRAHMAYASA BAHTERA,2391.27
PT MALACCA TRUST WUWUNGAN INSURANCE TBK,2274.66
JOEDIANTO SOEJONOPOETRO,2126.04
BELINDA NATALIA,2095.72
MAARTEN LUTHER SAPULETE,2090.56
NENGAH RAMA GAUTAMA,2083.01
HARUM ENERGY TBK,2003.0
PT INTAN SIAK LESTARI,2002.0
JAYANTI SARI,2001.43
YUNI ABDI NUR SULAIMAN,2001.43
SUPARDI TAN,2001.0
PT KING HALIM JEWELRY,2001.0
BARITONO PRAJOGO PANGESTU,2001.0
BUDI HADIDJAJA,2001.0
PT RED PLANET INDONESIA TBK,2001.0
UTOMO NUGROHO,2001.0
PT KRESNA KUSUMA DYANDRA MARGA,2001.0
PT BUANA BAJA BINA SEMESTA,2001.0
PT BIMA SAKTI PERTIWI TBK,2001.0
PT INTERMEDIA CAPITAL TBK,2001.0
PT DUTARAYA SEJATI,2001.0
PT HORMEL GARUDAFOOD JAYA,2001.0
TRI WIBOWO,2001.0
ERIC ADIJANTO,2001.0
EDDY,2001.0
CHEN TSEN NAN,2001.0
PT QUANTUM CLOVERA INVESTAMA TBK,2001.0
PT BNI LIFE INSURANCE,2001.0
ADI SARANA ARMADA TBK,2001.0
PT TIGA DAYA DIGITAL INDONESIA,2001.0
ELISABETH GELAEL,2001.0
JUSTINUS DALIMIN JUWONO,2001.0
PT LIGA INDONESIA BARU,2001.0
RACHMAT SOBARI HAMAMI,2001.0
PT SCG BARITO LOGISTICS,2001.0
SOLIHIN JUSUF KALLA,2001.0
HALIM JUSUF,2001.0
RICO ADISURJA SETIAWAN,2001.0
PT SUMBER GLOBAL ENERGY TBK,2001.0
PUTRI PARAMITA SUDALI,2001.0
ANINDYA NOVYAN BAKRIE,2001.0
DJA FAR,2001.0
MAYAPADA HEALTHCARE GROUP,2001.0
HENDRY HERMAN,2001.0
PT EKA SARI LORENA TRANSPORT TBK,2001.0
WILLIAM,2001.0
ANTONI GUNAWAN,2001.0
DJOKO NIRMALA LABBAIKA,2001.0
PT TIGA MANUNGGAL SYNTHETIC INDUSTRIES,2001.0
ALAM SUTERA REALTY TBK,2001.0
SILMY KARIM,2001.0
MUHAMMAD AWALUDDIN,2001.0
PT SIGMA CIPTA CARAKA,2001.0
PT SYNNEX METRODATA INDONESIA,2001.0
PT CHARNIC CAPITAL TBK,2001.0
PT ECOGREEN OLEOCHEMICALS,2001.0
PT EKA DHARMA JAYA SAKTI,2001.0
PT CARGILL INDONESIA,2001.0
PT DJARUM,2001.0
IWAN,2001.0
KRESNA PRIAWAN DJOKOSOETONO,2001.0
NONI SRI AYATI PURNOMO,2001.0
DENN CHARLY GONZALES ESPANOLA,2001.0
PT GARUDA MAINTENANCE FACILITY AERO ASIA TBK,2001.0
JOHAN SILITONGA,2001.0
SRI MULYANI,2001.0
KUSNADI,2001.0
SURYA PALOH,2001.0
PT PHAPROS TBK,2001.0
INDO STRAITS TBK,2001.0
PT PELINDO MULTI TERMINAL,2001.0
SUHAELI KALLA,2001.0
ANTON SETIAWAN,2001.0
HERU SETIAWAN,2001.0
PT KRAKATAU SARANA INFRASTRUKTUR,2001.0
ISLAND CONCEPTS INDONESIA TBK,2001.0
PRIJONO WINARKO,2001.0
PT LAUTAN LUAS TBK,2001.0
PT WILMAR CAHAYA INDONESIA TBK,2001.0
TINAWATI,2001.0
HERMAN WIJAYA,2001.0
AFFANDI HERMAWAN,2001.0
PT BALI PERKASASUKSES,2001.0
PT BANK MANDIRI TASPEN,2001.0
LIM HARIYANTO WIJAYA SARWONO,2001.0
MNC KAPITAL INDONESIA TBK,2001.0
EDHIE SUWIDAR,1998.0
BENYAMIN IRWANSYAH SADIKIN,1995.0
BOY BERNADI SADIKIN,1995.0
EDDY TRISNADI SADIKIN,1995.0
IRAWAN HERNADI SADIKIN,1995.0
LAODE MERAH AZHARI,1899.58
EKA DHARMAJANTO KASIH,1635.13
PT ADARO INDONESIA,1513.91
PT GLOBAL DISTRIBUSI NUSANTARA,1512.07
PUTU IRIN GENTA MARUNG,1501.61
MICHAEL WP SOERYADJAYA,1464.1
PT ROLIMEX KIMIA NUSAMAS,1450.16
PT DSSP POWER SUMSEL,1450.16
RUDI GUNAWAN,1364.78
SEJAHTERARAYA ANUGRAHJAYA TBK,1203.32
PT BEKASI POWER,1188.49
LANY DJUWITA,1094.49
PT TUNAS TITAN MAJU,1000.0
PT MASTER ADI JAYA,1000.0
ASKOLANI,964.98
TAUFIK WIRAATMADJA,936.54
PT MSIG LIFE INSURANCE INDONESIA TBK,880.5
PT VIDIO DOT COM,822.69
HARDI WIJAYA LIONG,798.31
SUGIARTO,760.85
PP LONDON SUMATRA INDONESIA TBK,726.0
PT SAPTAINDRA SEJATI,709.59
PT DUNIA KIMIA JAYA,703.66
PT CHAKRA JAWARA,648.92
PT GLOBAL DIGITAL NIAGA,648.92
PT LIPPO MALLS INDONESIA,648.92
PT PERTAMINA TRANS KONTINENTAL,648.92
PT BENTOEL PRIMA,648.92
ASTRA GRAPHIA TBK,537.11
WILLIAM TANUWIJAYA,499.25
MELISSA SISKA JUMINTO,499.25
KEVIN BRYAN ALUWI,499.25
PT STEEL PIPE INDUSTRY OF INDONESIA TBK,459.6
SAMINDO RESOURCES TBK,457.0
PT SARASWANTI ANUGERAH MAKMUR TBK,440.0
LOW TUCK KWONG,420.0
FXL KESUMA,357.76
ANDIN HADIYANTO,357.0
PT ALAT BUMI PERMAI,344.5
PT BORNEO INDOBARA,338.65
GOLDEN ENERGY MINES TBK,338.65
HAMDANI DZULKARNAEN SALIM,330.8
SONDANG EKA RAHMAWATI,323.9
PT PAMAPERSADA NUSANTARA,315.0
PT GS BATTERY,315.0
BAYAN RESOURCES TBK,315.0
SARANACENTRAL BAJATAMA TBK,271.4
HAIYANTO,269.0
SANDERAWATI JOESOEF,263.44
PT PANTAI INDAH KAPUK DUA TBK,249.0
PT CHITOSE INTERNASIONAL TBK,247.0
EKA SUSANTO WIDADI SUNARSO,246.04
PT BANK SMBC INDONESIA TBK,245.0
BACELIUS RURU,235.02
CHAIRIAH,218.19
GATOT MUDIANTORO SUWONDO,218.19
RICHARD HALIM KUSUMA,212.5
PT PRIMA ANDALAN MANDIRI TBK,198.5
ADRIAN WAHYU KALAIJ,195.86
ERAJAYA SWASEMBADA TBK,195.0
SURYA TOTO INDONESIA TBK,189.0
PT PUNDI KENCANA,186.0
PT BANK QNB INDONESIA TBK,182.0
PT BANK BTPN SYARIAH TBK,180.0
JOKO SARWONO,176.0
PT MD ENTERTAINMENT TBK,176.0
PT ZHAO HUI NICKEL,175.36
PT BATUTUA KHARISMA PERMAI,175.36
MANOJ DHAMOO PUNJABI,165.0
YAHYA TAUFIK,165.0
MARISA KOLONAS,165.0
PT SAMADISTA KARYA,161.74
PT SURYA PERTIWI TBK,161.0
SUHARTONO,156.08
ASTRA OTOPARTS TBK,154.75
RADIANT UTAMA INTERINSCO TBK,154.0
PT BANK TABUNGAN NEGARA (PERSERO) TBK,153.0
WIDJAYA DJOHAN,153.0
SELAMAT SEMPURNA TBK,152.0
