Nama,PageRank
PT BHAKTI MULTI ARTHA TBK,0.53
BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK,0.53
GARDA TUJUH BUANA TBK,0.53
HARUM ENERGY TBK,0.53
PT BLISS PROPERTI INDONESIA TBK,0.53
PT MARK DYNAMICS INDONESIA TBK,0.53
PT BANK MULTIARTA SENTOSA TBK,0.53
MODERN INTERNASIONAL TBK,0.53
ARGHA KARYA PRIMA IND. TBK,0.53
INDO ACIDATAMA TBK,0.53
PT SUMBER TANI AGUNG RESOURCES TBK,0.53
PT PERINTIS TRINITI PROPERTI TBK,0.53
PT AGUNG PODOMORO LAND TBK,0.53
BEKASI ASRI PEMULA TBK,0.53
PT PURADELTA LESTARI TBK,0.53
PT KENCANA ENERGI LESTARI TBK,0.53
PT MITRA ENERGI PERSADA TBK,0.53
PT ACE OLDFIELDS TBK,0.53
MILLENNIUM PHARMACON INTERNATIONAL TBK,0.53
PT CISADANE SAWIT RAYA TBK,0.53
PT NUSANTARA PELABUHAN HANDAL TBK,0.53
PT CIKARANG LISTRINDO TBK,0.53
PRASIDHA ANEKA NIAGA TBK,0.53
RICKY PUTRA GLOBALINDO TBK,0.53
PT PAM MINERAL TBK,0.53
PT PRADIKSI GUNATAMA TBK,0.53
TEMBAGA MULIA SEMANAN TBK,0.53
PT LINK NET TBK,0.53
MATAHARI DEPARTMENT STORE TBK,0.53
PT BANK INA PERDANA TBK,0.53
PT MORA TELEMATIKA INDONESIA TBK,0.52
PT BANK RAKYAT INDONESIA (PERSERO) TBK,0.52
PT IRON MOUNTAIN INDONESIA,0.52
GAJAH TUNGGAL TBK,0.52
PT MANDALA MULTIFINANCE TBK,0.52
LIPPO KARAWACI TBK,0.52
INDAH KIAT PULP & PAPER TBK,0.52
PT MERDEKA COPPER GOLD TBK,0.51
ENERGI MEGA PERSADA TBK,0.51
PT ERA FARMA MEDIKA,0.51
PT WISMA RAMAYANA,0.51
PT OCBC NISP VENTURA,0.5
PT SAMA MANDIRI,0.5
METROPOLITAN LAND TBK,0.5
PT BANK CIMB NIAGA TBK,0.5
PT TRANSCOAL PACIFIC TBK,0.5
PT PANCA GLOBAL SEKURITAS,0.5
PT LANGGENG INVESTINDO,0.49
PT FINANSIAL INTEGRASI TEKNOLOGI,0.49
PT RANTAI JARINGAN SUKSES,0.49
TRISULA INTERNATIONAL TBK,0.49
CITRA TUBINDO TBK,0.49
ANEKA TAMBANG TBK,0.49
MAHAKA MEDIA TBK,0.49
PT DYANDRA MEDIA INTERNATIONAL TBK,0.49
ELNUSA TBK,0.49
PT SARANA MEGAHTAMA,0.49
PT GRIYA EKSOTIKA UTAMA,0.49
PT KENANGA ELOK ASRI,0.49
PT TEMPO INTI MEDIA HARIAN,0.48
PT TEMPRINT,0.48
PT ADIJAYA UNINDO PERKASA,0.48
LIPPO GENERAL INSURANCE TBK,0.48
PT PRODIA WIDYAHUSADA TBK,0.48
TIGARAKSA SATRIA TBK,0.48
MNC KAPITAL INDONESIA TBK,0.48
KEDAUNG INDAH CAN TBK,0.47
PT KETROSDEN TRIASMITRA TBK,0.47
POLYCHEM INDONESIA TBK,0.47
PT ALLO BANK INDONESIA TBK,0.47
PT BANK NEO COMMERCE TBK,0.47
PT TRIMUDA NUANSA CITRA TBK,0.47
PT DAFAM PROPERTY INDONESIA TBK,0.47
PT SUPER ENERGY TBK,0.47
JAKARTA SETIABUDI INTERNASIONAL TBK,0.47
KDB TIFA FINANCE TBK,0.47
TIRA AUSTENITE TBK,0.47
ASURANSI BINTANG TBK,0.47
PT PP PRESISI TBK,0.47
PT DAYAMITRA TELEKOMUNIKASI TBK,0.47
PT PERTAMINA EP,0.47
PT TOWER BERSAMA INFRASTRUCTURE TBK,0.46
PT GLOBAL DIGITAL NIAGA,0.46
PT FKS FOOD SEJAHTERA TBK,0.46
PT ASIA SEJAHTERA MINA TBK,0.46
PT BUMI SHANGRIL LA JAYA,0.46
PT PONDOK INDAH HOTEL,0.46
SUMI INDO KABEL TBK,0.46
MULTI INDOCITRA TBK,0.46
BEKASI FAJAR INDUSTRIAL ESTATE TBK,0.46
PT SUMBER ALFARIA TRIJAYA TBK,0.45
PT BUMI SERPONG DAMAI TBK,0.45
PT MNC ASIA HOLDING TBK,0.45
PT QUANTUM CLOVERA INVESTAMA TBK,0.45
ALAM SUTERA REALTY TBK,0.45
STEADY SAFE TBK,0.45
DESTINASI TIRTA NUSANTARA TBK,0.45
BANK PAN INDONESIA TBK,0.45
PT PERTAMINA (PERSERO),0.45
PT BUMA INTERNASIONAL GRUP TBK,0.44
PT SUKSES BANGUN SINERGI,0.44
PT TRINITI DINAMIK SANTOZ,0.44
PT MATAHARI SUPER EKONOMI,0.44
PT PANIN INTERNASIONAL,0.44
DI,0.44
PT GRAHA LAYAR PRIMA TBK,0.44
PT KARYA MAKMUR KREASI PRIMA,0.44
PT LOGINDO SAMUDRAMAKMUR TBK,0.44
PT RED PLANET INDONESIA TBK,0.44
PT ARCHI INDONESIA TBK,0.44
PT OMNI INOVASI INDONESIA TBK,0.44
PT WASKITA BETON PRECAST TBK,0.43
PT MITRA PRIMA KREASI,0.43
PT MNC ENERGY INVESTMENTS TBK,0.43
PT BANK WOORI SAUDARA INDONESIA 1906 TBK,0.43
PT BANK MNC INTERNASIONAL TBK,0.43
PT COCA-COLA DISTRIBUTION INDONESIA,0.43
PT INDOINTERNET TBK,0.43
PIONEERINDO GOURMET INTERNATIONAL TBK,0.43
STAR PACIFIC TBK,0.43
PT BINA CIPTA TEKNOLOGI,0.43
PT MULTI SARANA INDOTANI,0.43
PT TANINDO INTERTRACO,0.43
PT CRODA TRADING INDONESIA,0.43
PT LDC TRADING INDONESIA,0.43
PT KURNIAMITRA DUTA SENTOSA TBK,0.43
MAYAPADA HEALTHCARE GROUP,0.43
PT YOFC INTERNATIONAL INDONESIA,0.42
PT BAHARI LAJU ANUGERAH,0.42
MERCK TBK,0.42
ASAHIMAS FLAT GLASS TBK,0.42
KALBE NUTRITIONALS,0.42
ASIA PACIFIC FIBERS TBK,0.42
PT SINO ZONE INDUSTRY INDONESIA,0.42
PT KIOSON KOMERSIAL INDONESIA TBK,0.42
PT HARAPAN DUTA PERTIWI TBK,0.42
PT PULAU PULAU MEDIA,0.42
PETROSEA TBK,0.42
EAGLE HIGH PLANTATIONS TBK,0.42
ASURANSI RAMAYANA TBK,0.42
PT DELI NUSANTARA PELABUHAN,0.42
PT PYRIDAM FARMA TBK,0.42
PT KINO INDONESIA TBK,0.42
PT PARAMITA BANGUN SARANA TBK,0.42
KIMIA FARMA TBK,0.42
PT ARITA PRIMA INDONESIA TBK,0.42
PT BANK OCBC NISP TBK,0.42
PT JASNITA TELEKOMINDO TBK,0.42
PT BREDERO SHAW INDONESIA,0.42
PT SILOAM INTERNATIONAL HOSPITALS TBK,0.42
PT IMPACK PRATAMA INDUSTRI TBK,0.42
PT RUMAH MEBEL NUSANTARA,0.42
PT EMPAT MITRA INDIKA TENAGA SURYA,0.42
PT INDO-RAMA SYNTHETICS TBK,0.41
INDIKA ENERGY TBK,0.41
VOKSEL ELECTRIC TBK,0.41
PT DOW INDONESIA,0.41
PT ASURANSI PURNA ARTANUGRAHA,0.41
PT ERA FARMA INDONESIA,0.41
PELAYARAN NELLY DWI PUTRI TBK,0.41
CAHAYA AERO SERVICES TBK,0.41
PT MULIA BOGA RAYA TBK,0.41
ELANG MAHKOTA TEKNOLOGI TBK,0.41
PT SUPRA INVESTAMA MANDIRI,0.41
PT MARS MULTI MANDIRI,0.41
GOLDEN ENERGY MINES TBK,0.41
