Nama,indegree,outdegree,betweenness,closeness,pagerank,cluster_sna
ALSYNITE ONE NZ LIMITED,1.0,0.0,0.0,0.16,0.16,1
ALUMINDO LIGHT METAL INDUSTRY TBK,9.0,6.0,115744.51,0.21,0.7,2
AMACORE BV,1.0,0.0,0.0,0.12,0.16,1
AMERICAN ANTHRACITE GROUP LLC,1.0,0.0,0.0,0.17,0.16,1
AMERICAN ANTHRACITE HOLDINGS LLC,1.0,0.0,0.0,0.17,0.16,1
AMERICAN ANTHRACITE SPV I LLC,1.0,0.0,0.0,0.17,0.16,1
"AMERICAN CARBON WAREHOUSING, LLC",1.0,0.0,0.0,0.17,0.16,1
ANA MOTOR SEVICE CO LTD,1.0,0.0,0.0,0.18,0.15,1
ANCORA INDONESIA RESOURCES TBK,4.0,40.0,435387.61,0.2,0.61,2
ANDERSON BAY PTE LTD,0.0,1.0,0.0,0.17,0.15,1
ANDERSON INVESTMENT PTE LTD,0.0,1.0,0.0,0.14,0.15,1
ANEKA TAMBANG TBK,10.0,49.0,1177249.13,0.23,0.49,2
ANEMI MARITIME CO LTD,1.0,0.0,0.0,0.13,0.16,1
ANGLO THAI EXPORTS CO LTD,1.0,0.0,0.0,0.12,0.16,1
ANGLOTHAI,1.0,0.0,0.0,0.12,0.16,1
ANN TAYLOR SOURCING FAR EAST LTD,1.0,0.0,0.0,0.37,0.16,1
ANSAT BROADCAST SDN BHD,1.0,0.0,0.0,0.15,0.16,1
ANSUN INTERNATIONAL PTE LTD,1.0,0.0,0.0,0.15,0.17,1
ANTENNA ENTERTAINMENTS SDN BHD,1.0,0.0,0.0,0.15,0.17,1
APAC INVESTMENT 2 PTE LTD,0.0,1.0,0.0,0.67,0.15,0
APACHEE PTE LTD,1.0,0.0,0.0,0.16,0.16,1
APEX FIBER RESOURCES AND TRADING FZCO,1.0,0.0,0.0,0.14,0.17,1
APEXINDO PRATAMA DUTA TBK,4.0,7.0,140311.78,0.18,0.66,2
APL REALTY HOLDINGS PTE LTD,1.0,0.0,0.0,0.14,0.16,1
APPLE MALAYSIA SDN BHD,1.0,0.0,0.0,0.16,0.15,1
APPLE SOUTH ASIA PTE LTD,2.0,0.0,7434.06,0.17,0.19,1
AQUA STAR CORPORATION,2.0,0.0,30934.53,0.16,0.19,1
AQUANUS MARITIME PTE LTD,1.0,0.0,0.0,0.14,0.17,1
AR SHOP,1.0,0.0,0.0,0.13,0.16,1
ARAMCO ASIA JAPAN KK,1.0,0.0,0.0,0.16,0.16,1
ARCELIK HITACHI HOME APPL,1.0,0.0,0.0,0.14,0.17,1
ARCHER DANIELS MIDLAND COMPANY,1.0,0.0,0.0,0.16,0.16,1
ARCHIPELAGO INVESTMENT PRIVATE LIMITED,0.0,1.0,0.0,0.17,0.15,1
ARCHIPELAGO RESOURCES PTE LTD,1.0,0.0,0.0,0.15,0.17,1
ARCHIPELAGO RUBBER TRADING PTE LTD,1.0,0.0,0.0,0.14,0.16,1
ARCHROMA SINGAPORE PTE LTD,1.0,0.0,0.0,0.16,0.16,1
ARES ASIA RESOURCES PTE LTD,1.0,0.0,0.0,0.19,0.15,1
ARES TRADING SA,1.0,0.0,0.0,0.17,0.16,1
ARGHA KARYA PRIMA IND. TBK,3.0,1.0,6.0,1.0,0.53,0
ARGO PANTES TBK,6.0,11.0,152587.58,0.16,0.77,2
ARITA ENGINEERING SDN BHD,0.0,1.0,0.0,0.15,0.15,1
ARITA VALVE (TIANJIN) CO LTD,1.0,0.0,0.0,0.15,0.16,1
ARNOLD SUHR NETHERLANDS BV,1.0,0.0,0.0,0.19,0.16,1
ARTHA PERDANA INVESTAMA,0.0,1.0,0.0,0.15,0.15,1
ARTHAVEST TBK,0.0,3.0,19779.0,0.11,0.15,1
ARTRON INTERNATIONAL PTE LTD,1.0,0.0,0.0,0.13,0.18,1
ARVEE INTERNATIONAL PTE LTD,1.0,0.0,0.0,0.17,0.15,1
ARWANA CITRAMULIA TBK,2.0,34.0,335698.5,0.14,0.4,2
ASAHI INDIA GLASS LTD,1.0,0.0,0.0,0.52,0.17,0
ASAHIMAS FLAT GLASS TBK,2.0,17.0,136.0,1.0,0.42,0
ASEAN MARITIME CORPORATION,1.0,0.0,0.0,0.14,0.16,1
ASIA AGRI INTERNATIONAL PTE LTD,0.0,1.0,0.0,0.16,0.15,1
ASIA LOGIC SDN BHD,1.0,0.0,0.0,0.37,0.16,1
ASIA MEDICAL ENVIRO SERVICES PTE LTD,1.0,0.0,0.0,0.17,0.17,1
ASIA PACIFIC FIBERS TBK,3.0,3.0,49440.0,0.15,0.42,1
ASIA PACIFIC NICKEL PTY LTD,1.0,0.0,0.0,0.18,0.16,1
ASIA PARAMITA INDAH,1.0,0.0,0.0,0.51,0.17,0
ASIA RECYCLING RESOURCES PTE LTD,1.0,0.0,0.0,0.16,0.16,1
ASIA RETAIL INVESTMENT PTE LTD,1.0,0.0,0.0,0.14,0.15,1
ASIAN SYNERGIES LIMITED,1.0,0.0,0.0,0.17,0.16,1
ASIANA SENOPATI,1.0,0.0,0.0,0.18,0.16,1
ASIAPLAST INDUSTRIES TBK,2.0,1.0,19779.0,0.15,0.29,1
ASIAWIDE RESOURCES LTD,1.0,0.0,0.0,0.15,0.17,1
ASICOAL TRADING PTE LTD,2.0,0.0,0.0,0.18,0.16,1
ASTEEM PRODUCTS PTE LTD,1.0,0.0,0.0,0.17,0.19,1
ASTRA AGRO LESTARI,1.0,0.0,0.0,0.18,0.16,1
ASTRA AGRO LESTARI TBK,3.0,64.0,738109.21,0.2,0.18,2
ASTRA GRAPHIA TBK,2.0,2.0,11231.48,0.18,0.17,1
ASTRA INTERNATIONAL TBK,12.0,64.0,1733704.39,0.22,0.58,2
ASTRA OTOPARTS TBK,4.0,32.0,406084.69,0.21,0.18,2
ASTRA-KLK PTE LTD,2.0,0.0,0.0,0.18,0.16,1
ASTRIA PACKAGING PTE LTD,1.0,0.0,0.0,0.53,0.29,0
ASURANSI BINA DANA ARTA TBK,1.0,1.0,1.0,1.0,0.28,0
ASURANSI BINTANG TBK,3.0,1.0,66.0,0.38,0.47,0
ASURANSI DAYIN MITRA TBK,4.0,0.0,39551.0,0.12,0.35,1
ASURANSI HARTA AMAN PRATAMA TBK,2.0,0.0,5696.5,0.21,0.22,1
ASURANSI JASA TANIA TBK,2.0,0.0,1.0,1.0,0.4,0
ASURANSI MULTI ARTHA GUNA TBK,2.0,0.0,9890.0,0.13,0.33,1
ASURANSI RAMAYANA TBK,3.0,1.0,29667.0,0.16,0.42,1
ASUS GLOBAL PTE LTD,1.0,0.0,0.0,0.13,0.18,1
ASUS INVESTMENT CO LTD,0.0,1.0,0.0,0.13,0.15,1
ASUSTEK COMPUTER INC,1.0,1.0,0.0,0.13,0.18,1
ATHLETICA INTERNATIONAL HOLDINGS PTE LTD,2.0,0.0,0.0,0.14,0.15,1
"ATLANTIC CARBON GROUP, INC",1.0,0.0,0.0,0.17,0.16,1
ATLAS RESOURCES TBK,4.0,4.0,69209.0,0.21,0.53,2
AUGUSTA INVESTMENTS I PTE LTD,0.0,1.0,0.0,0.15,0.15,1
AURIC DIGITAL RETAIL PTE LTD,0.0,1.0,0.0,0.15,0.15,1
AURORA EQUITY PTE LTD,1.0,0.0,0.0,0.53,0.2,0
AUSWASTE RECYCLING PTY LTD,1.0,0.0,0.0,0.16,0.16,1
AUTOGLASS CO LTD,1.0,0.0,0.0,0.52,0.17,0
AUTOPEDIA SUKSES LESTARI,1.0,0.0,0.0,0.15,0.17,1
AVRA COMMODITIES PTE LTD,4.0,0.0,46813.84,0.2,0.18,1
AVRA INTERNATIONAL DMCC,1.0,0.0,0.0,0.17,0.16,1
AXIA POWER HOLDINGS BV,0.0,1.0,0.0,0.14,0.15,1
AXIATA,0.0,1.0,0.0,0.67,0.15,0
AXIATA INVESTMENTS (INDONESIA) SDN BHD,1.0,2.0,0.0,0.18,0.17,1
AXN HOLDING LLC,1.0,0.0,0.0,0.17,0.16,1
AZMET TECHNOLOGY PROJECTS,1.0,0.0,0.0,0.16,0.15,1
AZZURRO HOLDINGS PTE LTD,1.0,0.0,0.0,0.17,0.17,1
BADAN KERJASAMA INTILAND STARLIGHT,1.0,0.0,0.0,0.13,0.16,1
BADAN LAYANAN TERPADU RSUD KABUPATEN SORONG,1.0,0.0,0.0,0.16,0.15,1
BADAN NASIONAL PENANGGULANGAN BENCANA,1.0,0.0,0.0,0.15,0.17,1
BADAN PENGATUR JALAN TOL,1.0,0.0,0.0,0.2,0.15,1
BADAN PENGELOLA DANA PERKEBUNAN KELAPA SAWIT,1.0,0.0,0.0,0.16,0.17,1
BADAN PENYELENGGARA JAMINAN SOSIAL,10.0,0.0,462350.92,0.21,0.26,2
BADAN USAHA MILIK NEGARA,1.0,0.0,0.0,0.19,0.21,1
BAFIN NEDERLAND BV,0.0,1.0,0.0,0.52,0.15,0
BAKRIE & BROTHERS TBK,0.0,1.0,0.0,0.17,0.15,1
BAKRIE GROUP,0.0,1.0,0.0,0.14,0.15,1
BAKRIE KALILA INVESTMENT,0.0,1.0,0.0,0.14,0.15,1
BAKRIE SUMATERA PLANTATIONS TBK,2.0,24.0,248452.33,0.18,0.32,2
BAKRIELAND DEVELOPMENT TBK,5.0,38.0,452023.81,0.21,0.71,2
BALAI TEKNIK PERKERETAAPIAN,1.0,0.0,0.0,0.19,0.15,1
BALATA COFFEE,1.0,0.0,0.0,0.17,0.16,1
BALI ISLAND VILLAS,1.0,0.0,0.0,0.14,0.18,1
BALI PRIVATE VILLA S PTE LTD,0.0,1.0,0.0,0.13,0.15,1
BALTIMORE INVESTMENTS LTD,1.0,0.0,0.0,0.16,0.16,1
BANGKIT CASSAVA MANDIRI,1.0,0.0,0.0,0.18,0.16,1
BANGKOK BANK,0.0,1.0,0.0,0.15,0.15,1
BANGKOK BANK PUBLIC COMPANY LIMITED,0.0,1.0,0.0,0.15,0.15,1
BANK ARTHA GRAHA INTERNASIONAL TBK,8.0,0.0,67212.77,0.18,1.0,2
BANK BUMI ARTA TBK,4.0,0.0,6.0,1.0,0.66,0
BANK INDONESIA,2.0,0.0,1702.52,0.2,0.16,1
BANK INDUSTRI KOREA,0.0,1.0,0.0,0.67,0.15,0
BANK J SAFRA SARASIN LTD,0.0,1.0,0.0,0.57,0.15,0
BANK JULIUS BAER AND CO LTD SINGAPORE,0.0,2.0,295830.0,0.14,0.15,1
BANK MANDIRI LIMITED,1.0,0.0,0.0,0.19,0.18,1
BANK MEGA TBK,1.0,0.0,0.0,0.12,0.21,1
BANK OF INDIA,0.0,1.0,0.0,1.0,0.15,0
BANK OF INDIA INDONESIA TBK,1.0,0.0,0.0,1.0,0.28,0
BANK OF NEW YORK,0.0,1.0,0.0,0.17,0.15,1
BANK OF SINGAPORE LIMITED,0.0,10.0,758996.7,0.19,0.15,1
BANK PAN INDONESIA TBK,2.0,7.0,76532.16,0.15,0.45,1
BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK,3.0,5.0,28.0,1.0,0.53,0
BANK PEMBANGUNAN DAERAH JAWA TIMUR TBK,1.0,0.0,0.0,1.0,0.28,0
BANK PERMATA TBK,4.0,0.0,29667.0,0.18,0.54,1
BANK SINARMAS TBK,1.0,1.0,4.0,0.56,0.27,0
BANK SINGAPORE LTD,0.0,1.0,0.0,0.14,0.15,1
BANK SYARIAH MANDIRI,1.0,0.0,0.0,0.19,0.18,1
BANK VICTORIA INTERNATIONAL TBK,4.0,0.0,9890.0,0.15,0.33,1
BANPU MINERALS SINGAPORE PRIVATE LIMITED,0.0,1.0,0.0,0.17,0.15,1
BANQUE DE LUXEMBOURG,0.0,1.0,0.0,0.18,0.15,1
BANQUE PICTET AND CIE SA,0.0,2.0,70955.57,0.17,0.15,1
BAOTOU TUOLITUO TECHNOLOGY CO LTD,0.0,4.0,42218.45,0.18,0.15,1
BARA MAKMUR ABADI,0.0,1.0,0.0,0.17,0.15,1
BARA PTE LTD,0.0,1.0,0.0,0.57,0.15,0
BARAMULTI SUKSESSARANA TBK,6.0,6.0,88259.98,0.16,0.86,2
BARITO PACIFIC TBK,1.0,18.0,125718.98,0.16,0.16,1
BAROKAH MELAYU FOODS PTE LTD,0.0,1.0,0.0,0.16,0.15,1
BARY CHEMICAL PTE LTD,1.0,0.0,0.0,0.14,0.16,1
BARY COMMODITIES PTE LTD,1.0,0.0,0.0,0.17,0.16,1
BATA BRANDS SARL,1.0,0.0,0.0,0.52,0.17,0
BATA CENTRE SRO,1.0,0.0,0.0,0.52,0.17,0
BATA INDUSTRIAL EUROPE NETHERLAND,1.0,0.0,0.0,0.52,0.17,0
BATA PRIMAVERA SDN BHD,1.0,0.0,0.0,0.52,0.17,0
BATA SHOE (SINGAPORE) PTE LTD,1.0,0.0,0.0,0.52,0.17,0
BATA SHOE COMPANY (BANGLADESH) LIMITED,1.0,0.0,0.0,0.52,0.17,0
BATA SHOE COMPANY KENYA LIMITED,1.0,0.0,0.0,0.52,0.17,0
BATA SHOE OF THAILAND PUBLIC CO LTD,1.0,0.0,0.0,0.52,0.17,0
BATAVIA PROSPERINDO INVESTAMA,1.0,0.0,0.0,0.15,0.16,1
BATUBARA DEVELOPMENT PTE LTD,0.0,1.0,0.0,0.15,0.15,1
BAYAN RESOURCES TBK,2.0,36.0,335162.33,0.18,0.32,2
BAYER CORP SCIENCE,1.0,0.0,0.0,0.15,0.16,1
BAYSWATER SHIPPING & FORWADING PTE LTD,1.0,0.0,0.0,0.17,0.17,1
BAYU BUANA TBK,4.0,9.0,392708.83,0.16,0.33,2
BBR SHIPPING BERHAD,1.0,0.0,0.0,0.15,0.18,1
BBR SHIPPING PTE LTD,1.0,0.0,0.0,0.15,0.18,1
BC FINE LIVING LIMITED,1.0,0.0,0.0,0.16,0.15,1
BCA FINANCE LIMITED,1.0,0.0,0.0,0.17,0.17,1
BCA SEKURITAS,1.0,0.0,0.0,0.17,0.17,1
BCA SYARIAH,1.0,0.0,0.0,0.17,0.17,1
BDX ASIA DATA CENTER HOLDINGS PTE LTD,0.0,1.0,0.0,0.17,0.15,1
BEAUTY BRANDS INTERNATIONAL PTE LTD,0.0,1.0,0.0,0.16,0.15,1
BEAVER STREET FISHERIES INC,1.0,0.0,0.0,0.15,0.18,1
BEIJING FUHAIHUA IMPORT EXPORT CORP LTD,1.0,0.0,0.0,0.16,0.15,1
BEIJING SHUZHIFANG TECHNOLOGY CO LTD,1.0,0.0,0.0,0.18,0.15,1
BEKASI ASRI PEMULA TBK,3.0,0.0,3.0,1.0,0.53,0
BEKASI FAJAR INDUSTRIAL ESTATE TBK,4.0,10.0,180227.87,0.19,0.46,2
BELLRIDGE HOLDINGS LIMITED,1.0,0.0,0.0,0.16,0.16,1
BERITO PANGAN MAKMUR,1.0,0.0,0.0,0.18,0.16,1
BERLIAN LAJU TANKER CORPORATION,1.0,0.0,0.0,0.14,0.16,1
BERLIAN LAJU TANKER TBK,2.0,31.0,468604.02,0.16,0.4,2
BERLINA SINGAPORE PTE LTD,1.0,0.0,0.0,0.15,0.16,1
BERLINA TBK,2.0,34.0,367340.87,0.18,0.34,2
BERSAMA DIGITAL INFRASTRUCTURE ASIA PTE LTD,0.0,1.0,0.0,0.17,0.15,1
BETA HOLDING CELLA PTE LTD,1.0,0.0,0.0,0.14,0.15,1
BETONJAYA MANUNGGAL TBK,1.0,5.0,29667.0,0.15,0.2,1
BFI FINANCE INDONESIA TBK,2.0,1.0,3.0,1.0,0.4,0
BHARA ENERGY INTERNATIONAL,1.0,0.0,0.0,0.14,0.16,1
BHUWANATALA INDAH PERMAI TBK,2.0,32.0,322604.89,0.17,0.3,2
BIBIT INDONESIA,1.0,0.0,0.0,0.52,0.2,0
BILLION VAST INDUSTRIAL LIMITED,1.0,0.0,0.0,0.12,0.16,1
BIN LADIN CONTRACTOR GROUP LLC,1.0,0.0,0.0,0.19,0.15,1
BINA PURI POWER SDN BHD,0.0,1.0,0.0,0.16,0.15,1
BINDERS INTERNATIONAL PTE LTD,1.0,0.0,0.0,0.15,0.16,1
BINH DINH FISHERY JOINT STOCK COMPANY,1.0,0.0,0.0,0.12,0.16,1
BINO DIGITAL SOLUTION PTE LTD,1.0,0.0,0.0,0.15,0.16,1
BINO INTERNATIONAL PTE LTD,1.0,0.0,0.0,0.15,0.16,1
BINTANG BARA B.V.,0.0,1.0,0.0,0.17,0.15,1
BINTANG JAYA,2.0,0.0,18373.28,0.18,0.16,1
BINTANG MITRA SEMESTARAYA TBK,3.0,5.0,96282.73,0.17,0.29,1
BIO MAJESTY PTE LTD,0.0,1.0,0.0,0.18,0.15,1
BIOMÉRIEUX,1.0,0.0,0.0,0.19,0.16,1
BIP HOLDINGS INTERNATIONAL PTE LTD,1.0,0.0,0.0,0.15,0.16,1
BIRCHWOOD OMNIA LIMITED,0.0,2.0,0.0,0.67,0.15,0
BISI INTERNATIONAL TBK,7.0,3.0,88974.0,0.14,0.98,2
BLACK SAND COMMODITIES FZ LLC,1.0,0.0,0.0,0.18,0.16,1
BLACKHAWK NETWORK,2.0,0.0,10604.79,0.18,0.16,1
BLACKHILLS DMCC,1.0,0.0,0.0,0.14,0.17,1
BLD ASIA PTE LTD,1.0,0.0,0.0,0.17,0.17,1
BLD INVESTMENT PTE LTD,1.0,0.0,0.0,0.17,0.17,1
BLT FINANCE B.V,1.0,0.0,0.0,0.14,0.16,1
BLT LNG TANGGUH CORPORATION,1.0,0.0,0.0,0.14,0.16,1
BLT SHIPPING CORPORATION,1.0,0.0,0.0,0.14,0.17,1
BLUE AQUA FOODS SA DE CV,1.0,0.0,0.0,0.12,0.16,1
