Nama,indegree,outdegree,betweenness,closeness,pagerank,cluster_sna
PT ADARO INDONESIA,3.0,0.0,22632.73,0.18,0.18,1
PT ADARO POWER,1.0,0.0,0.0,0.15,0.16,1
PT ADARO SARANA ENERGI TERBARUKAN,1.0,0.0,0.0,0.15,0.16,1
PT ADARO STRATEGIC INVESTMENT,0.0,1.0,0.0,0.15,0.15,1
PT ADARO WIND ENERGY,1.0,0.0,0.0,0.15,0.16,1
PT ADAS,1.0,0.0,0.0,0.17,0.17,1
PT ADHI COMMUTER PROPERTI TBK,3.0,17.0,120171.58,0.21,0.28,1
PT ADHI GUNA PUTERA,1.0,0.0,0.0,0.16,0.17,1
PT ADHI KARYA (PERSERO) TBK,13.0,76.0,3098489.36,0.25,0.29,2
PT ADHI PERSADA BETON,4.0,0.0,4724.94,0.19,0.19,1
PT ADHI PERSADA GEDUNG,2.0,0.0,739.01,0.19,0.17,1
PT ADHI PERSADA PROPERTI,1.0,0.0,0.0,0.18,0.16,1
PT ADHIKA ARNAWAMA AGENSI,1.0,0.0,0.0,0.16,0.16,1
PT ADHIKARISMA PRATAMA,1.0,0.0,0.0,0.16,0.16,1
PT ADHIMIX PCI INDONESIA,2.0,0.0,261.19,0.18,0.22,1
PT ADHIMIX PRECAST INDONESIA,1.0,2.0,354.65,0.18,0.16,1
PT ADHIMIX RMC INDONESIA,8.0,0.0,135686.38,0.21,0.28,2
PT ADHINATA SANGKARA PRATAMA,1.0,0.0,0.0,0.14,0.15,1
PT ADHIRAJASA HANASTA PRATAMA,1.0,0.0,0.0,0.14,0.15,1
PT ADHITAMA CITRA SELARAS,1.0,0.0,0.0,0.13,0.18,1
PT ADHITYA SERAYAKORITA,1.0,0.0,0.0,0.14,0.16,1
PT ADHIWANGSA SATATA EKATRA,1.0,0.0,0.0,0.14,0.15,1
PT ADHIYAKSA TIRTA ABADI,1.0,0.0,0.0,0.14,0.18,1
PT ADHYAKSA DHARMASATYA,1.0,0.0,0.0,0.16,0.16,1
PT ADI CITA RASA,1.0,0.0,0.0,0.16,0.16,1
PT ADI DINAMIKA INVESTINDO,0.0,1.0,0.0,0.15,0.15,1
PT ADI MARGA MANDIRI,1.0,0.0,0.0,0.17,0.16,1
PT ADI SARANA INVESTINDO,1.0,0.0,0.0,0.15,0.17,1
PT ADI SARANA LELANG,1.0,0.0,0.0,0.15,0.17,1
PT ADI SARANA LOGISTIK,2.0,0.0,0.0,0.15,0.18,1
PT ADI SARANA PROPERTI,1.0,0.0,0.0,0.15,0.17,1
PT ADI SARANA TRANSPORTASI,1.0,0.0,0.0,0.15,0.17,1
PT ADIBRATA CIPTA PERTIWI,1.0,0.0,0.0,0.17,0.16,1
PT ADICIPTA GRIYA SEJATI,0.0,1.0,0.0,0.6,0.15,0
PT ADIJAYA BUANA SAKTI,1.0,0.0,0.0,0.14,0.15,1
PT ADIJAYA KARYA MAKMUR,1.0,0.0,0.0,0.16,0.16,1
PT ADIJAYA UNINDO PERKASA,1.0,0.0,0.0,0.39,0.48,0
PT ADIKARSA ALAM RESOURCES,1.0,0.0,0.0,0.17,0.16,1
PT ADIKARSA SARANA,0.0,1.0,0.0,0.15,0.15,1
PT ADIKARYA GEMILANG,1.0,0.0,0.0,0.16,0.17,1
PT ADIL BERKAT SENTOSA,1.0,0.0,0.0,0.11,0.16,1
PT ADILAKSA MANUNGGAL,0.0,1.0,0.0,0.53,0.15,0
PT ADIMITRA BARATAMA NIAGA,1.0,0.0,0.0,0.17,0.17,1
PT ADIMITRA BARATAMA NUSANTARA,2.0,0.0,0.0,0.17,0.2,1
PT ADIMITRA GALERINDO,1.0,0.0,0.0,0.15,0.18,1
PT ADIPERKASA CITRA ESEMKA HERO,0.0,1.0,0.0,0.15,0.15,1
PT ADIPROTEK ENVIRODUNIA,1.0,0.0,0.0,0.17,0.17,1
PT ADIRAJA ARMADA MARITIM,1.0,0.0,0.0,0.16,0.16,1
PT ADIRAJA ARMADA MARITIME,1.0,0.0,0.0,0.16,0.16,1
PT ADIYA GUMILANG NUSANTARA,1.0,0.0,0.0,0.18,0.16,1
PT ADMINISTRASI MEDIKA,2.0,0.0,1701.0,0.2,0.18,1
PT ADONAI PIALANG ASURANSI,1.0,0.0,0.0,0.15,0.16,1
PT ADORA MAKMUR SENTOSA,1.0,0.0,0.0,0.16,0.18,1
PT ADRINDO INTI PERKASA,0.0,2.0,64.0,0.52,0.15,0
PT ADVANCE MEDICARE CORPORA,1.0,0.0,0.0,0.17,0.16,1
PT ADYABUANA PERSADA,1.0,0.0,0.0,0.16,0.18,1
PT AEK SIMONGGO ENERGY,1.0,0.0,0.0,0.14,0.19,1
PT AEK TARUM,1.0,0.0,0.0,0.15,0.16,1
PT AEL INDONESIA,1.0,0.0,0.0,0.17,0.16,1
PT AEON INDONESIA,2.0,0.0,32291.92,0.17,0.17,1
PT AEON MALL INDONESIA,1.0,0.0,0.0,0.16,0.16,1
PT AERO SYSTEMS INDONESIA,1.0,0.0,0.0,0.18,0.16,1
PT AERO WISATA,0.0,1.0,0.0,0.15,0.15,1
PT AERO WISATA DAN ANAK PERUSAHAAN,1.0,0.0,0.0,0.18,0.16,1
PT AEROSEA NIRWANA INDONESIA,1.0,0.0,0.0,0.15,0.16,1
PT AFHAM SOLUSI KOMUNIKASI,1.0,0.0,0.0,0.13,0.21,1
PT AFIT LINTAS JAYA,1.0,0.0,0.0,0.53,0.18,0
PT AFTANESIA RAYA,1.0,0.0,0.0,0.15,0.16,1
PT AGATA NUGRAHA NASTARI,1.0,0.0,0.0,0.19,0.15,1
PT AGENG ADI,1.0,0.0,0.0,0.15,0.15,1
PT AGRI BUMI SENTOSA,1.0,0.0,0.0,0.16,0.16,1
PT AGRI HI KAY INDONESIA,1.0,0.0,0.0,0.14,0.16,1
PT AGRI MULTI MAS SENTOSA,0.0,1.0,0.0,0.11,0.15,1
PT AGRI WANGI INDONESIA,1.0,0.0,0.0,0.16,0.17,1
PT AGRIMAS UTAMA INDONESIA,1.0,0.0,0.0,0.16,0.16,1
PT AGRINDO PRATAMA,0.0,1.0,0.0,0.12,0.15,1
PT AGRINUSA JAYA SANTOSA,1.0,0.0,0.0,0.16,0.16,1
PT AGRITAMA MULTI SARANA,1.0,0.0,0.0,0.16,0.18,1
PT AGRO AFIAT,1.0,0.0,0.0,0.14,0.15,1
PT AGRO ANDALAN,1.0,0.0,0.0,0.18,0.17,1
PT AGRO BOGA UTAMA,3.0,0.0,27940.41,0.19,0.2,1
PT AGRO BUMI MAS,1.0,0.0,0.0,0.16,0.17,1
PT AGRO HARMONI BUMI,1.0,0.0,0.0,0.16,0.16,1
PT AGRO JAYA,1.0,0.0,0.0,0.15,0.17,1
PT AGRO MAKMUR RAYA,2.0,0.0,22734.08,0.18,0.19,1
PT AGRO MENARA RACHMAT,1.0,0.0,0.0,0.17,0.15,1
PT AGRO MITRA MADANI,1.0,0.0,0.0,0.15,0.16,1
PT AGRO MULTI PERSADA,1.0,0.0,0.0,0.18,0.18,1
PT AGRO MURNI,2.0,0.0,9890.0,0.19,0.28,1
PT AGRO NUSA ABADI,1.0,0.0,0.0,0.17,0.15,1
PT AGRO PALINDO SAKTI,1.0,0.0,0.0,0.14,0.18,1
PT AGRO PLANINDO UTAMA,1.0,0.0,0.0,0.15,0.16,1
PT AGRO PRATAMA,1.0,0.0,0.0,0.18,0.17,1
PT AGRO WANA LESTARI,1.0,0.0,0.0,0.14,0.16,1
PT AGRO YASA LESTARI TBK,1.0,20.0,177891.36,0.19,0.28,1
PT AGRONUSA INVESTAMA,1.0,0.0,0.0,0.14,0.18,1
PT AGROSUBUR PERMAI,1.0,0.0,0.0,0.17,0.16,1
PT AGROWIYANA,1.0,0.0,0.0,0.15,0.16,1
PT AGUNG ALAM ANUGRAH,0.0,1.0,0.0,0.13,0.15,1
PT AGUNG ANUGRAH INVESTAMA,0.0,1.0,0.0,0.13,0.15,1
PT AGUNG AUTOMALL,1.0,0.0,0.0,0.19,0.15,1
PT AGUNG CIPTA RAYA,1.0,0.0,0.0,0.14,0.15,1
PT AGUNG DEWATA SUKSES,1.0,0.0,0.0,0.14,0.16,1
PT AGUNG KENCANA SUKSES,1.0,0.0,0.0,0.14,0.16,1
PT AGUNG MANDIRI LESTARI,2.0,0.0,0.0,0.14,0.18,1
PT AGUNG PERDANA SAKTI,1.0,0.0,0.0,0.13,0.22,1
PT AGUNG PERKASA INVESTINDO,0.0,1.0,0.0,0.14,0.15,1
PT AGUNG PESONA UNGGUL,1.0,0.0,0.0,0.14,0.16,1
PT AGUNG PODOMORO LAND TBK,3.0,42.0,424258.24,0.17,0.53,2
PT AGUNG SEMESTA SEJAHTERA TBK,3.0,16.0,296187.0,0.16,0.35,2
PT AGUNG SURYA GEMERLAP,1.0,0.0,0.0,0.13,0.18,1
PT AGUNG SURYA LANGGENG MAKMUR,1.0,0.0,0.0,0.16,0.18,1
PT AGUS NUSA PENIDA,1.0,0.0,0.0,0.13,0.18,1
PT AGUS SUTA LINE,1.0,0.0,0.0,0.18,0.16,1
PT AIDIA INDONESIA PROPERTINDO,1.0,0.0,0.0,0.6,0.25,0
PT AIMS INDO INVESTAMA,0.0,1.0,0.0,0.13,0.15,1
PT AINO INDONESIA,1.0,0.0,0.0,0.18,0.16,1
PT AION INDOMOBIL DISTRIBUTION INDONESIA,1.0,0.0,0.0,0.19,0.15,1
PT AIR BERKAT CEMERLANG,1.0,0.0,0.0,0.37,0.16,1
PT AIR LIQUIDE INDONESIA TEKNOLOGI,1.0,0.0,0.0,0.17,0.16,1
PT AIR MAS PERKASA,1.0,0.0,0.0,0.15,0.16,1
PT AIR PRODUCTS INDONESIA,1.0,0.0,0.0,0.17,0.16,1
PT AIRA SUKSES INTERNASIONAL,1.0,0.0,0.0,0.15,0.16,1
PT AIRA SUKSES INTERNATIONAL,2.0,0.0,0.0,0.15,0.18,1
PT AIRASIA INDONESIA TBK,2.0,3.0,10.0,1.0,0.4,0
PT AIRSINDO MULTI SELARAS,1.0,0.0,0.0,0.17,0.16,1
PT AKASA LEGIAN KARYA,1.0,0.0,0.0,0.17,0.18,1
PT AKASIA CEPAT INDONESIA,1.0,0.0,0.0,0.13,0.2,1
PT AKASIA CODE DIGITAL,1.0,0.0,0.0,0.13,0.2,1
PT AKASIA DAMCORP WABA,2.0,0.0,149797.23,0.18,0.2,1
PT AKEBONO BRAKE ASTRA INDONESIA,3.0,0.0,47377.2,0.19,0.2,1
PT AKINO WAHANAMULIA,1.0,0.0,0.0,0.15,0.16,1
PT AKIRA BARBEKYU INDONESIA,1.0,0.0,0.0,0.15,0.17,1
PT AKR CORPORINDO TBK,5.0,15.0,289132.93,0.2,0.3,2
PT AKR LAND DEVELOPMENT,1.0,0.0,0.0,0.17,0.17,1
PT AKR NIAGA INDONESIA,1.0,0.0,0.0,0.17,0.17,1
PT AKR SEA TRANSPORT,1.0,0.0,0.0,0.17,0.17,1
PT AKR TRANSPORTASI INDONESIA,1.0,0.0,0.0,0.17,0.17,1
PT AKRAYA INTERNATIONAL,0.0,1.0,0.0,0.16,0.15,1
PT AKSES PELABUHAN INDONESIA,0.0,1.0,0.0,0.16,0.15,1
PT AKTIF INDONESIA INDAH,2.0,0.0,671.86,0.16,0.17,1
PT AKULAKU SILVRR INDONESIA,1.0,2.0,73411.42,0.17,0.15,1
PT AKUR PRATAMA (YOGYA GROUP),1.0,0.0,0.0,0.14,0.16,1
PT AL ARES INDONESIA,1.0,0.0,0.0,0.16,0.15,1
PT ALADIN GLOBAL VENTURES,0.0,1.0,0.0,1.0,0.15,0
PT ALAKASA ALUMINA REFINERI,1.0,0.0,0.0,0.15,0.17,1
PT ALAKASA ANDALAN MITRA SEJATI,1.0,0.0,0.0,0.15,0.17,1
PT ALAKASA EXTRUSINDO,1.0,0.0,0.0,0.15,0.17,1
PT ALAM ENERGI PRATAMA,1.0,0.0,0.0,0.16,0.16,1
PT ALAM HIJAU TEDUH,1.0,0.0,0.0,0.14,0.16,1
PT ALAM INDAH SELARAS,1.0,0.0,0.0,0.5,0.17,0
PT ALAM JAYABARA PRATAMA,1.0,0.0,0.0,0.17,0.16,1
PT ALAM LESTARI NIAGA,1.0,0.0,0.0,0.14,0.15,1
PT ALAM MAKMUR INDAH,1.0,0.0,0.0,0.14,0.16,1
PT ALAM MENTARI SEJAHTERA,1.0,0.0,0.0,0.11,0.17,1
PT ALAM METAL MERCUNIAGA,2.0,0.0,0.0,0.16,0.25,1
PT ALAM PERMAI,1.0,0.0,0.0,0.13,0.23,1
PT ALAM TRI BANGUN INDONESIA,1.0,0.0,0.0,0.15,0.16,1
PT ALAM TRI CAKRA INDONESIA,2.0,0.0,0.0,0.16,0.16,1
PT ALAM TRI DAYA INDONESIA,2.0,0.0,0.0,0.16,0.16,1
PT ALAM TULUS ABADI,0.0,1.0,0.0,0.11,0.15,1
PT ALAMI LESTARI INVESTINDO,0.0,1.0,0.0,0.14,0.15,1
PT ALAMTRI MINERALS INDONESIA TBK,2.0,26.0,208608.8,0.18,0.17,1
PT ALAT BUMI PERMAI,1.0,0.0,0.0,0.18,0.16,1
PT ALATAS CRANE SERVICE INDONESIA,2.0,0.0,9890.0,0.17,0.29,1
PT ALATAS MARINE,1.0,0.0,0.0,0.17,0.17,1
PT ALBA CIPTA RASA,0.0,1.0,0.0,0.16,0.15,1
PT ALCATEL-LUCENT INDONESIA,1.0,0.0,0.0,0.17,0.16,1
PT ALCHEMO TEKNOLOGI INDONESIA,1.0,0.0,0.0,0.17,0.16,1
PT ALDERON PRATAMA INDONESIA,1.0,0.0,0.0,0.16,0.16,1
PT ALDO INDONESIA ADIPERKASA,2.0,0.0,0.0,0.14,0.15,1
PT ALDO INDONESIA ADIPERKASA RITEL,2.0,0.0,0.0,0.14,0.15,1
PT ALERE HEALTH,1.0,0.0,0.0,0.19,0.16,1
PT ALFA GEMILANG,1.0,0.0,0.0,0.17,0.16,1
PT ALFA GOLDLAND REALTY,2.0,0.0,135597.93,0.18,0.18,1
PT ALFA GRANITAMA,1.0,0.0,0.0,0.16,0.16,1
PT ALFA POLIMER INDONESIA,1.0,0.0,0.0,0.16,0.16,1
PT ALFA RETAILINDO TBK,2.0,0.0,70454.67,0.2,0.16,1
PT ALFA STILINDO,2.0,0.0,8753.04,0.19,0.18,1
PT ALFA TRANS RAYA,1.0,0.0,0.0,0.19,0.15,1
PT ALFAZ TOUR,1.0,0.0,0.0,0.14,0.18,1
PT ALFINDO LF MAKMUR,2.0,0.0,0.0,0.16,0.22,1
PT ALIEF PRATAMA TRANSINDO,1.0,0.0,0.0,0.18,0.16,1
PT ALIET SAKATHA RAHAYU,1.0,0.0,0.0,0.18,0.16,1
PT ALIM INVESTINDO,0.0,2.0,39548.0,0.17,0.15,1
PT ALITA DINAMIKA PERSADA,0.0,1.0,0.0,0.15,0.15,1
PT ALITA PRAYA MITRA,2.0,0.0,111786.72,0.21,0.16,1
PT ALKA NIAGA INDUSTRI,1.0,0.0,0.0,0.15,0.17,1
PT ALLIANCE COSMETICS,1.0,0.0,0.0,0.51,0.17,0
PT ALLO BANK INDONESIA TBK,4.0,0.0,39553.0,0.16,0.47,1
PT ALLO FRESH INDONESIA,1.0,0.0,0.0,0.16,0.15,1
PT ALMINDO JAYA ABADI,1.0,0.0,0.0,0.18,0.16,1
PT ALPEN AGUNG RAYA,1.0,0.0,0.0,0.16,0.16,1
PT ALPHA AUSTENITE,1.0,0.0,0.0,0.12,0.28,1
PT ALPHA BARA ENERGI,1.0,0.0,0.0,0.18,0.19,1
PT ALPHA ENERGI PRATAMA,1.0,0.0,0.0,0.18,0.19,1
PT ALPHA NUSA INFRASTRUKTUR,1.0,0.0,0.0,0.18,0.19,1
PT ALPHANOVATION DIGITAL TEKNINDO,3.0,0.0,55.89,0.18,0.18,1
PT ALPHEN INTERNASIONAL CORPORINDO,0.0,1.0,0.0,0.52,0.15,0
PT ALSOK BASS INDONESIA SECURITY SERVICES,0.0,1.0,0.0,0.18,0.15,1
PT ALSYNITE INDONESIA,1.0,0.0,0.0,0.16,0.16,1
PT ALTASTRATUS LRDONESIA,1.0,0.0,0.0,0.17,0.16,1
PT ALTEK TIRTA SARANA,1.0,0.0,0.0,0.14,0.17,1
PT ALTO NAUTIKA TEKNOLOGI,1.0,0.0,0.0,0.12,0.16,1
PT ALTO NETWORK,1.0,0.0,0.0,0.18,0.15,1
PT ALTRA RAYA,1.0,0.0,0.0,0.67,0.39,0
PT ALTRAK 1978,2.0,0.0,2937.94,0.18,0.19,1
PT ALUMINAMETAL UTAMA,1.0,0.0,0.0,0.17,0.25,1
PT ALUN ALUN INDONESIA KREASI,1.0,0.0,0.0,0.14,0.15,1
PT ALUN INDAH,1.0,0.0,0.0,0.14,0.17,1
PT ALUNO FOOD INDONESIA,1.0,0.0,0.0,0.6,0.27,0
PT AMAN BAE BERJAYA,2.0,0.0,0.0,0.17,0.16,1
PT AMAN BAE PERKASA,2.0,0.0,0.0,0.17,0.16,1
PT AMAN BAE SENTOSA,2.0,0.0,0.0,0.17,0.16,1
PT AMAN BERKAT CEMERLANG,1.0,0.0,0.0,0.11,0.16,1
PT AMAN DHITYA INVESTAMA,0.0,1.0,0.0,0.15,0.15,1
PT AMAN LANGGENG SENTOSA,2.0,0.0,0.0,0.18,0.16,1
PT AMANAH NUSANTARA SEJAHTERA,1.0,0.0,0.0,0.15,0.16,1
PT AMANAH PUTRA BORNEO,1.0,0.0,0.0,0.17,0.17,1
PT AMANDA CIPTA PERSADA,0.0,1.0,0.0,0.17,0.15,1
PT AMARIS TIRTA PRATAMA,1.0,0.0,0.0,0.14,0.24,1
PT AMARTHA MANUNGGAL PRIMA,1.0,0.0,0.0,0.15,0.16,1
PT AMBANG BARITO NUSAPERSADA,2.0,0.0,9890.0,0.16,0.29,1
PT AMBASSADOR GARMINDO,1.0,0.0,0.0,0.13,0.32,1
PT AMBON BANGUN NUSA,1.0,0.0,0.0,0.14,0.15,1
PT AMCOR FLEXIBLES INDONESIA,1.0,0.0,0.0,0.14,0.16,1
PT AMERTHA GRACIA,1.0,0.0,0.0,0.17,0.16,1
PT AMG KUNDUR VISION,1.0,0.0,0.0,0.15,0.16,1
PT AMICO PUTERA PERKASA,1.0,0.0,0.0,0.18,0.16,1
PT AMMAN MINERAL NUSA TENGGARA,5.0,0.0,150794.14,0.21,0.19,1
PT ANABATIC DIGITAL RAYA,1.0,0.0,0.0,0.16,0.17,1
PT ANABATIC TECHNOLOGIES TBK,4.0,37.0,383890.23,0.18,0.67,2
PT ANAGA ABYUDAYA ANANTA,2.0,0.0,20362.34,0.18,0.16,1
PT ANAGA SHIPPING INDONESIA,1.0,0.0,0.0,0.16,0.16,1
PT ANAK MUDA GRUP,2.0,0.0,0.0,0.16,0.16,1
PT ANAK SRIBU PULAU,1.0,0.0,0.0,0.15,0.15,1
PT ANANTARA BENGAWAN HARJA,1.0,0.0,0.0,0.14,0.15,1
PT ANCORA INDONESIA MINING,1.0,0.0,0.0,0.17,0.16,1
PT ANCORA SHIPPING,1.0,0.0,0.0,0.17,0.16,1
PT AND INDONESIA KAPITAL,0.0,1.0,0.0,0.16,0.15,1
PT ANDAHANESA ABADI,1.0,0.0,0.0,0.17,0.17,1
PT ANDAKARA NIAGA BUMI,1.0,0.0,0.0,0.19,0.15,1
PT ANDALAN ANUGERAH SEKARBUMI,1.0,0.0,0.0,0.16,0.16,1
PT ANDALAN GROUP POWER,1.0,0.0,0.0,0.18,0.19,1
PT ANDALAN LEPAS PANTAI,0.0,1.0,0.0,0.15,0.15,1
PT ANDALAN MAS SEJAHTERA,1.0,0.0,0.0,0.18,0.15,1
PT ANDALAN MULTI KENCANA,1.0,0.0,0.0,0.19,0.16,1
PT ANDALAN NUSA PRATAMA,1.0,0.0,0.0,0.18,0.16,1
PT ANDALAN PERKASA ABADI TBK,2.0,8.0,88974.0,0.21,0.28,1
PT ANDALAN POWER TEKNIKATAMA,1.0,0.0,0.0,0.18,0.19,1
PT ANDALAN SAKTI INTI,0.0,1.0,0.0,0.53,0.15,0
PT ANDALAN SAKTI NUSA,1.0,0.0,0.0,0.53,0.18,0
PT ANDALAN SAKTI PRIMAINDO TBK,1.0,7.0,28.0,1.0,0.28,0
PT ANDALAN SATRIA ABADI,1.0,0.0,0.0,0.18,0.15,1
PT ANDALAN SATRIA LESTARI,1.0,0.0,0.0,0.18,0.15,1
PT ANDALAN SELARAS ABADI,1.0,0.0,0.0,0.13,0.16,1
PT ANDALAN TEKNIK PERKASA,1.0,0.0,0.0,0.17,0.16,1
PT ANDALAN UTAMA BINTARA,0.0,1.0,0.0,0.53,0.15,0
PT ANDALAN WISATA BENUA,1.0,0.0,0.0,0.13,0.16,1
PT ANDALAS WINDUMURNI,1.0,0.0,0.0,0.14,0.18,1
PT ANDARA CANDRIA ENERGI,1.0,0.0,0.0,0.19,0.15,1
PT ANDARA INDONESIA,1.0,0.0,0.0,0.17,0.18,1
PT ANDERSON UNEDO,1.0,0.0,0.0,0.15,0.16,1
PT ANDES TEKNIK,1.0,0.0,0.0,0.16,0.16,1
PT ANDHESTI TUNGKAS PRATAMA,0.0,1.0,0.0,0.17,0.15,1
PT ANDHIKA GAC,1.0,0.0,0.0,0.15,0.18,1
PT ANDIARTA MUZIZAT,2.0,0.0,14697.46,0.17,0.17,1
PT ANDIFA PERKASA ENERGI,1.0,0.0,0.0,0.17,0.16,1
PT ANDIKA BANGUN NUSANTARA,1.0,0.0,0.0,0.18,0.16,1
PT ANDIKA TEGUHSETYA,1.0,0.0,0.0,0.17,0.17,1
PT ANDINI RUMBAI,1.0,0.0,0.0,0.17,0.15,1
PT ANDIRA AGRO TBK,3.0,1.0,13164.98,0.16,0.4,1
PT ANDRA PRIMA JAYA,1.0,0.0,0.0,0.17,0.16,1
PT ANDRASENTRA PROPERTI SERVICES,2.0,0.0,0.0,0.18,0.19,1
PT ANEKA AGRO FOOD,0.0,1.0,0.0,0.15,0.15,1
PT ANEKA AGROPRASIDHA,0.0,1.0,0.0,0.12,0.15,1
PT ANEKA BANGUN USAHA,1.0,0.0,0.0,0.18,0.16,1
PT ANEKA BINA LARAS,1.0,0.0,0.0,0.13,0.18,1
PT ANEKA BUMI CIPTA,1.0,0.0,0.0,0.18,0.16,1
PT ANEKA BUMI KENCANA,1.0,0.0,0.0,0.12,0.18,1
PT ANEKA BUMI PRASIDHA,0.0,1.0,0.0,0.12,0.15,1
PT ANEKA BUMI PRATAMA,1.0,0.0,0.0,0.52,0.21,0
PT ANEKA CAHAYA SURYA,1.0,0.0,0.0,0.18,0.15,1
PT ANEKA CIPTA,1.0,0.0,0.0,0.14,0.19,1
PT ANEKA COFFEE INDUSTRY,2.0,0.0,0.0,0.12,0.22,1
PT ANEKA DIAN PERKASA,1.0,0.0,0.0,0.11,0.21,1
PT ANEKA JAYA USAHA MAJU TERUS,1.0,0.0,0.0,0.14,0.15,1
PT ANEKA KABEL CIPTAGUNA,1.0,0.0,0.0,0.17,0.25,1
PT ANEKA KIMIA INTI,2.0,0.0,9890.0,0.18,0.29,1
PT ANEKA NITRATE INDUSTRI,1.0,0.0,0.0,0.17,0.16,1
PT ANEKA PUTRA SANTOSA,1.0,0.0,0.0,0.19,0.15,1
PT ANEKA RAYA KONSTRUKSI MESINDO,2.0,0.0,10658.49,0.19,0.17,1
PT ANEKA SAMUDERA LINTAS,1.0,0.0,0.0,0.15,0.16,1
PT ANEKA SATWITRA SARI FOOD,3.0,0.0,0.0,0.17,0.31,1
PT ANEKA TEKNOLOGI UTAMA,1.0,0.0,0.0,0.17,0.19,1
PT ANEKASPRING TELEKOMINDO,0.0,1.0,0.0,0.13,0.15,1
PT ANGGARAKSA LOKESWARA,1.0,0.0,0.0,0.14,0.15,1
PT ANGKA PETROLEUM RAYA,1.0,0.0,0.0,0.17,0.19,1
PT ANGKASA CIPTA CEMERLANG,1.0,0.0,0.0,0.53,0.18,0
PT ANGKASA INTERLAND,1.0,0.0,0.0,0.53,0.2,0
PT ANGKASA KOMUNIKASI GLOBAL UTAMA,1.0,0.0,0.0,0.18,0.15,1
PT ANGKASA NUSAGRAHA,1.0,0.0,0.0,0.14,0.16,1
PT ANGKASA PURA,1.0,0.0,0.0,0.18,0.16,1
PT ANGKASA PURA I,1.0,0.0,0.0,0.18,0.16,1
PT ANGKASA PURA I (PERSERO),3.0,0.0,19967.56,0.21,0.17,1
PT ANGKASA PURA II,4.0,0.0,18746.31,0.21,0.18,1
PT ANGKASA PURA SOLUSI,1.0,0.0,0.0,0.18,0.16,1
PT ANGKASA WINATA ASIA,1.0,0.0,0.0,0.15,0.17,1
PT ANGSANA JAYA ENERGI,3.0,0.0,13690.26,0.18,0.24,1
PT ANHE HYDRO ENGINEERING,1.0,0.0,0.0,0.16,0.16,1
PT ANHE KONSTRUKSI INDONESIA,1.0,0.0,0.0,0.16,0.16,1
PT ANIMALE KULINER INDONESIA,1.0,0.0,0.0,0.15,0.17,1
PT ANINDITA RAHADIAN PERKASA,0.0,1.0,0.0,0.18,0.15,1
PT ANJ AGRI PAPUA,1.0,0.0,0.0,0.12,0.17,1
PT ANJASMORO MARITIME,1.0,0.0,0.0,0.14,0.17,1
PT ANOA SULAWESI REGAS,1.0,0.0,0.0,0.16,0.17,1
PT ANSAF INTI RESOURCES,2.0,0.0,118392.0,0.17,0.26,1
PT ANSAFINTI RESOURCES,2.0,0.0,118392.0,0.17,0.26,1
PT ANTAM RESOURCINDO,2.0,0.0,0.0,0.19,0.17,1
PT ANTANG GUNUNG MERATUS,1.0,0.0,0.0,0.14,0.27,1
PT ANTAR MAKANAN ANAK BANGSA,1.0,0.0,0.0,0.16,0.19,1
PT ANTARA TETAP JAYA,1.0,0.0,0.0,0.15,0.16,1
PT ANTAREJA MAHADA MAKMUR,0.0,1.0,0.0,0.17,0.15,1
PT ANTARMITRA SEMBADA,3.0,0.0,61067.63,0.19,0.18,1
PT ANTILOPE MADJU,1.0,0.0,0.0,0.11,0.19,1
PT ANUGERAH ALAM PERSADA,2.0,0.0,102544.11,0.18,0.19,1
PT ANUGERAH ANDITA SURYADI,0.0,1.0,0.0,0.18,0.15,1
PT ANUGERAH ANEKA INDUSTRI,1.0,0.0,0.0,0.39,0.16,0
PT ANUGERAH ASET DIGITAL,2.0,0.0,0.0,0.18,0.19,1
PT ANUGERAH BERSAMA LESTARI,1.0,0.0,0.0,0.13,0.16,1
PT ANUGERAH BISNIS CAKRABUANA,1.0,0.0,0.0,0.16,0.15,1
PT ANUGERAH BUMI MAHAKAM,1.0,0.0,0.0,0.17,0.19,1
PT ANUGERAH BUMIPUTRA,1.0,0.0,0.0,0.15,0.17,1
PT ANUGERAH CAKRAWALA FARMAKA,1.0,0.0,0.0,0.17,0.16,1
PT ANUGERAH COMMUNICATION,1.0,0.0,0.0,0.13,0.16,1
PT ANUGERAH COVINDO INDONESIA,1.0,0.0,0.0,0.15,0.16,1
PT ANUGERAH DOLOMIT LESTARI,1.0,0.0,0.0,0.15,0.16,1
PT ANUGERAH ENERGI KALIMANTAN,1.0,0.0,0.0,0.16,0.16,1
PT ANUGERAH ENERGITAMA,1.0,0.0,0.0,0.14,0.17,1
PT ANUGERAH GRIYA PERSADA,0.0,1.0,0.0,0.14,0.15,1
PT ANUGERAH INDOFOOD BAROKAH MAKMUR,2.0,0.0,1729.7,0.19,0.17,1
PT ANUGERAH KAGUM KARYA UTAMA TBK,4.0,3.0,21.0,1.0,0.66,0
PT ANUGERAH KEBUN KALTIM,1.0,0.0,0.0,0.14,0.17,1
PT ANUGERAH KEBUN MANDIRI,1.0,0.0,0.0,0.14,0.17,1
PT ANUGERAH KIMIA INDONESIA,1.0,0.0,0.0,0.14,0.15,1
