Nama,Jabatan,Afiliasi,KodeEmiten,NamaEmiten
DJAP TET FA,PRESIDENT DIRECTOR,False,AALI,ASTRA AGRO LESTARI TBK
EKO PRASETYO,DIRECTOR,False,AALI,ASTRA AGRO LESTARI TBK
WIDAYANTO,DIRECTOR,False,AALI,ASTRA AGRO LESTARI TBK
TINGNING SUKOWIGNJO,DIRECTOR,False,AALI,ASTRA AGRO LESTARI TBK
ARIEF CATUR IRAWAN,DIRECTOR,False,AALI,ASTRA AGRO LESTARI TBK
BANDUNG SAHARI,DIRECTOR,False,AALI,ASTRA AGRO LESTARI TBK
VERONICA LUSI HERDIYANTI,DIRECTOR,False,AALI,ASTRA AGRO LESTARI TBK
RONNY WILIMAS SUGIADHA,PRESIDENT DIRECTOR,False,ABBA,MAHAKA MEDIA TBK
MUHAMMAD FADRI ATTAMIMI,DIRECTOR,False,ABBA,MAHAKA MEDIA TBK
JULIEN PIERRE COMBARET,DIRECTOR,False,ABDA,ASURANSI BINA DANA ARTA TBK
LIANI CHANDRA,DIRECTOR,False,ABDA,ASURANSI BINA DANA ARTA TBK
FENNI SUTANTO,DIRECTOR,False,ABDA,ASURANSI BINA DANA ARTA TBK
VINCENT CITIZEN SOEGIANTO,PRESIDENT DIRECTOR,False,ABDA,ASURANSI BINA DANA ARTA TBK
ACHMAD ANANDA DJAJANEGARA,PRESIDENT DIRECTOR,False,ABMM,ABM INVESTAMA TBK
HARIS MUSTARTO,DIRECTOR,False,ABMM,ABM INVESTAMA TBK
FERIWAN SINATRA,DIRECTOR,False,ABMM,ABM INVESTAMA TBK
HANS CHRISTIAN MANOE,DIRECTOR,False,ABMM,ABM INVESTAMA TBK
PRABOWO WIDYA KRISNADI,PRESIDENT DIRECTOR,False,ACES,PT ASPIRASI HIDUP INDONESIA TBK
SUHARNO,DIRECTOR,False,ACES,PT ASPIRASI HIDUP INDONESIA TBK
GREGORY SUGYONO WIDJAJA,DIRECTOR,False,ACES,PT ASPIRASI HIDUP INDONESIA TBK
TERESA LUCIA WIBOWO,DIRECTOR,False,ACES,PT ASPIRASI HIDUP INDONESIA TBK
IDOT SUPRIADI,PRESIDENT DIRECTOR,False,ACST,PT ACSET INDONUSA TBK
DAVID WIDJAJA,DIRECTOR,False,ACST,PT ACSET INDONUSA TBK
SOEHARSONO TJATUR NUGROHO,DIRECTOR,False,ACST,PT ACSET INDONUSA TBK
TJATUR HARIPRIAMBODO,DIRECTOR,False,ACST,PT ACSET INDONUSA TBK
HASNANTO WAHYUDI,DIRECTOR,False,ACST,PT ACSET INDONUSA TBK
ACHMAD WACHID ABDULLAH,PRESIDENT DIRECTOR,False,ADCP,PT ADHI COMMUTER PROPERTI TBK
FARID BUDIYANTO,DIRECTOR,False,ADCP,PT ADHI COMMUTER PROPERTI TBK
WIHARDJO HADISEPUTRO,PRESIDENT DIRECTOR,False,ADES,AKASHA WIRA INTERNATIONAL TBK
FANY SOEGIARTO,DIRECTOR,False,ADES,AKASHA WIRA INTERNATIONAL TBK
ENTUS ASNAWI MUKHSON,PRESIDENT DIRECTOR,False,ADHI,PT ADHI KARYA (PERSERO) TBK
KI SYAHGOLANG PERMATA,DIRECTOR,False,ADHI,PT ADHI KARYA (PERSERO) TBK
BANI IQBAL,DIRECTOR,False,ADHI,PT ADHI KARYA (PERSERO) TBK
A SUKO WIDIGDO,DIRECTOR,False,ADHI,PT ADHI KARYA (PERSERO) TBK
HARIMAWAN,DIRECTOR,False,ADHI,PT ADHI KARYA (PERSERO) TBK
VERA KIRANA,DIRECTOR,False,ADHI,PT ADHI KARYA (PERSERO) TBK
YAN ARIANTO,DIRECTOR,False,ADHI,PT ADHI KARYA (PERSERO) TBK
I DEWA MADE SUSILA,PRESIDENT DIRECTOR,False,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
SWANDAJANI GUNADI,DIRECTOR,False,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
NIKO KURNIAWAN BONGGOWARSITO,DIRECTOR,False,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
HARRY LATIF,DIRECTOR,False,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
DENNY RIZA FARIB,DIRECTOR,False,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
SIGIT HENDRA GUNAWAN,DIRECTOR,False,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
SYLVANUS GANI K MENDROFA,DIRECTOR,False,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
TAKANORI MIZUNO,DIRECTOR,False,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
RICKY GUNAWAN,DIRECTOR,False,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK
GAUTAMA HARTARTO,PRESIDENT DIRECTOR,False,ADMG,POLYCHEM INDONESIA TBK
DJALI HALIM,VICE PRESIDEN DIRECTOR,False,ADMG,POLYCHEM INDONESIA TBK
GUNAWAN HALIM,DIRECTOR,False,ADMG,POLYCHEM INDONESIA TBK
DJUNALI DJUWATI,DIRECTOR,False,ADMG,POLYCHEM INDONESIA TBK
WIJI SANTOSO,DIRECTOR,False,ADMG,POLYCHEM INDONESIA TBK
IWAN DEWONO BUDIYUWONO,PRESIDENT DIRECTOR,False,ADMR,PT ALAMTRI MINERALS INDONESIA TBK
TOTOK AZHARIYANTO,DIRECTOR,False,ADMR,PT ALAMTRI MINERALS INDONESIA TBK
HENDRI TAMRIN,DIRECTOR,False,ADMR,PT ALAMTRI MINERALS INDONESIA TBK
HERI GUNAWAN,DIRECTOR,False,ADMR,PT ALAMTRI MINERALS INDONESIA TBK
WITO KRISNAHADI,DIRECTOR,False,ADMR,PT ALAMTRI MINERALS INDONESIA TBK
MOHAMMAD SYAH INDRA AMAN,DIRECTOR,False,ADRO,ALAMTRI RESOURCES INDONESIA TBK
IWAN DEWONO BUDIYUWONO,PRESIDENT DIRECTOR,False,ADRO,ALAMTRI RESOURCES INDONESIA TBK
LANY DJUWITA WONG,DIRECTOR,False,ADRO,ALAMTRI RESOURCES INDONESIA TBK
AGNES KRISTINA,DIRECTOR,False,AGAR,PT ASIA SEJAHTERA MINA TBK
INDRA WIDYADHARMA,PRESIDENT DIRECTOR,False,AGAR,PT ASIA SEJAHTERA MINA TBK
IDA BAGUS KETUT SUBAGIA,PRESIDENT DIRECTOR,False,AGRO,PT BANK RAYA INDONESIA TBK
RUSTARTI SURI PERTIWI,DIRECTOR,False,AGRO,PT BANK RAYA INDONESIA TBK
DANAR WIDYANTORO,DIRECTOR,False,AGRO,PT BANK RAYA INDONESIA TBK
LUKMAN HAKIM,DIRECTOR,False,AGRO,PT BANK RAYA INDONESIA TBK
KICKY ANDRIE DAVETRA,DIRECTOR,False,AGRO,PT BANK RAYA INDONESIA TBK
ALEXANDER FRANS RORI,DIRECTOR,False,AGRS,PT BANK IBK INDONESIA TBK
EDWIN RUDIANTO,DIRECTOR,False,AGRS,PT BANK IBK INDONESIA TBK
OH IN TAEK,PRESIDENT DIRECTOR,False,AGRS,PT BANK IBK INDONESIA TBK
PARK JIN JE,DIRECTOR,False,AGRS,PT BANK IBK INDONESIA TBK
ANDREAS MIKHAEL SUMUAL,DIRECTOR,False,AGRS,PT BANK IBK INDONESIA TBK
YULIANTO PIETTOJO,PRESIDENT DIRECTOR,False,AHAP,ASURANSI HARTA AMAN PRATAMA TBK
JOSEF GUNAWAN SETYO,DIRECTOR,False,AHAP,ASURANSI HARTA AMAN PRATAMA TBK
INDRADI PRASODJO,DIRECTOR,False,AHAP,ASURANSI HARTA AMAN PRATAMA TBK
TREESJE HALIM,DIRECTOR,False,AHAP,ASURANSI HARTA AMAN PRATAMA TBK
SUTJIANTA,DIRECTOR,False,AHAP,ASURANSI HARTA AMAN PRATAMA TBK
CALVIN LUTVI,PRESIDENT DIRECTOR,False,AIMS,PT ARTHA MAHIYA INVESTAMA TBK
PANDU ANDAKARA,DIRECTOR,False,AIMS,PT ARTHA MAHIYA INVESTAMA TBK
M ADIL TRIANSYAH,DIRECTOR,False,AIMS,PT ARTHA MAHIYA INVESTAMA TBK
GERRY MUSTIKA,PRESIDENT DIRECTOR,False,AISA,PT FKS FOOD SEJAHTERA TBK
SUKAWATI WIJAYA,DIRECTOR,False,AISA,PT FKS FOOD SEJAHTERA TBK
FARRY ONGKO WIDJAJA,DIRECTOR,False,AISA,PT FKS FOOD SEJAHTERA TBK
I GEDE ARIESUNDA,PRESIDENT DIRECTOR,False,AKKU,PT ANUGERAH KAGUM KARYA UTAMA TBK
IRWAN SURYADI,DIRECTOR,False,AKKU,PT ANUGERAH KAGUM KARYA UTAMA TBK
WILSON PRIBADI,PRESIDENT DIRECTOR,False,AKPI,ARGHA KARYA PRIMA IND. TBK
JEYSON PRIBADI,DIRECTOR,False,AKPI,ARGHA KARYA PRIMA IND. TBK
JIMMY TJAHJANTO,DIRECTOR,False,AKPI,ARGHA KARYA PRIMA IND. TBK
ELIUS PRIBADI,DIRECTOR,False,AKPI,ARGHA KARYA PRIMA IND. TBK
DENDI WIRATAMA,DIRECTOR,False,AKPI,ARGHA KARYA PRIMA IND. TBK
HARYANTO ADIKOESOEMO,PRESIDENT DIRECTOR,False,AKRA,PT AKR CORPORINDO TBK
JIMMY TANDYO,DIRECTOR,False,AKRA,PT AKR CORPORINDO TBK
BAMBANG SOETIONO SOEDIJANTO,DIRECTOR,False,AKRA,PT AKR CORPORINDO TBK
MERY SOFI,DIRECTOR,False,AKRA,PT AKR CORPORINDO TBK
SURESH VEMBU,DIRECTOR,False,AKRA,PT AKR CORPORINDO TBK
NERY POLIM,DIRECTOR,False,AKRA,PT AKR CORPORINDO TBK
TERMURTI TIBAN,DIRECTOR,False,AKRA,PT AKR CORPORINDO TBK
DODDY HERMAWAN,PRESIDENT DIRECTOR,False,AKSI,PT MINERAL SUMBERDAYA MANDIRI TBK
RONI TAN,DIRECTOR,False,AKSI,PT MINERAL SUMBERDAYA MANDIRI TBK
HERWANTO SUTANTO,PRESIDENT DIRECTOR,False,ALDO,ALKINDO NARATAMA TBK
WILLY SOESANTO,DIRECTOR,False,ALDO,ALKINDO NARATAMA TBK
KUSWARA,DIRECTOR,False,ALDO,ALKINDO NARATAMA TBK
SUCIPTO TANRO,PRESIDENT DIRECTOR,False,ALKA,ALAKASA INDUSTRINDO TBK
FENDRA HARTANTO,VICE PRESIDEN DIRECTOR,False,ALKA,ALAKASA INDUSTRINDO TBK
MARADONA PARHORASAN MANURUNG,DIRECTOR,False,ALKA,ALAKASA INDUSTRINDO TBK
ALIM MARKUS,PRESIDENT DIRECTOR,False,ALMI,ALUMINDO LIGHT METAL INDUSTRY TBK
ALIM MULIA SASTRA,DIRECTOR,False,ALMI,ALUMINDO LIGHT METAL INDUSTRY TBK
ALIM PRAKASA,DIRECTOR,False,ALMI,ALUMINDO LIGHT METAL INDUSTRY TBK
WIBOWO SURYADINATA,DIRECTOR,False,ALMI,ALUMINDO LIGHT METAL INDUSTRY TBK
PANKAJ OBEROI,PRESIDENT DIRECTOR,False,AMAG,ASURANSI MULTI ARTHA GUNA TBK
ARUN ARJANDAS NANWANI,VICE PRESIDEN DIRECTOR,False,AMAG,ASURANSI MULTI ARTHA GUNA TBK
KAREL FITRIJANTO,VICE PRESIDEN DIRECTOR,False,AMAG,ASURANSI MULTI ARTHA GUNA TBK
THOMAS PAITIMUSA,VICE PRESIDEN DIRECTOR,False,AMAG,ASURANSI MULTI ARTHA GUNA TBK
DINESH RAMU,DIRECTOR,False,AMAG,ASURANSI MULTI ARTHA GUNA TBK
PEGGY WYSTAN,DIRECTOR,False,AMAG,ASURANSI MULTI ARTHA GUNA TBK
ADI SAPUTRA TEDJA SURYA,PRESIDENT DIRECTOR,False,AMAN,PT MAKMUR BERKAH AMANDA TBK
RICHARD B T MALESSY,DIRECTOR,False,AMAN,PT MAKMUR BERKAH AMANDA TBK
VISHAL TULSIAN,PRESIDENT DIRECTOR,False,AMAR,PT BANK AMAR INDONESIA TBK
B BUDIJANTO JAHJA,DIRECTOR,False,AMAR,PT BANK AMAR INDONESIA TBK
R EKA BANYUAJI,DIRECTOR,False,AMAR,PT BANK AMAR INDONESIA TBK
MAMPEI CHIYODA,PRESIDENT DIRECTOR,False,AMFG,ASAHIMAS FLAT GLASS TBK
MOHAMAD AMIEN,VICE PRESIDEN DIRECTOR,False,AMFG,ASAHIMAS FLAT GLASS TBK
TORU ITAI,DIRECTOR,False,AMFG,ASAHIMAS FLAT GLASS TBK
TAKASHI NEKODA,DIRECTOR,False,AMFG,ASAHIMAS FLAT GLASS TBK
SAMUEL NUGROHO SETYONO,DIRECTOR,False,AMFG,ASAHIMAS FLAT GLASS TBK
KIICHIRO YOSHIZAWA,DIRECTOR,False,AMFG,ASAHIMAS FLAT GLASS TBK
TEGUH ARI WIDODO,DIRECTOR,False,AMFG,ASAHIMAS FLAT GLASS TBK
KAZUHIRO ONOGAWA,DIRECTOR,False,AMFG,ASAHIMAS FLAT GLASS TBK
CHRISTOFORUS,DIRECTOR,False,AMFG,ASAHIMAS FLAT GLASS TBK
BAMBANG WIDYAWARDHANA MAULANA,DIRECTOR,False,AMFG,ASAHIMAS FLAT GLASS TBK
TAKU OHASHI,DIRECTOR,False,AMFG,ASAHIMAS FLAT GLASS TBK
RUDY SUSANTO,PRESIDENT DIRECTOR,False,AMIN,PT ATELIERS MECANIQUES D INDONESIE TBK
LAI KIEN HSIN,DIRECTOR,False,AMIN,PT ATELIERS MECANIQUES D INDONESIE TBK
LINDA TATY,DIRECTOR,False,AMIN,PT ATELIERS MECANIQUES D INDONESIE TBK
CHONG KIM KONG,DIRECTOR,False,AMIN,PT ATELIERS MECANIQUES D INDONESIE TBK
LAI MAY LING,DIRECTOR,False,AMIN,PT ATELIERS MECANIQUES D INDONESIE TBK
ANGGARA HANS PRAWIRA,PRESIDENT DIRECTOR,False,AMRT,PT SUMBER ALFARIA TRIJAYA TBK
BAMBANG SETYAWAN DJOJO,DIRECTOR,False,AMRT,PT SUMBER ALFARIA TRIJAYA TBK
TOMIN WIDIAN,DIRECTOR,False,AMRT,PT SUMBER ALFARIA TRIJAYA TBK
HARRYANTO SUSANTO,DIRECTOR,False,AMRT,PT SUMBER ALFARIA TRIJAYA TBK
SOLIHIN,DIRECTOR,False,AMRT,PT SUMBER ALFARIA TRIJAYA TBK
SOENG PETER SURYADI,DIRECTOR,False,AMRT,PT SUMBER ALFARIA TRIJAYA TBK
FRANCIS INDARTO,PRESIDENT DIRECTOR,False,ANDI,PT ANDIRA AGRO TBK
KAHAR ANWAR,DIRECTOR,False,ANDI,PT ANDIRA AGRO TBK
SUHENDRO,PRESIDENT DIRECTOR,False,ANJT,PT AUSTINDO NUSANTARA JAYA TBK
ISEN HENRY TJONG,DIRECTOR,False,ANJT,PT AUSTINDO NUSANTARA JAYA TBK
HILMAN LUKITO,DIRECTOR,False,ANJT,PT AUSTINDO NUSANTARA JAYA TBK
ACHMAD ARDIANTO,PRESIDENT DIRECTOR,False,ANTM,ANEKA TAMBANG TBK
HARTONO,DIRECTOR,False,ANTM,ANEKA TAMBANG TBK
I DEWA WIRANTAYA,DIRECTOR,False,ANTM,ANEKA TAMBANG TBK
ARIANTO SABTONUGROHO RUDJITO,DIRECTOR,False,ANTM,ANEKA TAMBANG TBK
HANDI SUTANTO,DIRECTOR,False,ANTM,ANEKA TAMBANG TBK
RATIH AMRI,DIRECTOR,False,ANTM,ANEKA TAMBANG TBK
ZAINAL ABIDINSYAH SIREGAR,DIREKTUR UTAMA,False,APEX,APEXINDO PRATAMA DUTA TBK
ERWIN SUTANTO,WAKIL DIREKTUR UTAMA,False,APEX,APEXINDO PRATAMA DUTA TBK
DONALD KENT WOOD,DIREKTUR,False,APEX,APEXINDO PRATAMA DUTA TBK
MAHAR ATANTA SEMBIRING,DIREKTUR,False,APEX,APEXINDO PRATAMA DUTA TBK
HARIANTO,DIRECTOR,False,APII,PT ARITA PRIMA INDONESIA TBK
LOW YEW LEAN,PRESIDENT DIRECTOR,False,APII,PT ARITA PRIMA INDONESIA TBK
CHAN CHEIN LIANG,DIRECTOR,False,APII,PT ARITA PRIMA INDONESIA TBK
LOW ZE WEN,DIRECTOR,False,APII,PT ARITA PRIMA INDONESIA TBK
WILSON AGUNG PRANOTO,PRESIDENT DIRECTOR,False,APLI,ASIAPLAST INDUSTRIES TBK
ALBERT SUGIANTO,DIRECTOR,False,APLI,ASIAPLAST INDUSTRIES TBK
ALI PRANATA,DIRECTOR,False,APLI,ASIAPLAST INDUSTRIES TBK
GIMAN,DIRECTOR,False,APLI,ASIAPLAST INDUSTRIES TBK
BACELIUS RURU,PRESIDENT DIRECTOR,False,APLN,PT AGUNG PODOMORO LAND TBK
NOER INDRADJAJA,VICE PRESIDENT,False,APLN,PT AGUNG PODOMORO LAND TBK
CESAR MANIKAN DELA CRUZ,DIRECTOR,False,APLN,PT AGUNG PODOMORO LAND TBK
MIARNI ANG,DIRECTOR,False,APLN,PT AGUNG PODOMORO LAND TBK
PAUL CHRISTIAN ARIYANTO,DIRECTOR,False,APLN,PT AGUNG PODOMORO LAND TBK
RUDY SUHENDRA,PRESIDENT DIRECTOR,False,ARCI,PT ARCHI INDONESIA TBK
CHRISTIAN EMANUEL DAVID SOMPIE,DIRECTOR,False,ARCI,PT ARCHI INDONESIA TBK
HIDAYAT DWIPUTRO SULAKSONO,DIRECTOR,False,ARCI,PT ARCHI INDONESIA TBK
THOMAS WAHYU KALAIJ,PRESIDENT DIRECTOR,False,ARGO,ARGO PANTES TBK
WIDARSONO,DIRECTOR,False,ARGO,ARGO PANTES TBK
DJOENAEDY WIDJAJA,DIRECTOR,False,ARGO,ARGO PANTES TBK
HUMPREY,DIRECTOR,False,ARGO,ARGO PANTES TBK
ABDI ANDRE,PRESIDEN DIREKTUR,True,ARII,ATLAS RESOURCES TBK
HANS JURGEN KASCHULL,WAKIL PRESIDEN DIREKTUR,True,ARII,ATLAS RESOURCES TBK
IKA RIAWAN,DIREKTUR,True,ARII,ATLAS RESOURCES TBK
JOKO KUS SULISTYOKO,DIREKTUR,True,ARII,ATLAS RESOURCES TBK
LIDWINA S NUGRAHA,DIREKTUR,False,ARII,ATLAS RESOURCES TBK
DWI HARTANTO,PRESIDENT DIRECTOR,False,ARKA,PT ARKHA JAYANTI PERSADA TBK
BAHARAJA SIANIPAR,DIRECTOR,False,ARKA,PT ARKHA JAYANTI PERSADA TBK
ALDO HENRY ARTOKO,PRESIDENT DIRECTOR,False,ARKO,PT ARKORA HYDRO TBK
RICKY HARTONO,DIRECTOR,False,ARKO,PT ARKORA HYDRO TBK
ISMU NUGROHO,DIRECTOR,False,ARKO,PT ARKORA HYDRO TBK
BOY GEMINO KALAUSERANG,DIRECTOR,False,ARKO,PT ARKORA HYDRO TBK
TANDEAN RUSTANDY,PRESIDENT DIRECTOR,False,ARNA,ARWANA CITRAMULIA TBK
EDY SUYANTO,DIRECTOR,False,ARNA,ARWANA CITRAMULIA TBK
GEORGE ELNADUS SUPIT SSOS,DIRECTOR,False,ARNA,ARWANA CITRAMULIA TBK
CHAN SHIH MEI,DIRECTOR,False,ARTA,ARTHAVEST TBK
TSUN TIEN WEN LIE,DIRECTOR,False,ARTA,ARTHAVEST TBK
YEREMY VINCENTIUS,PRESIDENT DIRECTOR,False,ARTA,ARTHAVEST TBK
HASTANTO SRI MARGI WIDODO,PRESIDENT DIRECTOR,False,ASBI,ASURANSI BINTANG TBK
RENIWATI DARMAKUSUMAH,DIRECTOR,False,ASBI,ASURANSI BINTANG TBK
JENRY CARDO MANURUNG,DIRECTOR,False,ASBI,ASURANSI BINTANG TBK
ZAFAR DINESH IDHAM,DIRECTOR,False,ASBI,ASURANSI BINTANG TBK
DEWI MANDRAWAN,PRESIDENT DIRECTOR,False,ASDM,ASURANSI DAYIN MITRA TBK
PURNAMA HADIWIDJAJA,DIRECTOR,False,ASDM,ASURANSI DAYIN MITRA TBK
VICTOR MARIA S SANDJAJA,DIRECTOR,False,ASDM,ASURANSI DAYIN MITRA TBK
ROSA DJUNAIDI,DIRECTOR,False,ASDM,ASURANSI DAYIN MITRA TBK
HENDRIX PRAMANA,PRESIDENT DIRECTOR,False,ASGR,ASTRA GRAPHIA TBK
KING IRIAWAN SUTANTO,DIRECTOR,False,ASGR,ASTRA GRAPHIA TBK
WIDI TRIWIBOWO,DIRECTOR,False,ASGR,ASTRA GRAPHIA TBK
TRIVENA NALSALITA,DIRECTOR,False,ASGR,ASTRA GRAPHIA TBK
DJONY BUNARTO TJONDRO,PRESIDENT DIRECTOR,False,ASII,ASTRA INTERNATIONAL TBK
CHIEW SIN CHEOK,DIRECTOR,False,ASII,ASTRA INTERNATIONAL TBK
GIDION HASAN,DIRECTOR,False,ASII,ASTRA INTERNATIONAL TBK
HENRY TANOTO,DIRECTOR,False,ASII,ASTRA INTERNATIONAL TBK
SANTOSA,DIRECTOR,False,ASII,ASTRA INTERNATIONAL TBK
GITA TIFFANI BOER,DIRECTOR,False,ASII,ASTRA INTERNATIONAL TBK
FXL KESUMA,DIRECTOR,False,ASII,ASTRA INTERNATIONAL TBK
HAMDANI DZULKARNAEN SALIM,DIRECTOR,False,ASII,ASTRA INTERNATIONAL TBK
RUDY,VICE PRESIDEN DIRECTOR,False,ASII,ASTRA INTERNATIONAL TBK
THOMAS JUNAIDI ALIM W,DIRECTOR,False,ASII,ASTRA INTERNATIONAL TBK
SUGENG SUDIBJO,PRESIDENT DIRECTOR,False,ASJT,ASURANSI JASA TANIA TBK
ARIFIA INDAH LIANY,DIRECTOR,False,ASJT,ASURANSI JASA TANIA TBK
HASBI ASHSIDDIQI,DIRECTOR,False,ASJT,ASURANSI JASA TANIA TBK
JEMMY ATMADJA,PRESIDENT DIRECTOR,False,ASMI,PT ASURANSI MAXIMUS GRAHA PERSADA TBK
NORVIN OSEL,DIRECTOR,False,ASMI,PT ASURANSI MAXIMUS GRAHA PERSADA TBK
LIANNY,DIRECTOR,False,ASMI,PT ASURANSI MAXIMUS GRAHA PERSADA TBK
SUWANDI NOTOPRADONO,PRESIDENT DIRECTOR,False,ASPI,PT ANDALAN SAKTI PRIMAINDO TBK
ARNOLDUS JANSEN KUSTIANTO,DIRECTOR,False,ASPI,PT ANDALAN SAKTI PRIMAINDO TBK
JOSEPH SANUSI TJONG,PRESIDENT DIRECTOR,False,ASRI,ALAM SUTERA REALTY TBK
LILIA SETIPRAWARTI SUKOTJO,DIRECTOR,False,ASRI,ALAM SUTERA REALTY TBK
SARI SETYANINGRUM,DIRECTOR,False,ASRI,ALAM SUTERA REALTY TBK
ANDREW CHARLES WALKER,DIRECTOR,False,ASRI,ALAM SUTERA REALTY TBK
TRI TAMTOMO HR DANOERI,DIRECTOR,False,ASRI,ALAM SUTERA REALTY TBK
EMIL SYARIEF HUSEN,DIRECTOR,False,ASRI,ALAM SUTERA REALTY TBK
SYAHRIL,PRESIDENT DIRECTOR,False,ASRM,ASURANSI RAMAYANA TBK
JIWA ANGGARA,VICE PRESIDENT,False,ASRM,ASURANSI RAMAYANA TBK
PRISTIWANTO BANI,DIRECTOR,False,ASRM,ASURANSI RAMAYANA TBK
Y PARLINDUNGAN MANURUNG,DIRECTOR,False,ASRM,ASURANSI RAMAYANA TBK
AM ANDI PRIMADI,DIRECTOR,False,ASRM,ASURANSI RAMAYANA TBK
PRODJO SUNARJANTO,PRESIDENT DIRECTOR,False,ASSA,ADI SARANA ARMADA TBK
JERRY FANDY TUNJUNGAN,DIRECTOR,False,ASSA,ADI SARANA ARMADA TBK
JANY CANDRA,DIRECTOR,False,ASSA,ADI SARANA ARMADA TBK
TJOENG SUYANTO,DIRECTOR,False,ASSA,ADI SARANA ARMADA TBK
INDRIATI,PRESIDENT DIRECTOR,False,ATAP,PT TRIMITRA PRAWARA GOLDLAND TBK
RACHMAT YAKTIHADI,DIRECTOR,False,ATAP,PT TRIMITRA PRAWARA GOLDLAND TBK
EDO NOVIARDI,DIRECTOR,False,ATAP,PT TRIMITRA PRAWARA GOLDLAND TBK
HIDEAKI OHASHI,DIRECTOR,False,ATIC,PT ANABATIC TECHNOLOGIES TBK
RIEKO KAWAGUCHI,DIRECTOR,False,ATIC,PT ANABATIC TECHNOLOGIES TBK
HARRY SURJANTO HAMBALI,PRESIDENT DIRECTOR,False,ATIC,PT ANABATIC TECHNOLOGIES TBK
LIE DAVID LIMINA,DIRECTOR,False,ATIC,PT ANABATIC TECHNOLOGIES TBK
ADRIANSYAH ADNAN,DIRECTOR,False,ATIC,PT ANABATIC TECHNOLOGIES TBK
HAMDANI DZULKARNAEN SALIM,PRESIDENT DIRECTOR,False,AUTO,ASTRA OTOPARTS TBK
TUJUH MARTOGI SIAHAAN,DIRECTOR,False,AUTO,ASTRA OTOPARTS TBK
RONNY KUSGIANTA,DIRECTOR,False,AUTO,ASTRA OTOPARTS TBK
SOPHIE HANDILI,DIRECTOR,False,AUTO,ASTRA OTOPARTS TBK
ABUN GUNAWAN,DIRECTOR,False,AUTO,ASTRA OTOPARTS TBK
PRIHATANTO AGUNG LESMONO,DIRECTOR,False,AUTO,ASTRA OTOPARTS TBK
YUSAK KRISTIAN SOLAEMAN,VICE PRESIDEN DIRECTOR,False,AUTO,ASTRA OTOPARTS TBK
ANDI GUNANTO,DIRECTOR,False,AUTO,ASTRA OTOPARTS TBK
WIJONO TANOKO,PRESIDENT DIRECTOR,False,AVIA,PT AVIA AVIAN TBK
RUSLAN TANOKO,VICE PRESIDENT,False,AVIA,PT AVIA AVIAN TBK
ROBERT CHRISTIAN TANOKO,DIRECTOR,False,AVIA,PT AVIA AVIAN TBK
KURNIA HADI SINANTO,DIRECTOR,False,AVIA,PT AVIA AVIAN TBK
ANGELICA TANISIA JOZAR,DIRECTOR,False,AVIA,PT AVIA AVIAN TBK
INDRA JAYA DAVID PARDOSI,PRESIDENT DIRECTOR,False,AYLS,PT AGRO YASA LESTARI TBK
RICKY SASTRA HIDAYAT,DIRECTOR,False,AYLS,PT AGRO YASA LESTARI TBK
RITA MONTAGNA SIAHAAN,PRESIDENT DIRECTOR,False,BABP,PT BANK MNC INTERNASIONAL TBK
HERMAWAN,DIRECTOR,False,BABP,PT BANK MNC INTERNASIONAL TBK
TIOLINA TUMANGGOR,DIRECTOR,False,BABP,PT BANK MNC INTERNASIONAL TBK
KURNIAWAN HALIM,PRESIDENT DIRECTOR,False,BACA,PT BANK CAPITAL INDONESIA TBK
YENNY HOO,DIRECTOR,False,BACA,PT BANK CAPITAL INDONESIA TBK
LIM MIGI TRISNADI ELIAS,DIRECTOR,False,BACA,PT BANK CAPITAL INDONESIA TBK
HARRI SETIA BUDHI,DIRECTOR,False,BACA,PT BANK CAPITAL INDONESIA TBK
FEBRIYANTI IKA SARI,DIRECTOR,False,BACA,PT BANK CAPITAL INDONESIA TBK
HANDAJA SUSANTO,PRESIDENT DIRECTOR,False,BAJA,SARANACENTRAL BAJATAMA TBK
PANDJI SURYA SOERJOPRAHONO,DIRECTOR,False,BAJA,SARANACENTRAL BAJATAMA TBK
ENTARIO WIDJAJA SUSANTO,DIRECTOR,False,BAJA,SARANACENTRAL BAJATAMA TBK
JONATAN SUWANDI JUSUF,DIRECTOR,False,BAJA,SARANACENTRAL BAJATAMA TBK
JAP OWEN RONADHI,PRESIDENT DIRECTOR,False,BALI,PT BALI TOWERINDO SENTRA TBK
LILY HIDAYAT,VICE PRESIDENT,False,BALI,PT BALI TOWERINDO SENTRA TBK
ROBBY HERMANTO,DIRECTOR,False,BALI,PT BALI TOWERINDO SENTRA TBK
KOKO TJATUR RACHMADI,PRESIDENT DIRECTOR,False,BANK,PT BANK ALADIN SYARIAH TBK
ARIEF SATRIO PUTRA,DIRECTOR,False,BANK,PT BANK ALADIN SYARIAH TBK
