Nama,Jabatan,Independen,KodeEmiten,NamaEmiten
BARLI HASAN,COMMISSIONER,False,SOCI,PT SOECHI LINES TBK
EDWIN SYAHRUZAD,COMMISSIONER,True,SOCI,PT SOECHI LINES TBK
HARDY SATYA,PRESIDENT COMMISIONER,False,SOFA,PT BOSTON FURNITURE INDUSTRIES TBK
ERIC EFFENDY,COMMISSIONER,True,SOFA,PT BOSTON FURNITURE INDUSTRIES TBK
ENG LIANG TAN,PRESIDENT COMMISIONER,False,SOHO,PT SOHO GLOBAL HEALTH TBK
HARRY SALAM,COMMISSIONER,True,SOHO,PT SOHO GLOBAL HEALTH TBK
ANDY NUGROHO PURWOHARDONO,COMMISSIONER,False,SOHO,PT SOHO GLOBAL HEALTH TBK
JONATHAN TAHIR,PRESIDENT COMMISIONER,True,SONA,SONA TOPAS TOURISM INDUSTRY TBK
JOHN L SIGALOS,VICE PRESIDENT COMMISIONER,True,SONA,SONA TOPAS TOURISM INDUSTRY TBK
KEVIN QUOC HONG,COMMISSIONER,True,SONA,SONA TOPAS TOURISM INDUSTRY TBK
RONALD KUMALAPUTRA,COMMISSIONER,True,SONA,SONA TOPAS TOURISM INDUSTRY TBK
GODMAN HIANGLIN GN,COMMISSIONER,True,SONA,SONA TOPAS TOURISM INDUSTRY TBK
DAI BACHTIAR,COMMISSIONER,True,SONA,SONA TOPAS TOURISM INDUSTRY TBK
MOTOHISA SUZUKI,PRESIDENT COMMISIONER,False,SOSS,PT SHIELD ON SERVICE TBK
MAYA OSAKI,COMMISSIONER,False,SOSS,PT SHIELD ON SERVICE TBK
HARRY RAMAPUTRA,COMMISSIONER,False,SOSS,PT SHIELD ON SERVICE TBK
AZUSA MIHARA,COMMISSIONER,True,SOSS,PT SHIELD ON SERVICE TBK
SUPRATMAN GUNAWAN,COMMISSIONER,True,SOSS,PT SHIELD ON SERVICE TBK
STEVANO RIZKI ADRANACUS,PRESIDENT COMMISIONER,False,SOTS,PT SATRIA MEGA KENCANA TBK
HUSNI HERON,COMMISSIONER,True,SOTS,PT SATRIA MEGA KENCANA TBK
WELLY,PRESIDENT COMMISIONER,False,SPMA,SUPARMA TBK
SUBIANTARA,COMMISSIONER,True,SPMA,SUPARMA TBK
TAN JUANTO,COMMISSIONER,True,SPMA,SUPARMA TBK
MARIA BERNADETTE LANNIWATI WIBISONO,COMMISSIONER,True,SPMA,SUPARMA TBK
TJAHJONO ALIM,PRESIDENT COMMISIONER,False,SPTO,PT SURYA PERTIWI TBK
USMAN ANDY,VICE PRESIDENT COMMISIONER,False,SPTO,PT SURYA PERTIWI TBK
GOH POH HENG,COMMISSIONER,True,SPTO,PT SURYA PERTIWI TBK
JONATHAN TAHIR,PRESIDENT COMMISIONER,False,SRAJ,SEJAHTERARAYA ANUGRAHJAYA TBK
GRACE DEWI RIADY,VICE PRESIDENT COMMISIONER,False,SRAJ,SEJAHTERARAYA ANUGRAHJAYA TBK
MELANIE HENDRIATY SADONO DJAMIL,COMMISSIONER,True,SRAJ,SEJAHTERARAYA ANUGRAHJAYA TBK
HADI TJAHJANTO,COMMISSIONER,True,SRAJ,SEJAHTERARAYA ANUGRAHJAYA TBK
HR AGUNG LAKSONO,COMMISSIONER,False,SRAJ,SEJAHTERARAYA ANUGRAHJAYA TBK
ANUPAM BEHURA,COMMISSIONER,False,SRAJ,SEJAHTERARAYA ANUGRAHJAYA TBK
BIANTORO SETIJO,PRESIDENT COMMISIONER,False,SRSN,INDO ACIDATAMA TBK
BUDHI SANTOSO,VICE PRESIDENT COMMISIONER,False,SRSN,INDO ACIDATAMA TBK
BUDHI HARTONO,COMMISSIONER,False,SRSN,INDO ACIDATAMA TBK
WYMBO WIDJAKSONO,COMMISSIONER,False,SRSN,INDO ACIDATAMA TBK
FS BAHARI NUSANTARA,COMMISSIONER,True,SRSN,INDO ACIDATAMA TBK
STEPHANUS JUNIANTO,COMMISSIONER,True,SRSN,INDO ACIDATAMA TBK
EDWIN SOERYADJAYA,PRESIDENT COMMISIONER,False,SRTG,PT SARATOGA INVESTAMA SEDAYA TBK
JOYCE SOERYADJAYA KERR,COMMISSIONER,False,SRTG,PT SARATOGA INVESTAMA SEDAYA TBK
INDRA CAHYA UNO,COMMISSIONER,False,SRTG,PT SARATOGA INVESTAMA SEDAYA TBK
ARIA KANAKA,COMMISSIONER,True,SRTG,PT SARATOGA INVESTAMA SEDAYA TBK
STEPHANUS HARJANTO T,COMMISSIONER,True,SRTG,PT SARATOGA INVESTAMA SEDAYA TBK
HAGIANTO KUMALA,PRESIDENT COMMISIONER,True,SSIA,PT SURYA SEMESTA INTERNUSA TBK
CRESCENTO HERMAWAN,VICE PRESIDENT COMMISIONER,False,SSIA,PT SURYA SEMESTA INTERNUSA TBK
STEEN DAHL POULSEN,COMMISSIONER,False,SSIA,PT SURYA SEMESTA INTERNUSA TBK
F BEDJO WIANTONO,COMMISSIONER,False,SSIA,PT SURYA SEMESTA INTERNUSA TBK
IRAWAN CHANDRA,COMMISSIONER,True,SSIA,PT SURYA SEMESTA INTERNUSA TBK
BUNGARAN SARAGIH,PRESIDENT COMMISIONER,False,SSMS,PT SAWIT SUMBERMAS SARANA TBK
RIMBUN SITUMORANG,COMMISSIONER,False,SSMS,PT SAWIT SUMBERMAS SARANA TBK
HOESEN,COMMISSIONER,True,SSMS,PT SAWIT SUMBERMAS SARANA TBK
SUNDJONO SURIADI,PRESIDENT COMMISIONER,False,SSTM,SUNSON TEXTILE MANUFACTURER TBK
MARIAH SURIADI,COMMISSIONER,False,SSTM,SUNSON TEXTILE MANUFACTURER TBK
ALI SENITRO,COMMISSIONER,True,SSTM,SUNSON TEXTILE MANUFACTURER TBK
SUTOMO,COMMISSIONER,True,SSTM,SUNSON TEXTILE MANUFACTURER TBK
SUWANDI WIDJAJA,PRESIDENT COMMISIONER,False,STAA,PT SUMBER TANI AGUNG RESOURCES TBK
RISWAN WIJAYA,VICE PRESIDENT COMMISIONER,False,STAA,PT SUMBER TANI AGUNG RESOURCES TBK
TAN KENG TONG,COMMISSIONER,False,STAA,PT SUMBER TANI AGUNG RESOURCES TBK
LELE TANJUNG,COMMISSIONER,False,STAA,PT SUMBER TANI AGUNG RESOURCES TBK
ROBBY SUMARGO,COMMISSIONER,True,STAA,PT SUMBER TANI AGUNG RESOURCES TBK
RUDI NGADIMAN,COMMISSIONER,True,STAA,PT SUMBER TANI AGUNG RESOURCES TBK
JULIAN CHRISTOPHER HILL,COMMISSIONER,True,STAA,PT SUMBER TANI AGUNG RESOURCES TBK
YOSE RIZAL ARAUJO GOTTY,PRESIDENT COMMISIONER,False,STAR,PT BUANA ARTHA ANUGERAH TBK
BAYU PRIANTORO,COMMISSIONER,True,STAR,PT BUANA ARTHA ANUGERAH TBK
JUWITA WIJAYA,PRESIDENT COMMISIONER,False,STTP,PT SIANTAR TOP TBK
OSBERT KOSASIH,COMMISSIONER,True,STTP,PT SIANTAR TOP TBK
DAVID,PRESIDENT COMMISIONER,False,SULI,PT SLJ GLOBAL TBK
AMIRUDDIN ARRIS,COMMISSIONER,False,SULI,PT SLJ GLOBAL TBK
SAUD USMAN NASUTION,COMMISSIONER,True,SULI,PT SLJ GLOBAL TBK
KUSMAYANTO KADIMAN,PRESIDENT COMMISIONER,True,SUPR,SOLUSI TUNAS PRATAMA TBK
HARRY MOZARTA ZEN,COMMISSIONER,True,SUPR,SOLUSI TUNAS PRATAMA TBK
EKO SANTOSO HADIPRODJO,COMMISSIONER,False,SUPR,SOLUSI TUNAS PRATAMA TBK
RHEZA REYNALD RIADY SUSANTO,PRESIDENT COMMISIONER,False,SURE,PT SUPER ENERGY TBK
SAMMY TS LALAMENTIK,COMMISSIONER,True,SURE,PT SUPER ENERGY TBK
RULIFF REDEMPTUS SENA SUSANTO,COMMISSIONER,False,SURE,PT SUPER ENERGY TBK
TOMOMASA NISHIMURA,COMMISSIONER,False,SURE,PT SUPER ENERGY TBK
PIETER TIKA,PRESIDENT COMMISIONER,False,TALF,PT TUNAS ALFIN TBK
MULJONO SUNARYO,COMMISSIONER,True,TALF,PT TUNAS ALFIN TBK
HELEN INDRAYANI,COMMISSIONER,False,TALF,PT TUNAS ALFIN TBK
DJAJA JULIA SUPENA,PRESIDENT COMMISIONER,False,TAMA,PT LANCARTAMA SEJATI TBK
AMIR TOHAR,COMMISSIONER,True,TAMA,PT LANCARTAMA SEJATI TBK
ALWIE HANDOYO,PRESIDENT COMMISIONER,False,TAMU,PT PELAYARAN TAMARIN SAMUDRA TBK
RAHMAT SUKENDAR,COMMISSIONER,True,TAMU,PT PELAYARAN TAMARIN SAMUDRA TBK
ARIF RACHMAT,PRESIDENT COMMISIONER,False,TAPG,PT TRIPUTRA AGRO PERSADA TBK
ARINI SARASWATY SUBIANTO,COMMISSIONER,False,TAPG,PT TRIPUTRA AGRO PERSADA TBK
TODDY MIZAABIANTO SUGOTO,VICE PRESIDENT COMMISIONER,False,TAPG,PT TRIPUTRA AGRO PERSADA TBK
DANNY RACHMAT,COMMISSIONER,False,TAPG,PT TRIPUTRA AGRO PERSADA TBK
ARIDONO SUKMANTO,COMMISSIONER,True,TAPG,PT TRIPUTRA AGRO PERSADA TBK
MARULI GULTOM,COMMISSIONER,True,TAPG,PT TRIPUTRA AGRO PERSADA TBK
STANLEY SETIA ATMADJA,COMMISSIONER,True,TAPG,PT TRIPUTRA AGRO PERSADA TBK
TJANDRA KARYA HERMANTO,COMMISSIONER,False,TAPG,PT TRIPUTRA AGRO PERSADA TBK
BIHAR ABDI SOLONGGAHON TOBING,PRESIDENT COMMISIONER,False,TARA,PT AGUNG SEMESTA SEJAHTERA TBK
YURISTY FEBRIANY,COMMISSIONER,True,TARA,PT AGUNG SEMESTA SEJAHTERA TBK
ARI DARYATA SINGGIH,PRESIDENT COMMISIONER,False,TAXI,EXPRESS TRANSINDO UTAMA TBK
M ALFAN BAHARUDIN,COMMISSIONER,True,TAXI,EXPRESS TRANSINDO UTAMA TBK
ANWAR TAY,PRESIDENT COMMISIONER,False,TAYS,PT JAYA SWARASA AGUNG TBK
DJONI TATAN,COMMISSIONER,True,TAYS,PT JAYA SWARASA AGUNG TBK
EDWIN SOERYADJAYA,PRESIDENT COMMISIONER,False,TBIG,PT TOWER BERSAMA INFRASTRUCTURE TBK
VERENA LIM,COMMISSIONER,False,TBIG,PT TOWER BERSAMA INFRASTRUCTURE TBK
LUDOVICUS SENSI WONDABIO,COMMISSIONER,True,TBIG,PT TOWER BERSAMA INFRASTRUCTURE TBK
HERI SUNARYADI,COMMISSIONER,True,TBIG,PT TOWER BERSAMA INFRASTRUCTURE TBK
SANTOSO WINATA,COMMISSIONER,False,TBLA,TUNAS BARU LAMPUNG TBK
OEY ALBERT,COMMISSIONER,False,TBLA,TUNAS BARU LAMPUNG TBK
JUSTINUS ADITYA SIDHARTA,COMMISSIONER,True,TBLA,TUNAS BARU LAMPUNG TBK
ELLY SOEPONO,PRESIDENT COMMISIONER,False,TBMS,TEMBAGA MULIA SEMANAN TBK
TSUTOMU AOKI,COMMISSIONER,False,TBMS,TEMBAGA MULIA SEMANAN TBK
TORU UMEKI,COMMISSIONER,False,TBMS,TEMBAGA MULIA SEMANAN TBK
DEWA NYOMAN ADNYANA,COMMISSIONER,True,TBMS,TEMBAGA MULIA SEMANAN TBK
WANTINA DHARMAWI,COMMISSIONER,True,TBMS,TEMBAGA MULIA SEMANAN TBK
SHINICHIRO KOSHIBA,PRESIDENT COMMISIONER,False,TCID,MANDOM INDONESIA TBK
LIE HARJONO,COMMISSIONER,False,TCID,MANDOM INDONESIA TBK
HERI MARTONO,COMMISSIONER,True,TCID,MANDOM INDONESIA TBK
BOWO PRIYATNO,COMMISSIONER,True,TCID,MANDOM INDONESIA TBK
TIURMA RONDANG SARI,COMMISSIONER,True,TCID,MANDOM INDONESIA TBK
MASANORI SAWADA,COMMISSIONER,False,TCID,MANDOM INDONESIA TBK
ACHMAD SUTJIPTO,PRESIDENT COMMISIONER,True,TCPI,PT TRANSCOAL PACIFIC TBK
ADITYA PARULIANGUI,COMMISSIONER,False,TCPI,PT TRANSCOAL PACIFIC TBK
