Nama,Jabatan,Independen,KodeEmiten,NamaEmiten
KIM HYO YEOL,COMMISSIONER,False,TRJA,PT TRANSKON JAYA TBK
R HESTHI SAMBODO,COMMISSIONER,True,TRJA,PT TRANSKON JAYA TBK
KINDARTO KOHAR,PRESIDENT COMMISIONER,False,TRST,TRIAS SENTOSA TBK
SUGENG KURNIAWAN,COMMISSIONER,False,TRST,TRIAS SENTOSA TBK
KETUT SUMARWAN,COMMISSIONER,True,TRST,TRIAS SENTOSA TBK
HERIYANTO,PRESIDENT COMMISIONER,False,TRUE,PT TRINITI DINAMIK TBK
KEVIN JONG,COMMISSIONER,False,TRUE,PT TRINITI DINAMIK TBK
ERMAN SUPARNO,COMMISSIONER,True,TRUE,PT TRINITI DINAMIK TBK
CAROLINA KUSUMA,PRESIDENT COMMISIONER,False,TRUK,PT GUNA TIMUR RAYA TBK
NOER SYAMSUDDIN,COMMISSIONER,True,TRUK,PT GUNA TIMUR RAYA TBK
HANDOJO SELAMET MULJADI,PRESIDENT COMMISIONER,False,TSPC,TEMPO SCAN PACIFIC TBK
KUSTANTINAH,COMMISSIONER,True,TSPC,TEMPO SCAN PACIFIC TBK
SUPARNI PARTO SETIONO,COMMISSIONER,True,TSPC,TEMPO SCAN PACIFIC TBK
HARTATY SUSANTO,COMMISSIONER,False,TSPC,TEMPO SCAN PACIFIC TBK
AGUS SUTOMO,COMMISSIONER,True,TSPC,TEMPO SCAN PACIFIC TBK
