Jabatan,Nama,KodeEmiten,NamaEmiten
MEMBER,NABILAH ALPHA MAHARANI,KDSI,KEDAWUNG SETIA INDUSTRIAL TBK
MEMBER,H BUDI RUSENO,KEEN,PT KENCANA ENERGI LESTARI TBK
MEMBER,TOMMY ARIANTO,KEEN,PT KENCANA ENERGI LESTARI TBK
HEAD,SIM IDRUS MUNANDAR,KEEN,PT KENCANA ENERGI LESTARI TBK
HEAD,HERBUDIANTO,KEJU,PT MULIA BOGA RAYA TBK
MEMBER,ANWAR EFFENDI TJAN,KEJU,PT MULIA BOGA RAYA TBK
MEMBER,BRILIANA SETYAWITTA WARDHANI,KEJU,PT MULIA BOGA RAYA TBK
HEAD,NELLY HENRY,KETR,PT KETROSDEN TRIASMITRA TBK
MEMBER,AGUNG SAMPURNA,KETR,PT KETROSDEN TRIASMITRA TBK
MEMBER,DARWIN WIJAYA,KETR,PT KETROSDEN TRIASMITRA TBK
HEAD,KRISANA EAMVORASOMBAT,KIAS,KERAMIKA INDONESIA ASSOSIASI TBK
MEMBER,DWI ASTUTI ROSMIANINGRUM NAINGGOLAN,KIAS,KERAMIKA INDONESIA ASSOSIASI TBK
MEMBER,ANCELLA ANITAWATI HERMAWAN,KIAS,KERAMIKA INDONESIA ASSOSIASI TBK
HEAD,RATNA INDRAWATI,KICI,KEDAUNG INDAH CAN TBK
MEMBER,HANDRIANTO HADIE WIDJOJO,KICI,KEDAUNG INDAH CAN TBK
MEMBER,INA HANDAYANI,KICI,KEDAUNG INDAH CAN TBK
HEAD,SUHARDI ALIUS,KIJA,KAWASAN INDUSTRI JABABEKA TBK
MEMBER,CHANDRA SETIAWAN,KIJA,KAWASAN INDUSTRI JABABEKA TBK
MEMBER,DUDI HADI SANTOSO,KIJA,KAWASAN INDUSTRI JABABEKA TBK
