Jabatan,Nama,KodeEmiten,NamaEmiten
MEMBER,HERWAN NG,GOTO,PT GOTO GOJEK TOKOPEDIA TBK
HEAD,NUGROHO SULISTYO,GPRA,PERDANA GAPURA PRIMA TBK
MEMBER,FATHIMAH ROSE NOOR HANNAH,GPRA,PERDANA GAPURA PRIMA TBK
MEMBER,MERY,GPRA,PERDANA GAPURA PRIMA TBK
HEAD,SIDIK PERMANA RAMADAN,GPSO,PT GEOPRIMA SOLUSI TBK
MEMBER,THEO HUTOMO,GPSO,PT GEOPRIMA SOLUSI TBK
MEMBER,TEOPILUS SUTJIANA,GPSO,PT GEOPRIMA SOLUSI TBK
HEAD,KAMARDY ARIEF,GSMF,EQUITY DEVELOPMENT INVESTMENT TBK
MEMBER,SONJA ANGGAWINATA,GSMF,EQUITY DEVELOPMENT INVESTMENT TBK
MEMBER,ANGRENI PUSPITASARI,GSMF,EQUITY DEVELOPMENT INVESTMENT TBK
HEAD,MASTAN SINGH,GTBO,GARDA TUJUH BUANA TBK
MEMBER,HASPASURI BTE KHALIL,GTBO,GARDA TUJUH BUANA TBK
MEMBER,MURARI LAL PURI,GTBO,GARDA TUJUH BUANA TBK
HEAD,SUHARNO,GTSI,PT GTS INTERNASIONAL TBK
MEMBER,JT DUMA,GTSI,PT GTS INTERNASIONAL TBK
MEMBER,MIRAWATI SUDJONO,GTSI,PT GTS INTERNASIONAL TBK
MEMBER,ANDREAS BAHANA,GWSA,PT GREENWOOD SEJAHTERA TBK
HEAD,ARIE KUSUMASTUTI MARIA,GWSA,PT GREENWOOD SEJAHTERA TBK
MEMBER,POLTAK GINDO PARLUHUTAN TAMPUBOLON,GWSA,PT GREENWOOD SEJAHTERA TBK
HEAD,JAZID,GZCO,GOZCO PLANTATIONS TBK
MEMBER,HENOCH HASUDUNGAN HUTABARAT,GZCO,GOZCO PLANTATIONS TBK
MEMBER,YOSEFANNY UKE SISWOYO,GZCO,GOZCO PLANTATIONS TBK
HEAD,BASA SIDABUTAR,HADE,PT HIMALAYA ENERGI PERKASA TBK
MEMBER,MUHAMMAD ANDRI YUNIARSO,HADE,PT HIMALAYA ENERGI PERKASA TBK
MEMBER,LENA,HADE,PT HIMALAYA ENERGI PERKASA TBK
HEAD,NUR PRASETYO,HAIS,PT HASNUR INTERNASIONAL SHIPPING TBK
MEMBER,BOY HAMDANI TAMIN,HAIS,PT HASNUR INTERNASIONAL SHIPPING TBK
MEMBER,HENDRA ISKANDAR LUBIS,HAIS,PT HASNUR INTERNASIONAL SHIPPING TBK
HEAD,RAHARDJA ALIMHAMZAH,HDFA,RADANA BHASKARA FINANCE TBK
MEMBER,SETIAWAN KRISWANTO,HDFA,RADANA BHASKARA FINANCE TBK
MEMBER,SANDRA AULIA,HDFA,RADANA BHASKARA FINANCE TBK
HEAD,IDA BAGUS PUTU SINARBAWA,HDIT,PT HENSEL DAVEST INDONESIA TBK
MEMBER,YELSTRY MARSUDIN,HDIT,PT HENSEL DAVEST INDONESIA TBK
MEMBER,NURASMA,HDIT,PT HENSEL DAVEST INDONESIA TBK
HEAD,ALEXANDER RUSLI,HEAL,PT MEDIKALOKA HERMINA TBK
MEMBER,HARYANTO SAHARI,HEAL,PT MEDIKALOKA HERMINA TBK
MEMBER,MYRNIE ZACHRAINI,HEAL,PT MEDIKALOKA HERMINA TBK
HEAD,ANDRE FRANKLIN SAHELANGI,HELI,PT JAYA TRISHINDO TBK
MEMBER,AGUS CAHYO BASKORO,HELI,PT JAYA TRISHINDO TBK
MEMBER,RIDWAN SINARTO,HELI,PT JAYA TRISHINDO TBK
HEAD,AGUS RIYANTO,HITS,HUMPUSS INTERMODA TRANSPORTASI TBK
MEMBER,JT DUMA,HITS,HUMPUSS INTERMODA TRANSPORTASI TBK
MEMBER,MIRAWATI SUDJONO,HITS,HUMPUSS INTERMODA TRANSPORTASI TBK
HEAD,LAMA,HMSP,HM SAMPOERNA TBK
MEMBER,BARU,HMSP,HM SAMPOERNA TBK
HEAD,JONATHAN JOCHANAN,HOKI,PT BUYUNG POETRA SEMBADA TBK
MEMBER,KURNIADI,HOKI,PT BUYUNG POETRA SEMBADA TBK
MEMBER,SHINTA WULANDARI,HOKI,PT BUYUNG POETRA SEMBADA TBK
HEAD,HIZKIA WEHANTOUW,HOMI,PT GRAND HOUSE MULIA TBK
MEMBER,PUTRI LAKSMI BASYIR,HOMI,PT GRAND HOUSE MULIA TBK
MEMBER,NIKEN PANGESTUTI,HOMI,PT GRAND HOUSE MULIA TBK
HEAD,SIHOL SIAGIAN,HOPE,PT HARAPAN DUTA PERTIWI TBK
MEMBER,BOMA INDRA ARDIWARDANA,HOPE,PT HARAPAN DUTA PERTIWI TBK
MEMBER,DIMAS RADITYA,HOPE,PT HARAPAN DUTA PERTIWI TBK
HEAD,ALIP,HRME,PT MENTENG HERITAGE REALTY TBK
MEMBER,CHANDRA,HRME,PT MENTENG HERITAGE REALTY TBK
MEMBER,ATIK SUSANTO,HRME,PT MENTENG HERITAGE REALTY TBK
HEAD,SUPRIHADI USMAN,HRTA,PT HARTADINATA ABADI TBK
MEMBER,CATHARINA TAN LIAN SOEI,HRTA,PT HARTADINATA ABADI TBK
MEMBER,ASDI AULIA,HRTA,PT HARTADINATA ABADI TBK
HEAD,DODY HASRIL,HRUM,HARUM ENERGY TBK
MEMBER,ASTRIA WIZAYANTI,HRUM,HARUM ENERGY TBK
MEMBER,MUHAMAD KUNCORO,HRUM,HARUM ENERGY TBK
HEAD,HAMIDIN,IATA,PT MNC ENERGY INVESTMENTS TBK
MEMBER,HERMAN SOLICHIN,IATA,PT MNC ENERGY INVESTMENTS TBK
MEMBER,SYELVY,IATA,PT MNC ENERGY INVESTMENTS TBK
MEMBER,IVAN AGUSTINUS LINGGA,IBFN,PT INTAN BARU PRANA TBK
HEAD,ALEXANDER REYZA,IBFN,PT INTAN BARU PRANA TBK
MEMBER,AGUNG RAHMONO,IBFN,PT INTAN BARU PRANA TBK
HEAD,RINALDY SANTOSA,IBST,INTI BANGUN SEJAHTERA TBK
MEMBER,JACOBUS SINDU ADISUWONO,IBST,INTI BANGUN SEJAHTERA TBK
MEMBER,PATRICIA MARINA SUGONDO,IBST,INTI BANGUN SEJAHTERA TBK
HEAD,ADI PRANOTO LEMAN,ICBP,INDOFOOD CBP SUKSES MAKMUR TBK
MEMBER,TIMOTIUS,ICBP,INDOFOOD CBP SUKSES MAKMUR TBK
MEMBER,AMELIA SETIAWAN,ICBP,INDOFOOD CBP SUKSES MAKMUR TBK
HEAD,CYNTHIA AFRIANI,ICON,ISLAND CONCEPTS INDONESIA TBK
MEMBER,SITI NURYANAH,ICON,ISLAND CONCEPTS INDONESIA TBK
MEMBER,TRIYONO,ICON,ISLAND CONCEPTS INDONESIA TBK
HEAD,BADRONI,IDEA,PT IDEA INDONESIA AKADEMI TBK
MEMBER,LUKMAN PRASETYO,IDEA,PT IDEA INDONESIA AKADEMI TBK
MEMBER,DYAH CHANDRA ASTUTI,IDEA,PT IDEA INDONESIA AKADEMI TBK
HEAD,WIRO ATMOJO WIJAYA,IDPR,PT INDONESIA PONDASI RAYA TBK
MEMBER,WAHYU TEDJAMIHARDJA,IDPR,PT INDONESIA PONDASI RAYA TBK
MEMBER,ANITA LEONARDI,IDPR,PT INDONESIA PONDASI RAYA TBK
HEAD,VERA,IFII,PT INDONESIA FIBREBOARD INDUSTRY TBK
MEMBER,TSUN TIEN WEN LIE,IFII,PT INDONESIA FIBREBOARD INDUSTRY TBK
MEMBER,WARDIMAN WIJAYA,IFII,PT INDONESIA FIBREBOARD INDUSTRY TBK
HEAD,HONGISISILIA,IFSH,PT IFISHDECO TBK
MEMBER,MARIA TRI WULANDARI,IFSH,PT IFISHDECO TBK
MEMBER,HERNAWA SHINDU IRANI,IFSH,PT IFISHDECO TBK
HEAD,DYAH SULISTYANDHARI,IGAR,CHAMPION PACIFIC INDONESIA TBK
MEMBER,YUDI WIJAYA,IGAR,CHAMPION PACIFIC INDONESIA TBK
MEMBER,STEFANI EKA PRAMITA,IGAR,CHAMPION PACIFIC INDONESIA TBK
HEAD,WELLY,IKAN,PT ERA MANDIRI CEMERLANG TBK
MEMBER,HENDRIK PONTI SIMATUPANG,IKAN,PT ERA MANDIRI CEMERLANG TBK
MEMBER,JUSTINA KE,IKAN,PT ERA MANDIRI CEMERLANG TBK
HEAD,CAHYADI WIJAYA,IKBI,SUMI INDO KABEL TBK
MEMBER,FERDY CHRISTIANTO,IKBI,SUMI INDO KABEL TBK
